time,state,candidate,raw,geometry,next,num,den,ca,cb,port_ratio,corrected,negative
1.000000000000000062e-09,1.556647459242430094e-06,1.556637467566300094e-06,-1.154748547255770069e-05,1.162914257992599987e-05,-4.950525803301880146e-05,4.999999999992500027e-03,4.999999999992500027e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-2.932756120526630207e-06,6.634861191182709890e-05
1.003665280363900092e-09,1.562363532922089936e-06,1.562353504623709921e-06,-1.158984605090910051e-05,1.167183494778369990e-05,-4.968670369445949916e-05,5.018326401811980426e-03,5.018326401811980426e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-2.943525251990329825e-06,6.659574531379319426e-05
1.106556057050439969e-09,1.731357717718699929e-06,1.731346661416200028e-06,-1.277964855651579983e-05,1.287594482876780003e-05,-5.477747844632009991e-05,5.532780285243899844e-03,5.532780285243899844e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-3.261001857089149851e-06,7.352362512764239362e-05
1.636580824990339981e-09,2.863063226484670100e-06,2.863046875985349878e-06,-1.875116898858480074e-05,1.895815879740299917e-05,-8.091884558046410114e-05,8.182904124938449736e-03,8.182904124938449736e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-5.286891413523929926e-06,1.089192509170080017e-04
2.244266616186820196e-09,4.698761448325100279e-06,4.698739030781139635e-06,-2.521772435002439836e-05,2.567735629702130052e-05,-1.107202207456470055e-04,1.122133308091339925e-02,1.122133308091339925e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-8.310364606046760264e-06,1.489021134277090030e-04
2.936085686570899995e-09,7.488286819291129978e-06,7.488257498466049952e-06,-3.195743351119110262e-05,3.300377355470309691e-05,-1.444271193788499905e-04,1.468042843282310085e-02,1.468042843282310085e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-1.260470551723479944e-05,1.936458587427479928e-04
3.633051490260959974e-09,1.105171901843960052e-05,1.105168274699900028e-05,-3.787949343035979812e-05,4.004549312371039749e-05,-1.781485255895130088e-04,1.816525745126030059e-02,1.816525745126030059e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-1.781111413039420134e-05,2.378899236514679986e-04
4.430468748895780386e-09,1.605575109591890096e-05,1.605570687704110114e-05,-4.324691175890960218e-05,4.769600173869090247e-05,-2.164405157280269968e-04,2.215234374441630086e-02,2.215234374441630086e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-2.480330529148819845e-05,2.874812445306800142e-04
5.607739017509840276e-09,2.525144746244970142e-05,2.525139151998679975e-05,-4.740902662642410118e-05,5.822550978241619666e-05,-2.724106864050899958e-04,2.803869508745409841e-02,2.803869508745409841e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-3.703368364046109759e-05,3.586524675343539994e-04
6.797728206343810350e-09,3.673659391355809918e-05,3.673652613253059759e-05,-4.529731815671840186e-05,6.797864181791999673e-05,-3.283067816355349938e-04,3.398864103158410338e-02,3.398864103158410338e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-5.155089983118029735e-05,4.280213520614939990e-04
7.881996039827119681e-09,4.911781972329850091e-05,4.911774116568490067e-05,-3.582924781786290218e-05,7.612087646915740669e-05,-3.786444692381749836e-04,3.940998019895809723e-02,3.940998019895809723e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-6.651598574093429527e-05,4.888286722810329969e-04
8.819204062450400760e-09,6.129168036294780383e-05,6.129159249822229870e-05,-2.016901236005339980e-05,8.261113842194530528e-05,-4.217002021003289896e-04,4.409602031203300326e-02,4.409602031203300326e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-8.067942788629959823e-05,5.393914602582779551e-04
9.527202876559699945e-09,7.139293167508539814e-05,7.139283678426749794e-05,-2.756655028534200101e-06,8.718978412421790299e-05,-4.539464410396839883e-04,4.763601438254529835e-02,4.763601438254529835e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-9.207728877679719956e-05,5.762545603718110220e-04
1.014509499253959985e-08,8.084476814982250467e-05,8.084466713050539354e-05,1.699636840552280152e-05,9.096470623182409810e-05,-4.818919642601430034e-04,5.072547496241269771e-02,5.072547496241269771e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-1.024816522655339941e-04,6.074121900589630248e-04
1.100507452058610068e-08,9.498647096909090381e-05,9.498636142540440414e-05,5.258654182630139666e-05,9.588633415509530047e-05,-5.204807873261839890e-04,5.502537260259769691e-02,5.502537260259769691e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-1.176182604640530063e-04,6.490680147005520144e-04
1.215534741768809956e-08,1.156964907611970054e-04,1.156963698252109942e-04,1.173184040328729987e-04,1.018870895352880061e-04,-5.715380989102850345e-04,6.077673708803799785e-02,6.077673708803799785e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-1.389372226589890126e-04,7.013276070792980347e-04
1.357587212974050058e-08,1.441055529072119887e-04,1.441054179174089888e-04,2.296495058674129913e-04,1.084230618584490019e-04,-6.337062482388800206e-04,6.787936064820550286e-02,6.787936064820550286e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-1.666954155844220075e-04,7.595517642634790198e-04
1.527805108933790095e-08,1.822695359598500001e-04,1.822693841516010045e-04,4.219987601356800207e-04,1.150606932113090063e-04,-7.069027607892149675e-04,7.639025544606539708e-02,7.639025544606539708e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-2.015129673899919969e-04,8.182451561799060271e-04
1.728061971389909985e-08,2.329188734271790066e-04,2.329187018629799884e-04,7.484239423139530095e-04,1.213296331244310050e-04,-7.911822109543419686e-04,8.640309856870309613e-02,8.640309856870309613e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-2.436400096807939998e-04,8.679400374745159909e-04
1.961525140414310087e-08,2.998102920516600004e-04,2.998100974971739806e-04,1.300352753124080088e-03,1.267307524896340003e-04,-8.868865603537660252e-04,9.807625701970229537e-02,9.807625701970229537e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.192000000000000393e-01,-2.924211193790810133e-04,8.916692290459129772e-04
2.232340208199830150e-08,3.879744632387239871e-04,3.879742420716750110e-04,2.232122396704630096e-03,1.307131165932029948e-04,-9.943713357778080891e-04,1.116170104086870035e-01,1.116170104086870035e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.929360828610150014e-01,-3.448319825883289854e-04,8.578166413561710401e-04
2.522608902620619911e-08,4.950677938815189767e-04,4.950675442568089682e-04,3.667886016590459885e-03,1.326237105532999895e-04,-1.105214713423270092e-03,1.261304451293749906e-01,1.261304451293749906e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.009043560625410008e+00,-3.896909433047410047e-04,7.230177043537480220e-04
2.773456979726340037e-08,5.981062864897079834e-04,5.981060123274589821e-04,5.343406212921950234e-03,1.325979253316390079e-04,-1.197220031077860045e-03,1.386728489843220002e-01,1.386728489843220002e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.109382791464039952e+00,-4.122590248196700258e-04,4.988253104072750202e-04
3.005670897481929763e-08,7.021518920095630358e-04,7.021515951781910538e-04,7.283750454680910404e-03,1.314021782738540123e-04,-1.279122244493789955e-03,1.502835448717599887e-01,1.502835448717599887e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.202268358562659900e+00,-4.131343651785099953e-04,1.801259754810189870e-04
3.129756835779319673e-08,7.611613592668459811e-04,7.611610503399539925e-04,8.480408562936929753e-03,1.303626344830779982e-04,-1.321550763397760049e-03,1.564878417864359883e-01,1.564878417864359883e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.251902733879600049e+00,-4.033680063922069994e-04,-4.079093110544970067e-05
3.298619048995719808e-08,8.452794037984989739e-04,8.452790784315019571e-04,1.029366940991790005e-02,1.285576930412109904e-04,-1.377745382580239939e-03,1.649309524469809995e-01,1.649309524469809995e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.319447619163309993e+00,-3.760249093226359913e-04,-4.048073655374030016e-04
3.569726074782600212e-08,9.895239018093879811e-04,9.895235500962369733e-04,1.366487731705049932e-02,1.248594322766579962e-04,-1.464101521500829920e-03,1.784863037358520033e-01,1.784863037358520033e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.427890429473249956e+00,-2.908764719441849834e-04,-1.159265157981659907e-03
3.820166831136780290e-08,1.132833129180019953e-03,1.132832753181870020e-03,1.730067823896050058e-02,1.207404768753600005e-04,-1.539441292778569951e-03,1.910083415530919870e-01,1.910083415530919870e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.528066732010219919e+00,-1.566054013312249895e-04,-2.064685770627210180e-03
3.982953265295869673e-08,1.231161543248669938e-03,1.231161151492420102e-03,1.994111702892530091e-02,1.177851883944480027e-04,-1.586018375094779909e-03,1.991476632607249997e-01,1.991476632607249997e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.593181305670670067e+00,-3.496024341071959685e-05,-2.771820265809939957e-03
4.100556273085899973e-08,1.304734253846950073e-03,1.304733850719740074e-03,2.198761202709499998e-02,1.155442066547209950e-04,-1.618450196121790042e-03,2.050278136499860127e-01,2.050278136499860127e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.640222508784310085e+00,7.208761012753160289e-05,-3.345061238312999844e-03
4.320597349234699749e-08,1.448104619180179973e-03,1.448104194807229997e-03,2.613606768699090060e-02,1.111749114185160063e-04,-1.676291328155400098e-03,2.160298674569569866e-01,2.160298674569569866e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.728238939239240102e+00,3.208781146079200237e-04,-4.567271858798269829e-03
4.622625912887360089e-08,1.657009977392110041e-03,1.657009523920579966e-03,3.252354694145150049e-02,1.049580847017740035e-04,-1.749373343282950057e-03,2.311312956389069972e-01,2.311312956389069972e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.849050364693689996e+00,7.799300297230179601e-04,-6.585975500206880245e-03
5.004630420507539954e-08,1.941290634017259946e-03,1.941290143846629949e-03,4.178439359735890146e-02,9.706616355646910410e-05,-1.830645350011940106e-03,2.502315210189869910e-01,2.502315210189869910e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.001852167732879995e+00,1.591183575955980095e-03,-9.757965199814630508e-03
5.476598300682500111e-08,2.323421660216039818e-03,2.323421124864479860e-03,5.506346395978609781e-02,8.786322813058619456e-05,-1.912365373555069978e-03,2.738299150264860149e-01,2.738299150264860149e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.190639319791079842e+00,3.023229191233010003e-03,-1.473042227759190081e-02
6.056258429910859964e-08,2.839413125462559879e-03,2.839412534863259945e-03,7.401777428499370370e-02,7.834932201602779357e-05,-1.981443500263439881e-03,3.028129214862190222e-01,3.028129214862190222e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.422503371466739885e+00,5.574685599223190395e-03,-2.258350486225910170e-02
6.778664739808679763e-08,3.554348326156519904e-03,3.554347667076479794e-03,1.014319526335970001e-01,7.076842748622019373e-05,-2.012964569882359951e-03,3.389332369787739774e-01,3.389332369787739774e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.711465895404430171e+00,1.024556650416389922e-02,-3.526759428811990227e-02
7.707354883050690498e-08,4.590332092370449750e-03,4.590331345857909598e-03,1.423087607722119952e-01,7.038501542208850368e-05,-1.950389277341770065e-03,3.853677441374879775e-01,3.853677441374879775e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.082941952670609886e+00,1.918502779078160025e-02,-5.652731156285020070e-02
8.547961937835110467e-08,5.641150809724690234e-03,5.641149984653169580e-03,1.836902585176740099e-01,8.095421494238860610e-05,-1.787368502313640018e-03,4.273980968732720154e-01,4.273980968732720154e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.419184774553690076e+00,3.058144166195080060e-02,-8.062622721569509543e-02
9.191800015564720388e-08,6.518489299269920184e-03,6.518488414399239983e-03,2.158766416367340069e-01,9.681901647053459451e-05,-1.608984244270310077e-03,4.595900007568810008e-01,4.595900007568810008e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.643384944240509959e+00,4.163388592315570014e-02,-1.018895570539769951e-01
1.001077063382839994e-07,7.725132785247409636e-03,7.725131824773109716e-03,2.568192909516919809e-01,1.272556643243729919e-04,-1.316143773167929940e-03,5.005385316661119521e-01,5.005385316661119521e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.826319324158300006e+00,5.865978650005389955e-02,-1.317255947788339987e-01
1.060416280202709987e-07,8.662717070129940383e-03,8.662716055197670212e-03,2.864846076647479811e-01,1.566118495498349894e-04,-1.056731496956920049e-03,5.302081400729730110e-01,5.302081400729730110e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.910467066096849909e+00,7.301358809639700576e-02,-1.549289653213669904e-01
1.207528088607290078e-07,1.121571858771540017e-02,1.121571743892670059e-02,3.600297664508880224e-01,2.556247815199449817e-04,-2.371311691560800024e-04,6.037640442668880114e-01,6.037640442668880114e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.023243814829839948e+00,1.152632719501549968e-01,-2.166889327592539938e-01
