'LeanMath.Papers.Raw.global_raw_convergence' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.RealBracket.certified_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.RealBracket.cube_root_halley' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.RealBracket.Local.exact_cubic_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.RealBracket.Local.cell_convergence' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.V14PadeTheorem.near_balanced_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.V14PadeTheorem.identity_where_defined' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.V14PadeGlobal.diagonal_global_convergence' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.V14PadeGlobal.diagonal_step_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.V14Entry.state_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanMath.Papers.V14Entry.worst_radius_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
