p,X,group,profile,Y,stages,relative_error,valid
3,5e-324,grid,ideal,1,2,2.8104560088829485e-89,True
3,5e-324,grid,untrimmed,1,2,1.6666219318842187e-05,True
3,5e-324,grid,trim_target,1,2,6.666659506152239e-07,True
3,2.2250738585072014e-308,grid,ideal,2,2,2.4782429510130754e-17,True
3,2.2250738585072014e-308,grid,untrimmed,2,2,0.00010413758030078264,True
3,2.2250738585072014e-308,grid,trim_target,2,2,2.6946458526492113e-06,True
3,1e-300,grid,ideal,1.3079939052566738,2,5.663373659192498e-17,True
3,1e-300,grid,untrimmed,1.3079939052566738,2,3.0107173534554566e-05,True
3,1e-300,grid,trim_target,1.3079939052566738,2,1.0237452717911834e-06,True
3,1e-100,grid,ideal,1.7498005798264096,2,2.0860346713507613e-17,True
3,1e-100,grid,untrimmed,1.7498005798264096,2,7.217641304415428e-05,True
3,1e-100,grid,trim_target,1.7498005798264096,2,1.987532658600323e-06,True
3,0.001,grid,ideal,1.728,2,2.914335439641036e-17,True
3,0.001,grid,untrimmed,1.728,2,6.956767366774109e-05,True
3,0.001,grid,trim_target,1.728,2,1.9306470474079737e-06,True
3,0.125,grid,ideal,1,2,0.0,True
3,0.125,grid,untrimmed,1,2,1.6667114380583518e-05,True
3,0.125,grid,trim_target,1,2,6.666673827215827e-07,True
3,0.5,grid,ideal,1.6875,2,2.3502915107834373e-17,True
3,0.5,grid,untrimmed,1.6875,2,6.496175655209149e-05,True
3,0.5,grid,trim_target,1.6875,2,1.827276915610736e-06,True
3,0.9999999999999999,grid,ideal,1.9531249999999998,2,2.7755575615628914e-17,True
3,0.9999999999999999,grid,untrimmed,1.9531249999999998,2,9.778786860686261e-05,True
3,0.9999999999999999,grid,trim_target,1.9531249999999998,2,2.555010314223532e-06,True
3,1,grid,ideal,1,2,0.0,True
3,1,grid,untrimmed,1,2,1.6666219318842187e-05,True
3,1,grid,trim_target,1,2,6.666659506152239e-07,True
3,1.0000000000000002,grid,ideal,1.0000000000000002,2,1.0956401461402941e-32,True
3,1.0000000000000002,grid,untrimmed,1.0000000000000002,2,1.666711438058351e-05,True
3,1.0000000000000002,grid,trim_target,1.0000000000000002,2,6.666673827215828e-07,True
3,2,grid,ideal,2,2,2.4782429510130754e-17,True
3,2,grid,untrimmed,2,2,0.00010400525215099085,True
3,2,grid,trim_target,2,2,2.6945719575824345e-06,True
3,3,grid,ideal,1.265625,2,5.156696208685999e-18,True
3,3,grid,untrimmed,1.265625,2,2.7333704406333797e-05,True
3,3,grid,trim_target,1.265625,2,9.560644299806023e-07,True
3,10,grid,ideal,1.25,2,6.559699560856481e-18,True
3,10,grid,untrimmed,1.25,2,2.63640338082778e-05,True
3,10,grid,trim_target,1.25,2,9.324189340884726e-07,True
3,500000,grid,ideal,1.9073486328125,2,1.615971011946233e-17,True
3,500000,grid,untrimmed,1.9073486328125,2,9.174058739733695e-05,True
3,500000,grid,trim_target,1.9073486328125,2,2.4216857095903483e-06,True
3,1e+100,grid,ideal,1.9287912227888389,2,6.2002227312109376e-18,True
3,1e+100,grid,untrimmed,1.9287912227888389,2,9.444232161751624e-05,True
3,1e+100,grid,trim_target,1.9287912227888389,2,2.4836927803171076e-06,True
3,1e+300,grid,ideal,1.4932217896051503,2,1.6343971243373945e-17,True
3,1e+300,grid,untrimmed,1.4932217896051503,2,4.511055331990391e-05,True
3,1e+300,grid,trim_target,1.4932217896051503,2,1.3754584100333677e-06,True
3,1.7976931348623157e+308,grid,ideal,1.9999999999999998,2,7.808947221601624e-17,True
3,1.7976931348623157e+308,grid,untrimmed,1.9999999999999998,2,0.0001040052521510937,True
3,1.7976931348623157e+308,grid,trim_target,1.9999999999999998,2,2.6945719575920534e-06,True
