time,state,q,residual,candidate,denominator,target,stagepeak
2.000000000000000125e-09,-8.333333333330556249e-10,4.989752038315121817e-08,1.281046458947768807e+00,-4.918538954214445600e-04,2.281046739994227579e+00,-2.464188016061486242e-01,3.130624260981408938e-05
1.091899801529907673e-07,-4.999992360168050826e-09,2.585438206024837705e-06,1.281050726495135850e+00,-2.548946701837752696e-02,2.281051007545862763e+00,-2.464195467861907962e-01,3.431172700318348118e-05
4.384512202154631494e-07,-4.999999999990001973e-09,8.872126272641593311e-06,1.281063572076445611e+00,-8.747319511924457613e-02,2.281063853140017361e+00,-2.464231351956898686e-01,4.344092524304996608e-05
1.204478301250966572e-06,-4.999999999990012726e-09,1.749928022350039260e-05,1.281092192190188328e+00,-1.725453590553880645e-01,2.281092473282380961e+00,-2.464365094796811539e-01,6.418520592107733219e-05
2.416833648591681704e-06,-4.999999999990037541e-09,2.276290540721137963e-05,1.281134988575613365e+00,-2.244742118899613892e-01,2.281135269710601765e+00,-2.464641441339108230e-01,9.603600921403712611e-05
4.417463077916279853e-06,-4.999999999990084691e-09,2.468942676416924437e-05,1.281202028800936477e+00,-2.435233294620438582e-01,2.281202310002965472e+00,-2.465137500455359121e-01,1.471847008654677050e-04
7.561299012079479795e-06,-4.999999999990161618e-09,2.497713711800610571e-05,1.281303970187982699e+00,-2.464400420001147118e-01,2.281304251491952595e+00,-2.465918167652747794e-01,2.262237256451319603e-04
1.000623821871115907e-05,-5.542779885615374365e-09,2.498889486911603554e-05,1.281382387981907955e+00,-2.466165034079940976e-01,2.281382669364296234e+00,-2.466520738947296509e-01,2.873303022519730992e-04
1.124117193387112318e-05,-6.230096373491939101e-07,2.472676593008112884e-05,1.281421876331677145e+00,-2.466547476124182070e-01,2.281422157753553392e+00,-2.466826836933044831e-01,3.181119762236988744e-04
1.522900352192363752e-05,-2.616925429437516774e-06,2.287575513408164179e-05,1.281548238728092537e+00,-2.467569036761515233e-01,2.281548520276331260e+00,-2.467816399037585373e-01,4.161910541871681533e-04
1.922900352192366698e-05,-4.616925425097344425e-06,2.087876090686944646e-05,1.281667156926051598e+00,-2.468524366131897851e-01,2.281667438593208086e+00,-2.468750116562865582e-01,5.061634789353950444e-04
2.322900352192369645e-05,-6.616925418357180031e-06,1.887920789063733898e-05,1.281761978796865709e+00,-2.469328085892212865e-01,2.281762260558844346e+00,-2.469498639240332305e-01,5.737631059763707202e-04
2.722900352192372591e-05,-8.616925409217058741e-06,1.687960866897976960e-05,1.281819790624526334e+00,-2.469864723405105489e-01,2.281820072444316949e+00,-2.469962780317231654e-01,6.115736160472102275e-04
3.122900352192374183e-05,-1.061692539767693566e-05,1.488000861527965583e-05,1.281845398926560797e+00,-2.470136840609584161e-01,2.281845680771959373e+00,-2.470179507440878608e-01,6.266375872591500385e-04
3.522900352192370353e-05,-1.261692538373685993e-05,1.288040854891030254e-05,1.281853049292604130e+00,-2.470243589989161437e-01,2.281853331145653474e+00,-2.470258275129043612e-01,6.303724140814020082e-04
3.922900352192366523e-05,-1.461692536739678918e-05,1.088080848466832841e-05,1.281853519567322852e+00,-2.470277641219443820e-01,2.281853801420842931e+00,-2.470281883859472838e-01,6.299717766555323157e-04
4.322900352192362693e-05,-1.661692534865677424e-05,8.881208422820901176e-06,1.281851729202809986e+00,-2.470287018950551028e-01,2.281852011054539275e+00,-2.470288125945704072e-01,6.283582044629787509e-04
4.722900352192358864e-05,-1.861692532751673719e-05,6.881608363372940403e-06,1.281849343539240182e+00,-2.470289483176273948e-01,2.281849625388583824e+00,-2.470289794801503735e-01,6.264440016936278577e-04
5.122900352192355034e-05,-2.061692530397678136e-05,4.882008306324443551e-06,1.281846823688251646e+00,-2.470290294283660482e-01,2.281847105535075748e+00,-2.470290432761336752e-01,6.244660255068847522e-04
5.522900352192351204e-05,-2.261692527803685593e-05,2.882408251675409774e-06,1.281844277882944416e+00,-2.470290765214200879e-01,2.281844559727221888e+00,-2.470290871291083712e-01,6.224764916395522651e-04
5.922900352192347374e-05,-2.461692524969691685e-05,8.828081994258878815e-07,1.281841727771804829e+00,-2.470291175845141241e-01,2.281842009613532340e+00,-2.470291276698654559e-01,6.204851684634603510e-04
6.322900352192350321e-05,-2.661692521895700478e-05,-1.116791850424105715e-06,1.281839177047888079e+00,-2.470291577232586744e-01,2.281839458887064964e+00,-2.470291677354892745e-01,6.184936094220039792e-04
6.722900352192360044e-05,-2.861692518581717055e-05,-3.116391897874659001e-06,1.281836626251868783e+00,-2.470291977381700588e-01,2.281836908088495264e+00,-2.470292077413382692e-01,6.165020263659149857e-04
7.122900352192369766e-05,-3.061692515027734978e-05,-5.115991942925726130e-06,1.281834075452430000e+00,-2.470292377380992888e-01,2.281834357286505632e+00,-2.470292477401770381e-01,6.145104443944377761e-04
7.522900352192379489e-05,-3.261692511233766105e-05,-7.115591985577364914e-06,1.281831524657240484e+00,-2.470292777360324488e-01,2.281831806488765046e+00,-2.470292877378967300e-01,6.125188661276616091e-04
7.922900352192389212e-05,-3.461692507199786041e-05,-9.115192025829438132e-06,1.281828973867062960e+00,-2.470293177333460211e-01,2.281829255696036896e+00,-2.470293277350827932e-01,6.105272918098521382e-04
8.322900352192398935e-05,-3.661692502925815117e-05,-1.111479206368203472e-05,1.281826423081966038e+00,-2.470293577301712618e-01,2.281826704908389125e+00,-2.470293677317885461e-01,6.085357214615925081e-04
8.722900352192408658e-05,-3.861692498411840456e-05,-1.311439209913511911e-05,1.281823872301954381e+00,-2.470293977265197172e-01,2.281824154125826620e+00,-2.470294077280176803e-01,6.065441550844605581e-04
9.122900352192418380e-05,-4.061692493657855283e-05,-1.511399213218855069e-05,1.281821321527029545e+00,-2.470294377223918592e-01,2.281821603348351157e+00,-2.470294477237710284e-01,6.045525926785599380e-04
9.522900352192428103e-05,-4.261692488663879926e-05,-1.711359216284254461e-05,1.281818770757190418e+00,-2.470294777177879375e-01,2.281819052575961404e+00,-2.470294877190477301e-01,6.025610342438908647e-04
9.922900352192437826e-05,-4.461692483429916418e-05,-1.911319219109712457e-05,1.281816219992437889e+00,-2.470295177127080910e-01,2.281816501808657804e+00,-2.470295277138487289e-01,6.005694797804466160e-04
1.032290035219244755e-04,-4.661692477955962726e-05,-2.111279221695229737e-05,1.281813669232771957e+00,-2.470295577071522086e-01,2.281813951046441247e+00,-2.470295677081740526e-01,5.985779292882188437e-04
1.072290035219245727e-04,-4.861692472242005975e-05,-2.311239224040793425e-05,1.281811118478192180e+00,-2.470295977011202071e-01,2.281811400289310399e+00,-2.470296077020231740e-01,5.965863827671995245e-04
1.112290035219246699e-04,-5.061692466288049555e-05,-2.511199226146407248e-05,1.281808567728698556e+00,-2.470296376946121419e-01,2.281808849537266148e+00,-2.470296476953960652e-01,5.945948402173812861e-04
1.152290035219247672e-04,-5.261692460094094818e-05,-2.711159228012068495e-05,1.281806016984291308e+00,-2.470296776876280687e-01,2.281806298790308496e+00,-2.470296876882929760e-01,5.926033016387555630e-04
1.192290035219248644e-04,-5.461692453660133635e-05,-2.911119229637774457e-05,1.281803466244970213e+00,-2.470297176801680983e-01,2.281803748048436553e+00,-2.470297276807139897e-01,5.906117670313137903e-04
1.232290035219249481e-04,-5.661692446986174815e-05,-3.111079231023524116e-05,1.281800915510735495e+00,-2.470297576722318145e-01,2.281801197311650764e+00,-2.470297676726589953e-01,5.886202363950489205e-04
1.272290035219250453e-04,-5.861692440072233264e-05,-3.311039232169334074e-05,1.281798364781587152e+00,-2.470297976638200221e-01,2.281798646579951573e+00,-2.470298076641281593e-01,5.866287097299530389e-04
1.312290035219251425e-04,-6.061692432918298819e-05,-3.510999233075208736e-05,1.281795814057524741e+00,-2.470298376549319164e-01,2.281796095853338979e+00,-2.470298476551208156e-01,5.846371870360181225e-04
1.352290035219252398e-04,-6.261692425524340987e-05,-3.710959233741113544e-05,1.281793263338548483e+00,-2.470298776455679135e-01,2.281793545131812095e+00,-2.470298876456377413e-01,5.826456683132369072e-04
1.392290035219253370e-04,-6.461692417890388905e-05,-3.910919234167053917e-05,1.281790712624658601e+00,-2.470299176357276250e-01,2.281790994415370921e+00,-2.470299276356787144e-01,5.806541535615999602e-04
1.432290035219254342e-04,-6.661692410016473067e-05,-4.110879234353088810e-05,1.281788161915854873e+00,-2.470299576254116336e-01,2.281788443704016789e+00,-2.470299676252437071e-01,5.786626427811001261e-04
1.472290035219255314e-04,-6.861692401902563657e-05,-4.310839234299176887e-05,1.281785611212137299e+00,-2.470299976146197174e-01,2.281785892997748366e+00,-2.470300076143327472e-01,5.766711359717306825e-04
1.512290035219256287e-04,-7.061692393548649833e-05,-4.510799234005314083e-05,1.281783060513506101e+00,-2.470300376033515988e-01,2.281783342296566541e+00,-2.470300476029455294e-01,5.746796331334807877e-04
1.552290035219257259e-04,-7.261692384954730240e-05,-4.710759233471494977e-05,1.281780509819960834e+00,-2.470300775916075275e-01,2.281780791600470870e+00,-2.470300875910824978e-01,5.726881342663448036e-04
1.592290035219258231e-04,-7.461692376120822496e-05,-4.910719232697731087e-05,1.281777959131501721e+00,-2.470301175793876425e-01,2.281778240909460909e+00,-2.470301275787436524e-01,5.706966393703141651e-04
1.632290035219259204e-04,-7.661692367046896786e-05,-5.110679231684005474e-05,1.281775408448128983e+00,-2.470301575666915828e-01,2.281775690223537101e+00,-2.470301675659286045e-01,5.687051484453825839e-04
1.672290035219260176e-04,-7.861692357733014096e-05,-5.310639230430349309e-05,1.281772857769842178e+00,-2.470301975535198202e-01,2.281773139542700335e+00,-2.470302075526376873e-01,5.667136614915390010e-04
1.712290035219261148e-04,-8.061692348179122925e-05,-5.510599228936749716e-05,1.281770307096641526e+00,-2.470302375398717720e-01,2.281770588866948390e+00,-2.470302475388710672e-01,5.647221785087771281e-04
1.752290035219262120e-04,-8.261692338385231407e-05,-5.710559227203193143e-05,1.281767756428527028e+00,-2.470302775257479377e-01,2.281768038196283932e+00,-2.470302875246279117e-01,5.627306994970891589e-04
1.792290035219263093e-04,-8.461692328351340896e-05,-5.910519225229691109e-05,1.281765205765498683e+00,-2.470303175111480953e-01,2.281765487530704295e+00,-2.470303275099091089e-01,5.607392244564670704e-04
1.832290035219264065e-04,-8.661692318077443260e-05,-6.110479223016225319e-05,1.281762655107556270e+00,-2.470303574960721893e-01,2.281762936870211256e+00,-2.470303674947142980e-01,5.587477533869030562e-04
1.872290035219265037e-04,-8.861692307563552053e-05,-6.310439220562806615e-05,1.281760104454700011e+00,-2.470303974805205249e-01,2.281760386214804370e+00,-2.470304074790436177e-01,5.567562862883888766e-04
1.912290035219266009e-04,-9.061692296809661853e-05,-6.510399217869433641e-05,1.281757553806929906e+00,-2.470304374644929080e-01,2.281757835564483639e+00,-2.470304474628968738e-01,5.547648231609168335e-04
1.952290035219266982e-04,-9.261692285815797054e-05,-6.710359214936134859e-05,1.281755003164245954e+00,-2.470304774479891718e-01,2.281755284919249505e+00,-2.470304874462742328e-01,5.527733640044792292e-04
1.992290035219267954e-04,-9.461692274581971209e-05,-6.910319211762929240e-05,1.281752452526648156e+00,-2.470305174310096497e-01,2.281752734279100192e+00,-2.470305274291760000e-01,5.507819088190670648e-04
2.032290035219268926e-04,-9.661692263108134174e-05,-7.110279208349761220e-05,1.281749901894135624e+00,-2.470305574135541193e-01,2.281750183644037477e+00,-2.470305674116009820e-01,5.487904576046735098e-04
2.072290035219269899e-04,-9.861692251394279173e-05,-7.310239204696640286e-05,1.281747351266709911e+00,-2.470305973956227197e-01,2.281747633014060916e+00,-2.470306073935507052e-01,5.467990103612907580e-04
2.112290035219270871e-04,-1.006169223944043738e-04,-7.510199200803559661e-05,1.281744800644370130e+00,-2.470306373772152564e-01,2.281745082389170509e+00,-2.470306473750245035e-01,5.448075670889102442e-04
2.152290035219271843e-04,-1.026169222724659659e-04,-7.710159196670530188e-05,1.281742250027115837e+00,-2.470306773583319515e-01,2.281742531769365812e+00,-2.470306873560217942e-01,5.428161277875243789e-04
2.192290035219272815e-04,-1.046169221481273648e-04,-7.910119192297543735e-05,1.281739699414948364e+00,-2.470307173389727218e-01,2.281739981154647712e+00,-2.470307273365440759e-01,5.408246924571243801e-04
2.232290035219273788e-04,-1.066169220213888008e-04,-8.110079187684601657e-05,1.281737148807866378e+00,-2.470307573191375117e-01,2.281737430545014877e+00,-2.470307673165900442e-01,5.388332610977030921e-04
2.272290035219274760e-04,-1.086169218922503689e-04,-8.310039182831710730e-05,1.281734598205870101e+00,-2.470307972988265710e-01,2.281734879940468197e+00,-2.470308072961595602e-01,5.368418337092526003e-04
2.312290035219275732e-04,-1.106169217607117438e-04,-8.509999177738851981e-05,1.281732047608960423e+00,-2.470308372780395390e-01,2.281732329341007670e+00,-2.470308472752538453e-01,5.348504102917652067e-04
2.352290035219276705e-04,-1.126169216267731965e-04,-8.709959172406060647e-05,1.281729497017136010e+00,-2.470308772567764710e-01,2.281729778746632853e+00,-2.470308872538717060e-01,5.328589908452328883e-04
2.392290035219277677e-04,-1.146169214904347000e-04,-8.909919166833309622e-05,1.281726946430398195e+00,-2.470309172350377835e-01,2.281727228157345078e+00,-2.470309272320140581e-01,5.308675753696469714e-04
2.432290035219278649e-04,-1.166169213516961186e-04,-9.109879161020611104e-05,1.281724395848746090e+00,-2.470309572128230602e-01,2.281724677573141680e+00,-2.470309672096802911e-01,5.288761638650005172e-04
2.472290035219279350e-04,-1.186169212105575474e-04,-9.309839154967947475e-05,1.281721845272179916e+00,-2.470309971901323842e-01,2.281722126994025324e+00,-2.470310071868708490e-01,5.268847563312848521e-04
2.512290035219280323e-04,-1.206169210670193521e-04,-9.509799148675374299e-05,1.281719294700699674e+00,-2.470310371669658944e-01,2.281719576419994233e+00,-2.470310471635854543e-01,5.248933527684932539e-04
2.552290035219281295e-04,-1.226169209210812346e-04,-9.709759142142860406e-05,1.281716744134305364e+00,-2.470310771433235353e-01,2.281717025851049296e+00,-2.470310871398240793e-01,5.229019531766161818e-04
2.592290035219282267e-04,-1.246169207727427207e-04,-9.909719135370348875e-05,1.281714193572996985e+00,-2.470311171192052790e-01,2.281714475287190513e+00,-2.470311271155867794e-01,5.209105575556471305e-04
2.632290035219283239e-04,-1.266169206220041355e-04,-1.010967912835788985e-04,1.281711643016774316e+00,-2.470311570946111535e-01,2.281711924728417440e+00,-2.470311670908735824e-01,5.189191659055764506e-04
2.672290035219284212e-04,-1.286169204688655061e-04,-1.030963912110546978e-04,1.281709092465638022e+00,-2.470311970695411308e-01,2.281709374174730520e+00,-2.470312070656847381e-01,5.169277782263988295e-04
2.712290035219285184e-04,-1.306169203133269140e-04,-1.050959911361309951e-04,1.281706541919586995e+00,-2.470312370439953220e-01,2.281706823626129310e+00,-2.470312470400196914e-01,5.149363945181034252e-04
2.752290035219286156e-04,-1.326169201553883319e-04,-1.070955910588077768e-04,1.281703991378622121e+00,-2.470312770179735051e-01,2.281704273082613366e+00,-2.470312870138789973e-01,5.129450147806839493e-04
2.792290035219287129e-04,-1.346169199950507898e-04,-1.090951909790857340e-04,1.281701440842742734e+00,-2.470313169914757911e-01,2.281701722544183575e+00,-2.470313269872622119e-01,5.109536390141321618e-04
