time_since_step,delta,target
0.000000000000000000e+00,2.942450400712805141e-08,-6.000000035762786954e-01
1.224132015371914850e-16,2.942450400712805141e-08,-6.000000035762786954e-01
3.672396046115744550e-16,2.942450400712805803e-08,-6.000000035762786954e-01
8.568924107603403950e-16,2.942450400712807788e-08,-6.000000035762786954e-01
1.836198023057872275e-15,2.942450400712819037e-08,-6.000000035762786954e-01
3.794809247652936035e-15,2.942450400712866683e-08,-6.000000035762786954e-01
7.712024920579485521e-15,2.942450400713022524e-08,-6.000000035762786954e-01
1.554645626643258449e-14,2.942450400713349095e-08,-6.000000035762786954e-01
3.121531895813878243e-14,2.942450400712268135e-08,-6.000000035762786954e-01
6.255304434155117832e-14,2.942450400688747420e-08,-6.000000035762786954e-01
1.252285018846395481e-13,2.942450400440904256e-08,-6.000000035762786954e-01
2.505794101945527097e-13,2.942450398219841262e-08,-6.000000035762786954e-01
5.012812268143790329e-13,2.942450379530095015e-08,-6.000000035762786954e-01
1.002684866830295257e-12,2.942450226663403444e-08,-6.000000035762786954e-01
2.005492140085864128e-12,2.942448995824789976e-08,-6.000000035762786954e-01
3.536693283883157041e-12,2.942442838295490475e-08,-6.000000035762786954e-01
5.345548453211147744e-12,2.942424906866022197e-08,-6.000000035762786954e-01
7.091774900885947780e-12,2.942391989941329592e-08,-6.000000035762786954e-01
8.898012033675510579e-12,2.942336672966516930e-08,-6.000000035762786954e-01
1.066259124586242321e-11,2.942257010478658163e-08,-6.000000035762786954e-01
1.249772611382248336e-11,2.942142322926884476e-08,-6.000000035762786954e-01
1.430975240509840471e-11,2.941992496752732171e-08,-6.000000035762786954e-01
1.618205476707585896e-11,2.941794553521137794e-08,-6.000000035762786954e-01
1.804003605841101449e-11,2.941550028855607669e-08,-6.000000035762786954e-01
1.995045244323123343e-11,2.941243719188423918e-08,-6.000000035762786954e-01
2.185431382980803153e-11,2.940878321048327271e-08,-6.000000035762786954e-01
2.380466443673576529e-11,2.940436839582422825e-08,-6.000000035762786954e-01
2.575471400815404488e-11,2.939922678112969106e-08,-6.000000035762786954e-01
2.774661864201125039e-11,2.939317485650329154e-08,-6.000000035762786954e-01
2.974329154958920210e-11,2.938624904569495178e-08,-6.000000035762786954e-01
3.177825332116275894e-11,2.937825625673909327e-08,-6.000000035762786954e-01
3.382212120371956218e-11,2.936923110889222039e-08,-6.000000035762786954e-01
3.590156166468792473e-11,2.935897433107694579e-08,-6.000000035762786954e-01
3.799330870122826290e-11,2.934751517766939922e-08,-6.000000035762786954e-01
4.011858937235084771e-11,2.933465090922213460e-08,-6.000000035762786954e-01
4.225899461634576026e-11,2.932040253026743007e-08,-6.000000035762786954e-01
4.443143507331043587e-11,2.930456585142595823e-08,-6.000000035762786954e-01
4.662135856135698336e-11,2.928715138715753271e-08,-6.000000035762786954e-01
4.884225070559116560e-11,2.926795487797078230e-08,-6.000000035762786954e-01
5.108262237144521600e-11,2.924697468176503896e-08,-6.000000035762786954e-01
5.335324184811999701e-11,2.922400729040550380e-08,-6.000000035762786954e-01
5.564505292361774519e-11,2.919903772383057652e-08,-6.000000035762786954e-01
5.796666827637998731e-11,2.917186357905684663e-08,-6.000000035762786954e-01
6.031096444063547765e-11,2.914245575051955150e-08,-6.000000035762786954e-01
6.268484445030126848e-11,2.911061291441949095e-08,-6.000000035762786954e-01
6.508272055777333115e-11,2.907629135897685633e-08,-6.000000035762786954e-01
6.751014020543993216e-11,2.903929051568206174e-08,-6.000000035762786954e-01
6.996273626760788136e-11,2.899955181403839751e-08,-6.000000035762786954e-01
7.244498163389229486e-11,2.895687489039830978e-08,-6.000000035762786954e-01
7.495347966829336503e-11,2.891118622544039608e-08,-6.000000035762786954e-01
7.749185187034147299e-11,2.886228494266082146e-08,-6.000000035762786954e-01
8.005747362374625656e-11,2.881008258871503407e-08,-6.000000035762786954e-01
8.265329221014087319e-11,2.875437693840943688e-08,-6.000000035762786954e-01
8.527729747126368970e-11,2.869506468042267536e-08,-6.000000035762786954e-01
8.793190315285878342e-11,2.863194132590044843e-08,-6.000000035762786954e-01
9.061558853940649902e-11,2.856488880531544175e-08,-6.000000035762786954e-01
9.333034553391439045e-11,2.849369940258871835e-08,-6.000000035762786954e-01
9.607504372009237001e-11,2.841824038513873147e-08,-6.000000035762786954e-01
9.803752186693208415e-11,2.836211356420500566e-08,-6.000000035762786954e-01
1.000000000069955347e-10,2.830415438676921909e-08,-6.000000035762786954e-01
1.000004833578765559e-10,2.830413988483564835e-08,-6.000000035762786954e-01
1.000014500596385983e-10,2.830411088068808272e-08,-6.000000035762786954e-01
1.000033834631626831e-10,2.830405287071039993e-08,-6.000000035762786954e-01
1.000072502702108526e-10,2.830393684402479840e-08,-6.000000035762786954e-01
1.000149838775309281e-10,2.830370476373267473e-08,-6.000000035762786954e-01
1.000304510921710792e-10,2.830324049546477810e-08,-6.000000035762786954e-01
1.000613855214513813e-10,2.830231152819447694e-08,-6.000000035762786954e-01
1.001232543867882491e-10,2.830045187071597866e-08,-6.000000035762786954e-01
1.002469921106857211e-10,2.829672566400851338e-08,-6.000000035762786954e-01
1.004944675652569286e-10,2.828924568360021457e-08,-6.000000035762786954e-01
1.009894184676230801e-10,2.827417545487832027e-08,-6.000000035762786954e-01
1.019793202791316467e-10,2.824359392635924767e-08,-6.000000035762786954e-01
1.039591238953725162e-10,2.818066658938711950e-08,-6.000000035762786954e-01
1.079187311278542553e-10,2.804775483064330484e-08,-6.000000035762786954e-01
1.158379455928177336e-10,2.775370325344666352e-08,-6.000000035762786954e-01
1.316763745295209537e-10,2.705269009610067350e-08,-6.000000035762786954e-01
1.633532323961511303e-10,2.519904165618659008e-08,-6.000000035762786954e-01
1.985240636026000191e-10,2.243551670842008949e-08,-6.000000035762786954e-01
2.344408237624196444e-10,1.884736249982242553e-08,-6.000000035762786954e-01
2.688619548621862948e-10,1.468229704232506750e-08,-6.000000035762786954e-01
3.039749560393499410e-10,9.701105019194629202e-09,-6.000000035762786954e-01
3.383781135878668328e-10,4.103245779678753335e-09,-6.000000035762786954e-01
3.734334758060493462e-10,-2.331045149729048961e-09,-6.000000035762786954e-01
4.079326666636380952e-10,-9.382919277788815319e-09,-6.000000035762786954e-01
4.429246312575392183e-10,-1.726474933346224891e-08,-6.000000035762786954e-01
4.774825503517030056e-10,-2.576955493670152123e-08,-6.000000035762786954e-01
5.124227356250268296e-10,-3.509655941535830384e-08,-6.000000035762786954e-01
5.470271785323671185e-10,-4.505549843075391558e-08,-6.000000035762786954e-01
5.819280741553274974e-10,-5.582703250199502033e-08,-6.000000035762786954e-01
6.165689769724660985e-10,-6.724051311661203831e-08,-6.000000035762786954e-01
6.514397269842130307e-10,-7.945633836965133451e-08,-6.000000035762786954e-01
6.861091745406235586e-10,-9.232431044294862667e-08,-6.000000035762786954e-01
7.209568646766926873e-10,-1.059845297389811409e-07,-6.000000035762786954e-01
7.566717137168525384e-10,-1.207399695660883459e-07,-6.000000035762786954e-01
7.942997862361248634e-10,-1.371129018292664343e-07,-6.000000035762786954e-01
8.333360457853794534e-10,-1.549953642942549208e-07,-6.000000035762786954e-01
8.742298992337567062e-10,-1.747081983887926842e-07,-6.000000035762786954e-01
9.165619918379973481e-10,-1.961699093720508342e-07,-6.000000035762786954e-01
9.607316312263509614e-10,-2.197078772888382630e-07,-6.000000035762786954e-01
1.006419847213537756e-09,-2.452849256081623587e-07,-6.000000035762786954e-01
1.053952596692057236e-09,-2.732218239714955478e-07,-6.000000035762786954e-01
1.103079104499012607e-09,-3.035176482730255051e-07,-6.000000035762786954e-01
1.154065309896118441e-09,-3.364889637568872685e-07,-6.000000035762786954e-01
1.206716312479236535e-09,-3.721708097241792355e-07,-6.000000035762786954e-01
1.261250113836285668e-09,-4.108787688868545750e-07,-6.000000035762786954e-01
1.317516709121481500e-09,-4.526831103031248285e-07,-6.000000035762786954e-01
1.375695572093812123e-09,-4.979013532717942011e-07,-6.000000035762786954e-01
1.435672683668576428e-09,-5.466383690528133938e-07,-6.000000035762786954e-01
1.497596643301268935e-09,-5.992164983500618198e-07,-6.000000035762786954e-01
