time_since_step,delta,target
0.000000000000000000e+00,4.450861527694156272e-08,-6.000000035762786954e-01
1.061230638955967809e-16,4.450861516430251259e-08,-6.000000035762786954e-01
3.183624154232123082e-16,4.450861471375370375e-08,-6.000000035762786954e-01
7.428478947420213974e-16,4.450861246101717036e-08,-6.000000035762786954e-01
1.591812077116061541e-15,4.450860254898788488e-08,-6.000000035762786954e-01
3.289747218127719863e-15,4.450856109870457140e-08,-6.000000035762786954e-01
6.685617500151036507e-15,4.450839169312406252e-08,-6.000000035762786954e-01
1.347735128793409176e-14,4.450770686213903490e-08,-6.000000035762786954e-01
2.706081886350020227e-14,4.450495312134520753e-08,-6.000000035762786954e-01
5.422776079089600132e-14,4.449390932363570046e-08,-6.000000035762786954e-01
1.085616446456875994e-13,4.444967646264018458e-08,-6.000000035762786954e-01
2.172294055790072176e-13,4.427262968804297673e-08,-6.000000035762786954e-01
4.345649342219100320e-13,4.356421197656220819e-08,-6.000000035762786954e-01
8.692359847314520827e-13,4.073008028956058913e-08,-6.000000035762786954e-01
1.738578092526799762e-12,2.939263494023849039e-08,-6.000000035762786954e-01
3.477262308117495121e-12,-1.595895907189274626e-08,-6.000000035762786954e-01
5.123775732309657910e-12,-8.678017121257398092e-08,-6.000000035762786954e-01
6.981606936182823547e-12,-1.992488546238952590e-07,-6.000000035762786954e-01
9.272414724871471531e-12,-3.854557952934199999e-07,-6.000000035762786954e-01
1.215658906953678495e-11,-6.945346560442294281e-07,-6.000000035762786954e-01
1.562005905208271178e-11,-1.175635792303245464e-06,-6.000000035762786954e-01
1.975648834253666136e-11,-1.907423881224437327e-06,-6.000000035762786954e-01
2.456610268534347233e-11,-2.973476657247344120e-06,-6.000000035762786954e-01
3.014722856526123526e-11,-4.500540354005470985e-06,-6.000000035762786954e-01
3.651068926764601194e-11,-6.621761685332547353e-06,-6.000000035762786954e-01
4.375044830541227614e-11,-9.527582406681618397e-06,-6.000000035762786954e-01
5.188300973606651753e-11,-1.341691365136343632e-05,-6.000000035762786954e-01
6.099821360771575871e-11,-1.856237045226783299e-05,-6.000000035762786954e-01
7.111812804920557632e-11,-2.524838210780411374e-05,-6.000000035762786954e-01
8.232759665102252003e-11,-3.384982372315531245e-05,-6.000000035762786954e-01
9.116379832562089558e-11,-4.151589495034238147e-05,-6.000000035762786954e-01
1.000000000069955347e-10,-4.996282013632138443e-05,-6.000000035762786954e-01
1.000001074175495101e-10,-4.996292756049662543e-05,-6.000000035762786954e-01
1.000003222386574610e-10,-4.996314240884708031e-05,-6.000000035762786954e-01
1.000007518808733627e-10,-4.996357210554784102e-05,-6.000000035762786954e-01
1.000016111653051661e-10,-4.996443149894884064e-05,-6.000000035762786954e-01
1.000033297273925093e-10,-4.996615028574871893e-05,-6.000000035762786954e-01
1.000067668515671956e-10,-4.996958785933957827e-05,-6.000000035762786954e-01
1.000136411066928320e-10,-4.997646300648582999e-05,-6.000000035762786954e-01
1.000273896169441047e-10,-4.999021330063651978e-05,-6.000000035762786954e-01
1.000548866306703866e-10,-5.001771388837066511e-05,-6.000000035762786954e-01
1.001098806581229503e-10,-5.007271506156994425e-05,-6.000000035762786954e-01
1.002198687130280777e-10,-5.018271739889236830e-05,-6.000000035762786954e-01
1.004398448228383325e-10,-5.040272203723263891e-05,-6.000000035762786954e-01
1.008797970492351058e-10,-5.084273116869491075e-05,-6.000000035762786954e-01
1.017597015020286523e-10,-5.172274885074641757e-05,-6.000000035762786954e-01
1.035195104008394817e-10,-5.348278189135799535e-05,-6.000000035762786954e-01
1.070391282052374042e-10,-5.700283867862248862e-05,-6.000000035762786954e-01
1.140783638140332491e-10,-6.404291507737125291e-05,-6.000000035762786954e-01
1.281568350316249390e-10,-7.812291917218409422e-05,-6.000000035762786954e-01
1.563137774668083187e-10,-1.062823325545615081e-04,-6.000000035762786954e-01
2.126276623371750781e-10,-1.625987801182519974e-04,-6.000000035762786954e-01
3.252554320711323332e-10,-2.752221586648468743e-04,-6.000000035762786954e-01
5.505109715458231072e-10,-5.004308512233387280e-04,-6.000000035762786954e-01
1.001022050488428392e-09,-9.506959925199582467e-04,-6.000000035762786954e-01
1.902044208373638960e-09,-1.850617414552623930e-03,-6.000000035762786954e-01
3.601370783296205247e-09,-3.545659452228489081e-03,-6.000000035762786954e-01
5.323316938635387109e-09,-5.260320875729290052e-03,-6.000000035762786954e-01
7.564931902448055953e-09,-7.488016918695009072e-03,-6.000000035762786954e-01
9.748791721660794631e-09,-9.653494594739686629e-03,-6.000000035762786954e-01
1.237058279564376721e-08,-1.224693651822113087e-02,-6.000000035762786954e-01
1.494854329068992212e-08,-1.479034501241319535e-02,-6.000000035762786954e-01
1.789387691845782408e-08,-1.768810773788469584e-02,-6.000000035762786954e-01
2.081050804520390065e-08,-2.054913206186615576e-02,-6.000000035762786954e-01
2.403508326233669149e-08,-2.370239565176361293e-02,-6.000000035762786954e-01
2.724742163033512955e-08,-2.683343613765808849e-02,-6.000000035762786954e-01
3.071905103903228244e-08,-3.020570922394087351e-02,-6.000000035762786954e-01
3.419324158099426624e-08,-3.356852923312877990e-02,-6.000000035762786954e-01
3.788683392957469670e-08,-3.713063439276347022e-02,-6.000000035762786954e-01
4.159519179988007982e-08,-4.069343274735354177e-02,-6.000000035762786954e-01
4.549029262969421202e-08,-4.442104870800791389e-02,-6.000000035762786954e-01
4.940971988127859866e-08,-4.815687275696418218e-02,-6.000000035762786954e-01
5.348915798627324955e-08,-5.202917894048385977e-02,-6.000000035762786954e-01
5.760010172256943171e-08,-5.591487309548247298e-02,-6.000000035762786954e-01
6.184915656252812973e-08,-5.991371289493822860e-02,-6.000000035762786954e-01
6.613488020620211533e-08,-6.392917703275712016e-02,-6.000000035762786954e-01
7.054074117754730033e-08,-6.803851080271229590e-02,-6.000000035762786954e-01
7.498679149225506799e-08,-7.216615286209361602e-02,-6.000000035762786954e-01
7.953818763688192631e-08,-7.637167965854776974e-02,-6.000000035762786954e-01
8.413199123336718120e-08,-8.059599725619503996e-02,-6.000000035762786954e-01
8.881892561190998358e-08,-8.488488004219653382e-02,-6.000000035762786954e-01
9.354947556894783718e-08,-8.919213240119926167e-02,-6.000000035762786954e-01
9.836302685933113153e-08,-9.355278972506067547e-02,-6.000000035762786954e-01
1.032206345782298116e-07,-9.793073541792310377e-02,-6.000000035762786954e-01
1.081528036505916891e-07,-1.023526776910174130e-01,-6.000000035762786954e-01
1.131288993594584797e-07,-1.067903618210395006e-01,-6.000000035762786954e-01
1.181724870518509373e-07,-1.112640587255694230e-01,-6.000000035762786954e-01
1.232594574343635202e-07,-1.157516381190872023e-01,-6.000000035762786954e-01
1.284079648257766514e-07,-1.202684086682354186e-01,-6.000000035762786954e-01
1.335990195063273050e-07,-1.247970068377186048e-01,-6.000000035762786954e-01
1.388465649268338063e-07,-1.293489264948567974e-01,-6.000000035762786954e-01
1.441356257494860694e-07,-1.339105122925317304e-01,-6.000000035762786954e-01
1.494768745910051442e-07,-1.384903333323343755e-01,-6.000000035762786954e-01
1.548584830727959714e-07,-1.430776186401551131e-01,-6.000000035762786954e-01
1.602885877604240113e-07,-1.476787011732899335e-01,-6.000000035762786954e-01
1.657578272280091749e-07,-1.522850540837122624e-01,-6.000000035762786954e-01
1.712723753079860604e-07,-1.569013057519018650e-01,-6.000000035762786954e-01
1.768248049783445745e-07,-1.615206764438960607e-01,-6.000000035762786954e-01
1.824197739498659089e-07,-1.661464994168529163e-01,-6.000000035762786954e-01
1.880513728041147874e-07,-1.707733565178875812e-01,-6.000000035762786954e-01
1.937230905443127447e-07,-1.754036006451937524e-01,-6.000000035762786954e-01
1.994302093060481944e-07,-1.800328763300286794e-01,-6.000000035762786954e-01
2.051753192550197051e-07,-1.846627975949416689e-01,-6.000000035762786954e-01
2.109546390822279066e-07,-1.892898399793284947e-01,-6.000000035762786954e-01
2.167700694706461680e-07,-1.939150635188056360e-01,-6.000000035762786954e-01
2.226185662893617051e-07,-1.985355952189759854e-01,-6.000000035762786954e-01
