time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
1.000000000000000021e-08,7.396783517388555753e-12,2.644056001768449319e-08,1.916999996774159554e+00,-5.775398738632612362e-07,3.222666644150869342e+00,-5.833152726019514775e-05,2.670554731018172778e-06,-5.576868038956003289e-05,-9.080850597023567422e-03,9.171858881706936861e-01,1.611333322070849450e+00
3.085718896991968984e-08,2.281740164776299286e-11,8.108541683610223993e-08,1.916999999358881990e+00,-3.804776355087105765e-06,3.222666647597165923e+00,-2.942981370879629638e-04,2.677170651913541461e-06,-2.917920359190241848e-04,-2.782476551143908683e-02,9.171859246176627956e-01,1.611333323793997963e+00
9.741916411086179603e-08,7.193611743604791107e-11,2.489424809312195527e-07,1.917000012228395001e+00,-8.430032295186853811e-05,3.222666664756516752e+00,-2.557169550974985883e-03,2.698284082585055109e-06,-2.554837872506638026e-03,-8.509341060142305846e-02,9.171860435563113922e-01,1.611333332373673377e+00
3.376585757393004014e-07,2.480405612222474149e-10,7.804563331507644276e-07,1.917000116557336264e+00,-2.847957030608457962e-03,3.222666803861769402e+00,-2.600797893757605603e-02,2.774486745498799447e-06,-2.600620106467928239e-02,-2.627851055310197470e-01,9.171865080043873908e-01,1.611333401926299480e+00
1.345068088484371462e-06,9.668033768975891881e-10,2.164313830976269587e-06,1.917001305331955008e+00,-8.731107126193303480e-02,3.222668388894570857e+00,-2.214491950731679593e-01,3.094011972076322072e-06,-2.214488856059403932e-01,-6.781625791632074352e-01,9.171889487073089375e-01,1.611334194442700429e+00
5.125356156300599999e-06,3.399889008111871192e-09,3.961023736454982459e-06,1.917006280371092330e+00,-5.039985832927843523e-01,3.222675022279988255e+00,-5.484123672083468515e-01,4.292761156050826131e-06,-5.484142090888028953e-01,-9.115802575763852778e-01,9.171975833835117609e-01,1.611337511135409128e+00
1.071185589745715923e-05,6.526497701377081851e-09,5.442204406118874572e-06,1.917009994710728193e+00,-5.682228250085865628e-01,3.222679974732762798e+00,-5.689430121016753050e-01,5.420698241246213326e-06,-5.689475385768812954e-01,-9.170010061831065373e-01,9.172046583948814114e-01,1.611339987361796178e+00
2.043265522276404959e-05,1.371988872304333515e-08,-5.174584644163690986e-06,1.916993667353983355e+00,-5.690864105352084756e-01,3.222658204924093717e+00,-5.690862541725701940e-01,5.800793457151047883e-06,-5.690888617473222055e-01,-9.169909191871004062e-01,9.171709772165888008e-01,1.611329102457461637e+00
3.005854826960410384e-05,2.084304910124883513e-08,-2.342953704515887152e-06,1.916994289541369190e+00,-5.690964584445586949e-01,3.222659034507262099e+00,-5.690982917435531974e-01,2.579727041999302570e-06,-5.690914422946495854e-01,-9.169937554564554505e-01,9.171786356654262340e-01,1.611329517249046051e+00
4.030899870922275791e-05,2.842838191692918016e-08,-7.301853806146629724e-06,1.916987793206917257e+00,-5.691038377436685725e-01,3.222650372728121937e+00,-5.691040227539466700e-01,7.514027070402348820e-06,-5.690932573455175225e-01,-9.169893601729088850e-01,9.171715432470677332e-01,1.611325186359475969e+00
