time,state,q,residual,candidate,denominator,target,stagepeak
1.000000000000000021e-08,7.396783517388555753e-12,2.644056001768448327e-08,1.916999996774159554e+00,-5.634619210313032180e-03,3.222666644150869786e+00,-5.690965402416727770e-01,2.670554731018171084e-06
5.938027354000011764e-08,4.388312209033562615e-11,1.542146082475636320e-07,1.917000004011072400e+00,-3.278300434089127108e-02,3.222666653800086323e+00,-5.690964344681749276e-01,2.686218179818777398e-06
3.556534010105867874e-07,2.611575526932407764e-10,8.160848361603499600e-07,1.917000127895329253e+00,-1.703069413151733491e-01,3.222666818979092795e+00,-5.690959157169015459e-01,2.780194534412842110e-06
8.192189273395774921e-07,5.955512662670498534e-10,1.574010111333667271e-06,1.917000566177846421e+00,-3.182538295978339926e-01,3.222667403355774063e+00,-5.690954231977740641e-01,2.927229634280539254e-06
1.173667944773644167e-06,8.467252675249583057e-10,1.995546946650667031e-06,1.917001045494040934e+00,-3.931227974834752836e-01,3.222668042444023939e+00,-5.690952301632850041e-01,3.039650324309401331e-06
1.947780260757984140e-06,1.382011713772876275e-09,2.632606756158198172e-06,1.917002281008829856e+00,-4.879684379717152409e-01,3.222669689797051706e+00,-5.690951110320948692e-01,3.285162458266605195e-06
3.044949252957959745e-06,2.110478187924187293e-09,3.203667896507274411e-06,1.917003974518309173e+00,-5.420296380160843919e-01,3.222671947809656601e+00,-5.690951888994545405e-01,3.633102809464743599e-06
4.790434581833747120e-06,3.200105347371936964e-09,3.849322311504284321e-06,1.917005978741770811e+00,-5.643822210952276208e-01,3.222674620107565779e+00,-5.690952600177496823e-01,4.186571550423118578e-06
8.771781294059016740e-06,5.396787866273857559e-09,5.130403485462807663e-06,1.917008851760615862e+00,-5.690103444277614386e-01,3.222678450799302041e+00,-5.690949233287818654e-01,5.448711603135663208e-06
1.002170976562500091e-05,6.015845799661178930e-09,5.526423242575163712e-06,1.917009626427540914e+00,-5.690716159100801530e-01,3.222679483688520197e+00,-5.690947541743220928e-01,5.812354456683610217e-06
1.087177399151277937e-05,6.644893285022100867e-09,5.361996925277634782e-06,1.917010049534457305e+00,-5.690846674234285585e-01,3.222680047831066208e+00,-5.690942034373708269e-01,5.397741590729026325e-06
1.252109163588343387e-05,7.865388260716712267e-09,3.920201873651823705e-06,1.917009496221067089e+00,-5.690920362407394517e-01,3.222679310079890946e+00,-5.690935153814760117e-01,4.455290736612447804e-06
1.538385488762990594e-05,9.983832926029153662e-09,6.525438923102820141e-07,1.917004809342459426e+00,-5.690921467983854898e-01,3.222673060908507026e+00,-5.690915058209080613e-01,1.440411553006094284e-06
2.001494045586561040e-05,1.341083601807447784e-08,-4.809835829088721135e-06,1.916994597735309114e+00,-5.690882881256509318e-01,3.222659445432509706e+00,-5.690874190799828369e-01,5.968292267568262652e-06
2.087024474070026562e-05,1.404376114660814823e-08,-5.362916530075678550e-06,1.916992767132705611e+00,-5.690880876269762689e-01,3.222657004629074784e+00,-5.690882613196246442e-01,5.625324985378015194e-06
2.245594458471805138e-05,1.521717895281957069e-08,-5.254009010798670202e-06,1.916990719325690984e+00,-5.690887935089044003e-01,3.222654274219762360e+00,-5.690894221076042703e-01,5.282589109902254652e-06
2.517002328365206996e-05,1.722559705577723417e-08,-4.292338412379910764e-06,1.916990872394092049e+00,-5.690911327727883329e-01,3.222654478310960968e+00,-5.690921896266555313e-01,4.494295620371761169e-06
3.000278805102988341e-05,2.080184274417554197e-08,-2.363662136796402608e-06,1.916994247025020526e+00,-5.690968890975044436e-01,3.222658977818798842e+00,-5.690981331735281978e-01,2.601487991750676757e-06
3.088146247923519036e-05,2.145206177745363959e-08,-2.301209758392439384e-06,1.916994852747937017e+00,-5.690976315204510083e-01,3.222659785449341729e+00,-5.690982235258857935e-01,2.475590524529584900e-06
3.303053174610214086e-05,2.304237292824062793e-08,-3.188522096453864976e-06,1.916994905411265826e+00,-5.690984789824732326e-01,3.222659855667112438e+00,-5.690987369622084735e-01,3.721917178536019124e-06
3.746088136303281932e-05,2.632083142449229890e-08,-5.710803526142439499e-06,1.916990922270340736e+00,-5.690988135321948249e-01,3.222654544812624700e+00,-5.690987810924046375e-01,6.291244700583933451e-06
4.030899780375984487e-05,2.842843744879121070e-08,-7.301853559202790818e-06,1.916987793207989288e+00,-5.690986720920527819e-01,3.222650372729551460e+00,-5.690986001068666367e-01,7.514027746031175929e-06
4.152516348782108612e-05,2.932839999437511039e-08,-7.036132031821838908e-06,1.916986866359960962e+00,-5.690984020358389461e-01,3.222649136932198566e+00,-5.690980347934546657e-01,7.065064645108692847e-06
4.381661330841082061e-05,3.102407274730172321e-08,-5.455686658776983122e-06,1.916987764896840751e+00,-5.690974611905047498e-01,3.222650334981354003e+00,-5.690971133772493307e-01,5.868313829309850028e-06
4.838917268511044704e-05,3.440776645760684750e-08,-1.790664629356487770e-06,1.916994060930062638e+00,-5.690966701085051760e-01,3.222658729692191582e+00,-5.690965947689510251e-01,2.298437732073361058e-06
5.039212167118065967e-05,3.588994860708161822e-08,-2.457733918914312136e-07,1.916997137613258628e+00,-5.690965103245758661e-01,3.222662831936391914e+00,-5.690963240599979933e-01,7.119217759329601169e-07
5.188180840382112505e-05,3.699231671464129339e-08,-9.050965329755726765e-08,1.916998869113571535e+00,-5.690962250293305491e-01,3.222665140603441447e+00,-5.690960555204271909e-01,2.025867644047947992e-07
5.485031264952351069e-05,3.918900970766971047e-08,-7.561989899077459334e-07,1.916999202302316574e+00,-5.690954796209451994e-01,3.222665584855094245e+00,-5.690951099318972695e-01,1.024968740168758643e-06
6.001230148246011146e-05,4.300888118483979773e-08,-2.177593343025683107e-06,1.916996757895184755e+00,-5.690930328747905165e-01,3.222662325645634152e+00,-5.690925199438039428e-01,2.446723682126623747e-06
6.132503629173087793e-05,4.398030487768803415e-08,-2.142809146861020407e-06,1.916996205916327911e+00,-5.690924985828852423e-01,3.222661589673835980e+00,-5.690921162124771282e-01,2.170771295208306354e-06
6.463391752392400090e-05,4.642887682295079989e-08,-9.995462658013790667e-07,1.916997072336784624e+00,-5.690913723800277157e-01,3.222662744901094278e+00,-5.690911127917533952e-01,1.211051552132397973e-06
7.003474512546073655e-05,5.042548897570163263e-08,1.141519400664975353e-06,1.917000973239492811e+00,-5.690903663550647140e-01,3.222667946104627923e+00,-5.690902436273567178e-01,1.524504763036388739e-06
7.196161069072726018e-05,5.185136939666163224e-08,1.427570919251554349e-06,1.917002180788575316e+00,-5.690912832490023776e-01,3.222669556170046690e+00,-5.690921079310127251e-01,1.450500536659264547e-06
7.765975897786809895e-05,5.606799884081630996e-08,1.269617158517261709e-06,1.917002595934422349e+00,-5.690963585849675432e-01,3.222670109697834739e+00,-5.690972190412211251e-01,1.323801916277796629e-06
8.094855691658698227e-05,5.850170914872408295e-08,1.043190690407901978e-06,1.917002341240829022e+00,-5.690991274192993554e-01,3.222669770106382003e+00,-5.690999218272725368e-01,1.147197497635914778e-06
8.582002290363706419e-05,6.210659373171239678e-08,-4.865113260985760262e-07,1.917000160243393481e+00,-5.691028693858247722e-01,3.222666862109844654e+00,-5.691035901766690053e-01,8.233730641041854142e-07
9.065446557600861650e-05,6.568408106319686060e-08,-2.066069564271153594e-06,1.916997078747406658e+00,-5.691059781015302965e-01,3.222662753448589879e+00,-5.691058582461711035e-01,2.261138085688043405e-06
9.488683233042495926e-05,6.881603224561274995e-08,-2.388836274153533171e-06,1.916995676840283158e+00,-5.691024947616426521e-01,3.222660884239120005e+00,-5.691015066607896244e-01,2.431761680138342997e-06
1.004303823300807069e-04,7.291825896203196457e-08,-2.596363766623028619e-06,1.916995171745783377e+00,-5.690972047590479033e-01,3.222660210779797030e+00,-5.690966118815766750e-01,2.624416201389888023e-06
1.050517219612931517e-04,7.633805005241377784e-08,-1.889034746549884557e-06,1.916995892195749729e+00,-5.690968055421673499e-01,3.222661171379737954e+00,-5.690968794027896349e-01,1.977270809603802771e-06
1.115305298691739530e-04,8.113236757158610067e-08,-6.436016172750348887e-07,1.916998151104442716e+00,-5.690971865711571542e-01,3.222664183257950565e+00,-5.690970058444856372e-01,7.583540756800201488e-07
1.201061209772863670e-04,8.747830454983231512e-08,1.526053236683611780e-06,1.917002163314864616e+00,-5.690951370307018031e-01,3.222669532871766496e+00,-5.690948102954404009e-01,1.788758083177088774e-06
