time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
1.000000000000000021e-08,-1.179487228120015117e-11,3.957386252158148468e-08,1.281046390072516195e+00,-2.322198499347256122e-07,2.281046674850910616e+00,-2.345420484340960876e-05,3.997047177177276741e-06,-2.757564646027155057e-05,9.902578762480157559e-03,1.000182240683773260e+00,1.140523337425601191e+00
2.196859832281852071e-08,-2.590800876989037539e-11,8.667138156034065832e-08,1.281046389564444610e+00,-7.829731590447689739e-07,2.281046674342838365e+00,-7.598304551981546360e-05,3.999650641425926283e-06,-8.016153490377645808e-05,2.168378382922007269e-02,1.000155944753528425e+00,1.140523337171565066e+00
5.262275965380157760e-08,-6.202131964193144798e-11,2.048986118545104009e-07,1.281046388295465466e+00,-7.111563519447369062e-06,2.281046673073857889e+00,-3.840823742068135934e-04,4.006318708285222856e-06,-3.884045595926285455e-04,5.122013323059466938e-02,1.000001798148929977e+00,1.140523336537075050e+00
1.233450671701260664e-07,-1.451550589463645140e-10,4.649791814330901882e-07,1.281046385541734001e+00,-8.118325614496671287e-05,2.281046670320123759e+00,-1.976575273661576853e-03,4.021702808754170173e-06,-1.981216217623553346e-03,1.159758299548701022e-01,9.992052458136971849e-01,1.140523335160207763e+00
3.161479428163086612e-07,-3.704998442967960232e-10,1.092427646713744934e-06,1.281046379207767538e+00,-1.171042418778204999e-03,2.281046663986150858e+00,-1.140070182360827453e-02,4.063644177084851521e-06,-1.140612971641858341e-02,2.704667274869778648e-01,9.944918788088081829e-01,1.140523331993221534e+00
1.001237925471272484e-06,-1.156111798960813003e-09,2.606979027180724676e-06,1.281046368435445837e+00,-2.249122722960245416e-02,2.281046653213818054e+00,-7.365096239268981160e-02,4.212690320714902539e-06,-7.365846894763575237e-02,6.213816173174397939e-01,9.633595838398306688e-01,1.140523326607055132e+00
2.415608088127054851e-06,-2.705836751915421115e-09,3.964958000794843277e-06,1.281046380785384242e+00,-1.182849727000408607e-01,2.281046665563769338e+00,-1.866592735561876104e-01,4.520468683707126999e-06,-1.866693041242817042e-01,8.515879044059584402e-01,9.068430792764069492e-01,1.140523332782030552e+00
6.366666074500271985e-06,-6.562528939342708549e-09,5.155506790496662304e-06,1.281046435389772364e+00,-2.400239671753497950e-01,2.281046720168212527e+00,-2.459492458843090812e-01,5.380723366455235585e-06,-2.459637479066853760e-01,8.782677114526671325e-01,8.771906567645423314e-01,1.140523360084252147e+00
1.131439896423062387e-05,-1.111812102343482537e-08,6.152711869108090873e-06,1.281046470478163668e+00,-2.463807844528406454e-01,2.281046755256639358e+00,-2.464147944072898055e-01,6.262422299266524063e-06,-2.464327551272259553e-01,8.767864402053401340e-01,8.769566348528972100e-01,1.140523377628465562e+00
2.141644636852931016e-05,-2.303853744684213973e-08,6.341694011448417729e-06,1.281047997400517557e+00,-2.464014291470454643e-01,2.281048282180540898e+00,-2.464026914998378448e-01,6.722637550904826711e-06,-2.464157390174636086e-01,8.767887687875655089e-01,8.769640261092019884e-01,1.140524141090416332e+00
