time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
2.500000000000000052e-09,-1.699815108739709967e-12,1.530452428851213481e-08,1.916999995828218673e+00,-7.215842043282046870e-09,3.222666642889615130e+00,-2.893552659356171879e-06,6.137239736792531901e-06,-3.530359329581172033e-06,-2.287212733428193451e-03,9.171910612491196435e-01,1.611333321440222566e+00
1.307974870695883851e-08,-8.891607588504222039e-12,7.967914246911284672e-08,1.916999996590701638e+00,-2.269001263239218705e-07,3.222666643906259232e+00,-4.924031534051649900e-05,6.127540931089277827e-06,-4.995029710390038195e-05,-1.191543611561339706e-02,9.171910726721285156e-01,1.611333321948544395e+00
4.660245208447284335e-08,-3.165748979615186746e-11,2.785447848747588182e-07,1.917000001901893791e+00,-9.314388848258252211e-06,3.222666650987848325e+00,-5.998173046626132732e-04,6.096809581540969172e-06,-6.007540422146696955e-04,-4.175893449226711351e-02,9.171911102002761051e-01,1.611333325489338941e+00
1.766539452769195819e-07,-1.196644457437958734e-10,9.806253827559122569e-07,1.917000063380389197e+00,-4.584432038171121692e-04,3.222666732959174940e+00,-7.901624274844821702e-03,5.977587472763798018e-06,-7.903371359505763014e-03,-1.485133917879634946e-01,9.171912754492914654e-01,1.611333366475002249e+00
8.324462239987669652e-07,-5.559419414995194286e-10,3.223536307199498093e-06,1.917001182922357883e+00,-2.971246660049370325e-02,3.222668225681776910e+00,-1.154985440866690694e-01,5.376410504071896879e-06,-1.155030809342968284e-01,-5.181894710593889508e-01,9.171925217806682351e-01,1.611334112836303456e+00
4.152294193509180770e-06,-2.583356230984491358e-09,3.138344068924655751e-06,1.917006800018787871e+00,-4.458634833608776660e-01,3.222675715143572095e+00,-5.230280594669450833e-01,3.481092516451973359e-06,-5.230352777099825934e-01,-9.026209281530735984e-01,9.171952833196065358e-01,1.611337857567200826e+00
1.060370987016221128e-05,-5.923782754732822274e-09,-2.343121647872642908e-06,1.916997941305788045e+00,-5.681409260407954687e-01,3.222663903526415297e+00,-5.689281768757969981e-01,2.303980239014773825e-06,-5.689340866086672888e-01,-9.169763548825246025e-01,9.171798231414811653e-01,1.611331951758622427e+00
2.007340694480644116e-05,-1.236317627521662119e-08,7.955959174526191333e-06,1.917011488613095338e+00,-5.690978557531998216e-01,3.222681966602555903e+00,-5.690997361443630442e-01,9.052290846196177663e-06,-5.691052153850539863e-01,-9.170113293007641220e-01,9.171974749877143118e-01,1.611340983296692730e+00
3.000592095837009680e-05,-1.911728528824401154e-08,5.232363839096792876e-06,1.917011476408423842e+00,-5.690916522474624983e-01,3.222681950329660427e+00,-5.690899813191245826e-01,5.565874658669752887e-06,-5.690973405201161794e-01,-9.170124289859534761e-01,9.171947133995203005e-01,1.611340975160245215e+00
4.232114843563747618e-05,-2.749163932997295048e-08,3.662334156476246697e-06,1.917007220527250144e+00,-5.690883557199255538e-01,3.222676275821513503e+00,-5.690890415298439642e-01,3.723884863811380354e-06,-5.690946228083375580e-01,-9.170059022704696305e-01,9.171891429774658988e-01,1.611338137906171752e+00
5.319167355710910106e-05,-3.488359584260533712e-08,1.685329217186690280e-06,1.917005655213985804e+00,-5.690970366366797650e-01,3.222674188737191692e+00,-5.690979032648451064e-01,2.278529846173568412e-06,-5.690987788604305875e-01,-9.170051157455779700e-01,9.171875646888629774e-01,1.611337094364010847e+00
6.218302864825723934e-05,-4.099771683133079246e-08,-4.567869819261051979e-06,1.916991035847118940e+00,-5.691019392726757165e-01,3.222654696248326900e+00,-5.691017643922031688e-01,4.727929397495908880e-06,-5.690988348963211818e-01,-9.169893397744514063e-01,9.171717006345651013e-01,1.611327348119578229e+00
7.111007873088586698e-05,-4.706811041602012318e-08,3.633495085433151351e-06,1.917005116988295788e+00,-5.691016663043493296e-01,3.222673471102949438e+00,-5.691016436119513688e-01,3.673832232827515944e-06,-5.690998020088211540e-01,-9.170013184581263799e-01,9.171865669443458602e-01,1.611336735546889498e+00
8.095389584214957588e-05,-5.376190552988091685e-08,-4.291747361968318843e-06,1.916994290668314393e+00,-5.690939428969744585e-01,3.222659036009856148e+00,-5.690922852282270794e-01,4.723028208378134326e-06,-5.690852743763363808e-01,-9.169918397557773604e-01,9.171735933345360747e-01,1.611329518000342853e+00
9.420173830610703482e-05,-6.277043770002296368e-08,-6.947891797801698685e-06,1.916987663446154233e+00,-5.690880999556506836e-01,3.222650199713773755e+00,-5.690896642085457868e-01,7.248059487780619852e-06,-5.690828001608834175e-01,-9.169868211013297854e-01,9.171697088728303360e-01,1.611325099852302101e+00
1.056908876230930951e-04,-7.058305862097089427e-08,-6.478313563495580819e-06,1.916986076439034514e+00,-5.690891827160369232e-01,3.222648083704312327e+00,-5.690871564324608833e-01,6.776059302376535134e-06,-5.690861706890872895e-01,-9.169819915288817125e-01,9.171658700133142883e-01,1.611324041847571387e+00
1.192567250917916336e-04,-7.980782737053557207e-08,2.659200320170069166e-06,1.917002750822854429e+00,-5.690888312494111201e-01,3.222670316215741515e+00,-5.690900474867985892e-01,3.422455606825710115e-06,-5.690896640797830086e-01,-9.170020298591797792e-01,9.171875801884790125e-01,1.611335158103285536e+00
1.289461879620484408e-04,-8.639666159921895686e-08,-7.385336251745674591e-07,1.917000557866440635e+00,-5.690949655877423075e-01,3.222667392273899978e+00,-5.690951125012994050e-01,1.333391831569282296e-06,-5.690969542848324236e-01,-9.169974752818378372e-01,9.171789557214473643e-01,1.611333696132364768e+00
1.402747767939211169e-04,-9.410010139088987423e-08,-3.257830114531572189e-06,1.916994284917939328e+00,-5.690871220049866785e-01,3.222659028342689247e+00,-5.690868760195880727e-01,3.370290238229331314e-06,-5.690932207387341402e-01,-9.169891100629090630e-01,9.171721634406697632e-01,1.611329514166759624e+00
1.540809340130271468e-04,-1.034882875480680120e-07,-4.090561777345558953e-06,1.916992709509122594e+00,-5.690849189431529398e-01,3.222656927797631798e+00,-5.690840183903782545e-01,4.254402499208826806e-06,-5.690779362502514926e-01,-9.169802227994415800e-01,9.171625161021215167e-01,1.611328463894230678e+00
1.668186840627710016e-04,-1.121499568848202725e-07,-3.385843506973308091e-06,1.916992612049792433e+00,-5.690812790656133435e-01,3.222656797851860322e+00,-5.690820009649227851e-01,3.547310275434405516e-06,-5.690819576810357550e-01,-9.169783866540873740e-01,9.171632382645016346e-01,1.611328398921344940e+00
