time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
2.500000000000000052e-09,-1.875524285567806377e-12,1.247260082810315233e-08,1.165329098806808572e+00,-2.473368394384957399e-08,2.198394916597447679e+00,-9.918207261483927864e-06,5.001615207396155086e-06,-1.022683388050074739e-06,2.494202407378101789e-03,1.000195617818359306e+00,1.099197458298723618e+00
1.763539312913065419e-08,-1.322650801287775741e-11,8.743686090399289449e-08,1.165329099578616079e+00,-3.133992734272286985e-07,2.198394917523616154e+00,-3.468782349216047064e-05,5.004516759789887470e-06,-2.587412080309464950e-05,1.748069138007803461e-02,1.000180715379642926e+00,1.099197458761808299e+00
6.413670475026374641e-08,-4.805407536052593801e-11,3.110506192678777610e-07,1.165329103456310023e+00,-7.500455389783404970e-06,2.198394922176849064e+00,-3.348237491966240533e-04,5.013431407578976919e-06,-3.262547266851286809e-04,6.212671690216784587e-02,1.000000484677140200e+00,1.099197461088424532e+00
2.281443568976625970e-07,-1.703284477745931835e-10,1.024763527585145033e-06,1.165329133130694084e+00,-2.777848317053672241e-04,2.198394957786109494e+00,-3.708250568420826641e-03,5.044873456775173246e-06,-3.700469553880512269e-03,2.038545712407925370e-01,9.979756548090386037e-01,1.099197478893054969e+00
1.001243611293142175e-06,-7.351077045597521135e-10,3.234022067605463364e-06,1.165329524187584731e+00,-1.326017031625790175e-02,2.198395427054373741e+00,-4.346357447574941690e-02,5.193096585139552159e-06,-4.345835287949368492e-02,6.246956692126589550e-01,9.741164132261450614e-01,1.099197713527186870e+00
4.172604699622011737e-06,-2.863112693553303462e-09,5.534477488885344020e-06,1.165333266383129507e+00,-1.235510680685772966e-01,2.198399917688983241e+00,-1.427174454391398617e-01,5.801317390031952225e-06,-1.427159608424562187e-01,9.104852055656595944e-01,9.145496474350874871e-01,1.099199958844491398e+00
1.045076670911377792e-05,-6.421370139787479029e-09,6.743368908446037354e-06,1.165336466255979753e+00,-1.503236067192420256e-01,2.198403757536365077e+00,-1.504178879339779507e-01,6.767995091778257599e-06,-1.504203273917943673e-01,9.097716430152986700e-01,9.099254283029166723e-01,1.099201878768182539e+00
2.109772732963219232e-05,-1.440969162241363391e-08,9.868410651223642983e-07,1.165331983162450680e+00,-1.504172852407955063e-01,2.198398377824183569e+00,-1.504173427216383419e-01,1.900826151921254602e-06,-1.504153688812131795e-01,9.097545011346751531e-01,9.099368875385284161e-01,1.099199188912091785e+00
3.216362964313561410e-05,-2.271234139238395433e-08,-2.194532788534275613e-06,1.165326941415337769e+00,-1.504074706550826979e-01,2.198392327727708206e+00,-1.504070102096835559e-01,2.196779124971890640e-06,-1.504007099721779983e-01,9.097616304358774331e-01,9.099439532245916507e-01,1.099196163863854103e+00
4.184052285932126128e-05,-2.997282977681233589e-08,-1.276083213708908910e-06,1.165328063733072517e+00,-1.504101155880614160e-01,2.198393674508976492e+00,-1.504108895103488663e-01,1.931561382250993388e-06,-1.504094135370565299e-01,9.097586905372476718e-01,9.099387780288932248e-01,1.099196837254488246e+00
5.114331178458422230e-05,-3.695263098020583091e-08,-7.758884775169110857e-06,1.165321539708739307e+00,-1.504134674529797877e-01,2.198385845679854178e+00,-1.504134777101227283e-01,7.737158915452339682e-06,-1.504078414555276577e-01,9.097438492007885458e-01,9.099261246052279262e-01,1.099192922839927089e+00
6.008004801674668031e-05,-4.365778604625368746e-08,2.842899559398048007e-06,1.165328667555262099e+00,-1.504136562317979209e-01,2.198394399095596530e+00,-1.504142441445874279e-01,3.970774066600504755e-06,-1.504110275777383043e-01,9.097503441378136380e-01,9.099326416198535439e-01,1.099197199547798265e+00
