time,state,q,residual,candidate,denominator,target,stagepeak
2.500000000000000052e-09,-1.674089885698466384e-12,-1.046090472937223352e-08,1.307993888696124207e+00,-6.372383352154225179e-04,2.410658512143713850e+00,-2.555325724213907135e-01,4.194908575897045729e-06
6.031332967367872351e-07,-3.986734984877284573e-10,-1.664655905233637045e-06,1.307993565572104444e+00,-1.157361687480141094e-01,2.410658081311693568e+00,-2.555334640645886557e-01,3.247367900058444902e-06
3.224264331303517404e-06,-2.014798026592267157e-09,-4.600503225382952582e-07,1.307992086752698846e+00,-2.453752533790926615e-01,2.410656109552515414e+00,-2.555296018891355936e-01,1.045181111134182671e-06
1.001037773437499909e-05,-5.436779524924769340e-09,1.001500991570434549e-05,1.308003475025339091e+00,-2.555128766091554482e-01,2.410671293915809255e+00,-2.555233507402351334e-01,1.156762899129381776e-05
1.369398590243447410e-05,-7.903724112006269073e-09,8.814510573549201103e-06,1.308006473671781134e+00,-2.555246921009660666e-01,2.410675292111005952e+00,-2.555253825963069159e-01,9.214067495102294414e-06
2.240138383384645575e-05,-1.373514461344100998e-08,4.073000103534038880e-07,1.307996300329586470e+00,-2.555249577719127529e-01,2.410661727654948905e+00,-2.555253438514371034e-01,9.290140416268823342e-07
3.051904124848799354e-05,-1.917161073481384941e-08,-6.190479726997280288e-06,1.307987276672689436e+00,-2.555288711642730859e-01,2.410649696112598939e+00,-2.555292046025730568e-01,6.311208133827139944e-06
3.756495936551541636e-05,-2.389032368017599438e-08,-6.700497822182249078e-07,1.307990928394590302e+00,-2.555292435810881946e-01,2.410654565075060596e+00,-2.555295805913881391e-01,1.356231893293869611e-06
4.291207357588765653e-05,-2.747133280078341795e-08,1.434389797519627317e-06,1.307995862780426233e+00,-2.555303811172623951e-01,2.410661144256077471e+00,-2.555303529467828350e-01,1.512999964744673500e-06
5.183110621192711713e-05,-3.344448690844648311e-08,-3.064343111226874636e-06,1.307990782238175109e+00,-2.555263435993930243e-01,2.410654370199843743e+00,-2.555256716647683612e-01,3.449777994909967489e-06
6.048621091046778444e-05,-3.924088616814125178e-08,-6.050267944890842430e-06,1.307986502473525992e+00,-2.555208551084883761e-01,2.410648663847062778e+00,-2.555205539100758871e-01,6.067124488545642322e-06
6.860453288285156949e-05,-4.467779734343794860e-08,7.348982847341293500e-07,1.307992737195921684e+00,-2.555219108868835298e-01,2.410656976810133134e+00,-2.555223290771792555e-01,1.668286714432770583e-06
7.737590111339287156e-05,-5.055205930365987949e-08,6.689656339446431888e-06,1.308001267716334848e+00,-2.555212030887707986e-01,2.410668350837181340e+00,-2.555208674599107055e-01,7.274540495015043747e-06
8.239384915759755883e-05,-5.391262296187178135e-08,6.430270546722548501e-06,1.308003676562771833e+00,-2.555233855005891175e-01,2.410671562632382692e+00,-2.555255351521600882e-01,6.960865219681705525e-06
9.016901307005185994e-05,-5.911971818199954616e-08,-5.485914161807448854e-06,1.307989975412460870e+00,-2.555373526102219239e-01,2.410653294432240301e+00,-2.555385058355698624e-01,6.625827391113754928e-06
9.429137655706086466e-05,-6.188050103451558653e-08,-2.963115792822940956e-06,1.307988120294457435e+00,-2.555325954582088888e-01,2.410650820941605765e+00,-2.555310800203413057e-01,3.675799327671781215e-06
1.007579475280732804e-04,-6.621122012437237592e-08,3.979985977761897100e-06,1.307997096920117563e+00,-2.555255163900403970e-01,2.410662789775641190e+00,-2.555249158995184233e-01,3.965132954026685196e-06
1.073405770424852319e-04,-7.061966463410312342e-08,-2.567998205541291713e-06,1.307992904573737958e+00,-2.555229570991552901e-01,2.410657199980551724e+00,-2.555221824820457788e-01,3.726668436866886654e-06
1.121474497429380093e-04,-7.383886928708824334e-08,-5.421726558977154253e-06,1.307986772937044462e+00,-2.555210085006847098e-01,2.410649024465082224e+00,-2.555214768199793318e-01,5.626193366688570332e-06
1.200700732573662587e-04,-7.914471948658061573e-08,2.176357902924243389e-06,1.307994494953425235e+00,-2.555303772556239417e-01,2.410659320486769897e+00,-2.555316789383947906e-01,3.075975554996846300e-06
1.268554732621006149e-04,-8.368896116299697862e-08,9.593481239768433321e-07,1.307995796390164944e+00,-2.555259108687572556e-01,2.410661055735730418e+00,-2.555246651855778706e-01,1.126425262427892961e-06
1.357143406210946390e-04,-8.962182204386836202e-08,-7.828523232661263252e-07,1.307992910283723109e+00,-2.555245664388610671e-01,2.410657207593864815e+00,-2.555254658126355771e-01,8.327841931715938798e-07
1.456175183658921062e-04,-9.625406671364148143e-08,-1.584537078563407844e-06,1.307991974775336574e+00,-2.555253169443362227e-01,2.410655960249368235e+00,-2.555244120642506389e-01,1.702144383002965394e-06
1.556096918174366647e-04,-1.029459125838741432e-07,-3.140995199717880887e-06,1.307990118076128416e+00,-2.555268054413535883e-01,2.410653484650460587e+00,-2.555281740427584047e-01,3.341732971344548417e-06
1.646090645971145182e-04,-1.089728711675372549e-07,-3.766510976514568561e-06,1.307988668350657191e+00,-2.555315556184750148e-01,2.410651551683194782e+00,-2.555308935225393263e-01,3.908004958813675188e-06
1.744538082334760279e-04,-1.155659819985908332e-07,-2.101028410203845907e-06,1.307990532110561377e+00,-2.555295658397580549e-01,2.410654036696362912e+00,-2.555301575249731005e-01,2.333159855332690526e-06
1.814916132668504298e-04,-1.202792615205950869e-07,-1.023652807088191220e-06,1.307992623744018479e+00,-2.555332366583471515e-01,2.410656825540931081e+00,-2.555331659708900971e-01,1.519666418748706165e-06
1.902267946351023390e-04,-1.261292888031079526e-07,-7.000515660055201760e-06,1.307986154899820397e+00,-2.555291645688486657e-01,2.410648200415462128e+00,-2.555286183049730875e-01,7.467724670013374236e-06
