time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
1.000000000000000021e-08,7.996522749391139242e-12,-3.043442971427718311e-08,1.999999999361660619e+00,-5.050239052930920701e-07,3.333333312618881106e+00,-5.100741443460734740e-05,3.073944356887366414e-06,-5.883847526543914717e-05,-9.902754688742635564e-03,1.000200009623321007e+00,1.666666656304440330e+00
1.006616604502535707e-08,8.049432501714316666e-12,-3.063579626208177942e-08,1.999999999357432667e+00,-5.083782554852569961e-07,3.333333312613243393e+00,-5.139824186225905306e-05,3.073963285433058972e-06,-5.922907408964646450e-05,-9.968275131974282596e-03,1.000200009551956537e+00,1.666666656301621474e+00
1.314751915827578594e-08,1.051327139400333890e-11,-4.000007800020184454e-08,1.999999999150547714e+00,-6.959323703603496068e-07,3.333333312337396936e+00,-7.244616048815986139e-05,3.074844788088141429e-06,-8.026636014419981564e-05,-1.301476471843348269e-02,1.000200006222978777e+00,1.666666656163698246e+00
1.736846023485636683e-08,1.388778500327768468e-11,-5.278523253492907995e-08,1.999999998835431114e+00,-1.074281917993806579e-06,3.333333311917241470e+00,-1.102819407618984193e-04,3.076052300593292632e-06,-1.180876183377118938e-04,-1.717273814938982332e-02,1.000200001645228820e+00,1.666666655953620735e+00
2.231228963166433278e-08,1.783943838856171625e-11,-6.769799707586415269e-08,1.999999998419716540e+00,-1.748875875242181906e-06,3.333333311362955520e+00,-1.677244299726669092e-04,3.077466615324494819e-06,-1.755131610006707742e-04,-2.202054773649926925e-02,1.000199996257516100e+00,1.666666655676477760e+00
2.820177862459136385e-08,2.254585863676788684e-11,-8.537640975642352770e-08,1.999999997858818990e+00,-2.968817735275468582e-06,3.333333310615091971e+00,-2.544529026865177744e-04,3.079151462404526839e-06,-2.622215333485794215e-04,-2.776444984803720997e-02,1.000199989802524003e+00,1.666666655302545985e+00
3.531140579216422195e-08,2.822571286196379202e-11,-1.065922053342278802e-07,1.999999997086608250e+00,-5.197957930547964779e-06,3.333333309585477355e+00,-3.853351654395820603e-04,3.081185364504345111e-06,-3.930796578131755758e-04,-3.465340411377058200e-02,1.000199981956813033e+00,1.666666654787738899e+00
4.398224586578600363e-08,3.515043822061156088e-11,-1.322829359920684101e-07,1.999999996004041547e+00,-9.305328388095585697e-06,3.333333308142055085e+00,-5.831624125932767348e-04,3.083665896368082580e-06,-5.908776517714098070e-04,-4.298907962393736654e-02,1.000199972308741136e+00,1.666666654066027542e+00
5.464410425929875131e-08,4.366165721929552055e-11,-1.635982763685335555e-07,1.999999994460904817e+00,-1.692959087937669432e-05,3.333333306084539593e+00,-8.829405143735492064e-04,3.086716017264766405e-06,-8.906200603622041207e-04,-5.314021084958207852e-02,1.000199960324761994e+00,1.666666653037269796e+00
6.784785843157387539e-08,5.419657056530384005e-11,-2.019643062982673456e-07,1.999999992226051404e+00,-3.118465409545769320e-05,3.333333303104735190e+00,-1.338701585539356451e-03,3.090493323558828206e-06,-1.346337347867910660e-03,-6.556236146859313607e-02,1.000199945298228421e+00,1.666666651547367595e+00
