time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
1.000000000000000021e-08,7.996522749391139242e-12,-3.043442971427718311e-08,1.999999999361660619e+00,-8.933347938215089746e-07,3.333333312618881106e+00,-9.022681417598134030e-05,3.073944356887366414e-06,-9.805787683652938242e-05,9.902106660743635949e-03,1.000134557369760646e+00,1.666666656304440330e+00
1.002846238524935039e-08,8.019282746423241655e-12,-3.052105224351580074e-08,1.999999999359843184e+00,-8.958813788263970756e-07,3.333333312616457267e+00,-9.050640579788291691e-05,3.073952499304800445e-06,-9.833737012471438271e-05,9.930290014389837883e-03,1.000134370974761655e+00,1.666666656303228633e+00
1.231326526135753738e-08,9.846237557495995991e-12,-3.746734727966406950e-08,1.999999999208489587e+00,-1.128014814628784102e-06,3.333333312414652916e+00,-1.155377056581737553e-04,3.074606127636532191e-06,-1.233607837013242254e-04,1.219005993382302200e-02,1.000117683047168748e+00,1.666666656202326235e+00
1.604477485782947388e-08,1.282960558177566921e-11,-4.878107263075989412e-08,1.999999998938198242e+00,-1.646563317274862255e-06,3.333333312054264308e+00,-1.673634750903190717e-04,3.075673625104099482e-06,-1.751737047418155892e-04,1.586950638386992740e-02,1.000083130420405642e+00,1.666666656022132154e+00
2.031465563869291137e-08,1.624281137925541321e-11,-6.168028908721221614e-08,1.999999998593749773e+00,-2.508171521271428642e-06,3.333333311594999682e+00,-2.432077247445906529e-04,3.076895138547539536e-06,-2.510032998679089010e-04,2.006281933086551464e-02,1.000032562947215764e+00,1.666666655792499840e+00
2.528501105672268426e-08,2.021515612179346046e-11,-7.663295687635306675e-08,1.999999998145526980e+00,-3.965662691375226566e-06,3.333333310997369736e+00,-3.535357834627341237e-04,3.078317042268403581e-06,-3.613143636756796897e-04,2.492123729280158392e-02,9.999590025467416377e-01,1.666666655493684424e+00
3.113501793334362199e-08,2.488942517193127882e-11,-9.414600404575130944e-08,1.999999997552832198e+00,-6.456014450675128677e-06,3.333333310207109434e+00,-5.134583560004929220e-04,3.079990595025095073e-06,-5.212170208912381012e-04,3.060811672864425723e-02,9.998523736190938482e-01,1.666666655098554717e+00
3.808862982882099971e-08,3.044394980177756512e-11,-1.148427325799519036e-07,1.999999996756707032e+00,-1.074787071223654803e-05,3.333333309145609213e+00,-7.453322045198748028e-04,3.081979865405370070e-06,-7.530673191666314428e-04,3.732378681831794581e-02,9.996977689443122816e-01,1.666666654567804606e+00
4.641811700239985614e-08,3.709530932512258974e-11,-1.394640147464635162e-07,1.999999995672090414e+00,-1.819577790319310183e-05,3.333333307699453574e+00,-1.081966145706793380e-03,3.084362744654077168e-06,-1.089673223692530415e-03,4.530544596928699763e-02,9.994733119248240261e-01,1.666666653844726786e+00
5.646159878257870687e-08,4.511214522681832379e-11,-1.689065082558771459e-07,1.999999994174535667e+00,-3.120280463862464080e-05,3.333333305702714355e+00,-1.571739399749316063e-03,3.087235962476706403e-06,-1.579412920978164481e-03,5.483877662978902529e-02,9.991467436878361807e-01,1.666666652846356955e+00
