time,state,q,residual,candidate,denominator,target,stagepeak
1.000000000000000021e-08,7.996522749391139242e-12,-3.043442971427718311e-08,1.999999999361660619e+00,-5.940516219886734541e-03,3.333333312618881106e+00,-5.999921382086197408e-01,3.073944356887365991e-06
1.017446882478902092e-08,8.136036612340198841e-12,-3.096537361710153530e-08,1.999999999350492219e+00,-6.044150658163878302e-03,3.333333312603989462e+00,-5.999921387012213669e-01,3.073994268305570190e-06
1.575747121803765072e-08,1.259992151312708526e-11,-4.791134842629776894e-08,1.999999998960027225e+00,-9.350925634810753825e-03,3.333333312083369471e+00,-5.999921544171846755e-01,3.075591434246978596e-06
7.345465386726731056e-08,5.866825103201206532e-11,-2.181203040796417315e-07,1.999999991168988522e+00,-4.246522122808431970e-02,3.333333301695318163e+00,-5.999923115462044709e-01,3.092097307361599721e-06
1.642214179557414229e-07,1.309074987490653011e-10,-4.686321159148631115e-07,1.999999965131001867e+00,-9.084277049672367932e-02,3.333333266978003362e+00,-5.999925399706349527e-01,3.118063881414253327e-06
2.771860438138917791e-07,2.204162568317269105e-10,-7.533886704210519697e-07,1.999999909722838920e+00,-1.452312224406673291e-01,3.333333193100453951e+00,-5.999927943613465597e-01,3.150381221561903770e-06
4.119175896446621526e-07,3.265990167621191246e-10,-1.057998659491474963e-06,1.999999811953534046e+00,-2.025569692752866580e-01,3.333333062741382413e+00,-5.999930583510344473e-01,3.188926296470955578e-06
5.668553298600200584e-07,4.479399494894437469e-10,-1.367096081062496715e-06,1.999999660513674282e+00,-2.596058260785200078e-01,3.333332860821572652e+00,-5.999933149326168724e-01,3.233252887189558682e-06
7.428361154261679404e-07,5.847731097605771592e-10,-1.672380708860603234e-06,1.999999444270659232e+00,-3.145379857916666966e-01,3.333332572497556434e+00,-5.999935538028918769e-01,3.283600732252458067e-06
9.405244657974581779e-07,7.372414253990043918e-10,-1.966589265407048317e-06,1.999999155093035386e+00,-3.657474915335178212e-01,3.333332186927397522e+00,-5.999937664976374707e-01,3.340160323543874747e-06
1.003852439282410088e-06,7.858069983685437924e-10,-2.051417463201176139e-06,1.999999053924675030e+00,-3.801228119227552660e-01,3.333332052036252602e+00,-5.999938240256619260e-01,3.358279039003187789e-06
1.119689983054702269e-06,8.742963766677396850e-10,-2.196173559381183617e-06,1.999998860084499785e+00,-4.041751614314809116e-01,3.333331793582689162e+00,-5.999939177639052046e-01,3.391421570615523538e-06
1.361307659043472838e-06,1.057442319047595426e-09,-2.460372459203900234e-06,1.999998427431937564e+00,-4.462137138424357996e-01,3.333331216712614342e+00,-5.999940728952908309e-01,3.460552757782226030e-06
1.633760524113101856e-06,1.261666482714038611e-09,-2.708532340336519400e-06,1.999997911464102884e+00,-4.828968440987167487e-01,3.333330528755511946e+00,-5.999941979035492423e-01,3.538508745530033771e-06
1.937290000001118300e-06,1.486354194817643396e-09,-2.937641312324449599e-06,1.999997325428125139e+00,-5.135600874533043925e-01,3.333329747374219831e+00,-5.999942952475528779e-01,3.625359406814355232e-06
2.281492100021366219e-06,1.737587714037141345e-09,-3.152934119457591461e-06,1.999996671896769662e+00,-5.387393451007811418e-01,3.333328875999091778e+00,-5.999943739940534204e-01,3.723851526352007160e-06
2.673191319853636036e-06,2.018952847264329275e-09,-3.357133996589650216e-06,1.999995966585680796e+00,-5.585999993447664513e-01,3.333327935584321278e+00,-5.999944447903948763e-01,3.835939303260570988e-06
3.126322453806668078e-06,2.338523717480502910e-09,-3.556778300308790557e-06,1.999995220982376587e+00,-5.736909255400804986e-01,3.333326941446597136e+00,-5.999945227419760663e-01,3.965612223160179611e-06
3.659422617861988424e-06,2.706520319546735687e-09,-3.759754098248063045e-06,1.999994449269234531e+00,-5.845679045463624268e-01,3.333325912495756604e+00,-5.999946268999160059e-01,4.118177922093929999e-06
4.303778955787385082e-06,3.140080445053526851e-09,-3.978137139297270677e-06,1.999993658736560986e+00,-5.919029426199806654e-01,3.333324858452206829e+00,-5.999947824371335559e-01,4.302594796920573482e-06
5.112531378429151649e-06,3.667344965370029284e-09,-4.230393891931684729e-06,1.999992844395336311e+00,-5.963971146409796642e-01,3.333323772663923990e+00,-5.999950242201584905e-01,4.534079278811094962e-06
6.189890311571086472e-06,4.341539003914327406e-09,-4.549722701633676263e-06,1.999991968032155176e+00,-5.987753688897266002e-01,3.333322604179699944e+00,-5.999954079771773197e-01,4.842473626826373445e-06
7.779034721889351172e-06,5.280101654130686970e-09,-5.009055052901041501e-06,1.999990902693015604e+00,-5.997502489897228450e-01,3.333321183727534720e+00,-5.999960465200661064e-01,5.297422645319295181e-06
9.999999999999999124e-06,6.487799635664640449e-09,-5.645826097782441942e-06,1.999989576703858241e+00,-5.999710009596381788e-01,3.333319415742018066e+00,-5.999969934390705362e-01,5.933356867810126177e-06
1.000622265624999842e-05,6.491209999040876598e-09,-5.647584035383315169e-06,1.999989573086887962e+00,-5.999711621875184475e-01,3.333319410919390879e+00,-5.999969936608491317e-01,5.927538075276068945e-06
1.001264414062499945e-05,6.496347186217534568e-09,-5.649349402045806392e-06,1.999989569354839070e+00,-5.999713275312705818e-01,3.333319405943325986e+00,-5.999969938509023271e-01,5.921531740809686753e-06
1.010632226562501449e-05,6.571289681500371402e-09,-5.669620382435433729e-06,1.999989515110660143e+00,-5.999736229521611675e-01,3.333319333617755120e+00,-5.999969923092921542e-01,5.833909920358946034e-06
