time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
2.500000000000000052e-09,-4.470160545009044137e-12,-1.416016267094395054e-08,1.493884265602118289e+00,-2.187557735241147327e-08,2.658512344325969945e+00,-8.772106524472709390e-06,5.678341344382426444e-06,-3.081449837306389279e-06,2.494216811682051487e-03,1.000201394062358418e+00,1.329256172160515614e+00,-1.657140275771783451e-21,7.600909744060555892e-08,-8.750230940964807683e-07,3.040363897624298378e-06
3.283766107973190741e-09,-5.871512326997558400e-12,-1.859714944519866970e-08,1.493884265664592315e+00,-2.915189170332055656e-08,2.658512344409269090e+00,-9.893823031352778468e-06,5.676871281353228964e-06,-4.198414557360382534e-06,3.275863165791249604e-03,1.000200647518389774e+00,1.329256172202164965e+00,-2.261435390858369234e-21,9.982910344305501224e-08,-9.864670342688296815e-07,3.037981902524791294e-06
6.769884221452434418e-09,-1.210284071001128350e-11,-3.827642203690324717e-08,1.493884265920900178e+00,-7.679935052983263199e-08,2.658512344751012613e+00,-1.852951552943520988e-05,5.670332577170942747e-06,-1.281302757375866448e-05,6.745128315495012468e-03,1.000194895520949645e+00,1.329256172373036948e+00,-7.594890101498954817e-21,2.055523527356657101e-07,-1.845271096573573136e-06,3.027409601904590117e-06
1.048623010965310109e-08,-1.874254322023978406e-11,-5.915485686194148456e-08,1.493884266155377061e+00,-1.723729785082527007e-07,2.658512345063648308e+00,-3.425756113640576782e-05,5.663362045307823762e-06,-2.851870205087797319e-05,1.043018138925735222e-02,1.000184414724027304e+00,1.329256172529354796e+00,-2.108143690200370295e-20,3.178525635196341565e-07,-3.408515529972838051e-06,3.016179606462363046e-06
1.534202385750832619e-08,-2.741311017323341545e-11,-8.627907960577884929e-08,1.493884266401565242e+00,-4.071179717408808795e-07,2.658512345391899068e+00,-6.486847696248967564e-05,5.654254313072416221e-06,-5.910054327032112444e-05,1.522441963798287258e-02,1.000164012020809956e+00,1.329256172693480176e+00,-6.191203592642869990e-20,4.639570126100090350e-07,-6.446113679423482765e-06,3.001569194622016571e-06
2.190543466639091176e-08,-3.912400761758805343e-11,-1.226631478370967960e-07,1.493884266626176682e+00,-1.011886182666636804e-06,2.658512345691380840e+00,-1.241757503013428074e-04,5.641943693202380872e-06,-1.183687962342175592e-04,2.166753982489607114e-02,1.000124477537768009e+00,1.329256172843221062e+00,-1.966567010730268300e-19,6.603172325329591561e-07,-1.231623144130302598e-05,2.981933216568957523e-06
3.092340735764946357e-08,-5.519800025728626709e-11,-1.721348310784620597e-07,1.493884266732576682e+00,-2.604525711537842200e-06,2.658512345833247803e+00,-2.388194403715741452e-04,5.625029173390794091e-06,-2.329593923248081150e-04,3.045102505454518743e-02,1.000048048900548547e+00,1.329256172914154321e+00,-6.676349769620067183e-19,9.280182910014195368e-07,-2.362039317742100096e-05,2.955163169697386162e-06
4.347412972314642535e-08,-7.753714583596954651e-11,-2.399959446141788081e-07,1.493884266492637725e+00,-6.864213538847805491e-06,2.658512345513329045e+00,-4.610439038029069832e-04,5.601488435817032040e-06,-4.551109531906655020e-04,4.254291399076980118e-02,9.998998912549297291e-01,1.329256172754195164e+00,-2.381784196473135860e-18,1.296594851111958340e-06,-4.541016331829892842e-05,2.918305593156077612e-06
6.115734921248396377e-08,-1.089490518265425177e-10,-3.336766689978505425e-07,1.493884265392803501e+00,-1.842953457846317050e-05,2.658512344046883413e+00,-8.946376234195443878e-04,5.568320877536666457e-06,-8.886038887134651947e-04,5.932034913333941728e-02,9.996108007926204353e-01,1.329256172020972349e+00,-8.826650113483829559e-18,1.808109357117620748e-06,-8.756479351091286533e-05,2.867154249565037259e-06
8.649197382314783494e-08,-1.538253343892311894e-10,-4.640271797450943228e-07,1.493884262278563524e+00,-5.050785888815240881e-05,2.658512339894564036e+00,-1.752209151827996587e-03,5.520801821918180623e-06,-1.746034889145154029e-03,8.283540723264211370e-02,9.990390135524626070e-01,1.329256169944812438e+00,-3.395970641987249234e-17,2.525368191547408929e-06,-1.697606678849208992e-04,2.795428509869684226e-06
1.240766403109670743e-07,-2.201253069778615242e-10,-6.492411031795076556e-07,1.493884254370345888e+00,-1.436381962806010620e-04,2.658512329350273262e+00,-3.509093311545331655e-03,5.450305619141393822e-06,-3.502718735303648849e-03,1.166095486118051971e-01,9.978675819856288598e-01,1.329256164672667273e+00,-1.386923847262228952e-16,3.556522038291941619e-06,-3.334045723895237806e-04,2.692313319292087633e-06
1.875166346384745825e-07,-3.312924632233433479e-10,-9.406496909864936227e-07,1.493884232353680952e+00,-4.646096494075633654e-04,2.658512299994720607e+00,-7.673914259292179303e-03,5.331312768674336311e-06,-7.667222784821958737e-03,1.706959667088890631e-01,9.950905715710038901e-01,1.329256149994890945e+00,-6.869763871129699819e-16,5.211477772868436029e-06,-6.912475120188562184e-04,2.526818027623347170e-06
2.600988397935506817e-07,-4.573452958274838332e-10,-1.243200616361571180e-06,1.493884194401388532e+00,-1.129791267427091754e-03,2.658512249391665083e+00,-1.406100244776143163e-02,5.195170961650488955e-06,-1.405397925590638405e-02,2.282640562937792161e-01,9.908317564047032233e-01,1.329256124693363184e+00,-2.381140717440216318e-15,6.980529152891136464e-06,-1.138700009051062719e-03,2.349913152519982094e-06
3.811050704656367878e-07,-6.648342346667867452e-10,-1.680379060421009992e-06,1.493884103224251580e+00,-2.879627854497173161e-03,2.658512127822151072e+00,-2.784552453995703045e-02,4.968197971760254928e-06,-2.783801553759233591e-02,3.146553362934503273e-01,9.816403735246911344e-01,1.329256063908605956e+00,-9.525745884578109077e-15,9.658774151672499798e-06,-1.695609587939879339e-03,2.082088981126432890e-06
5.559796439128462507e-07,-9.589067117084209690e-10,-2.180725894974481179e-06,1.493883918310891401e+00,-6.144038862942266359e-03,2.658511881271008015e+00,-5.276560747584755490e-02,4.640177632243484090e-06,-5.275752783408251684e-02,4.203226166712425438e-01,9.650238157302056807e-01,1.329255940633034427e+00,-3.323585337489931774e-14,1.299926340576393512e-05,-1.962569306586857843e-03,1.748040360401701256e-06
9.127838602054931290e-07,-1.538306127564657815e-09,-2.812284977245419520e-06,1.493883405178269452e+00,-1.325344352638207525e-02,2.658511197094188372e+00,-1.124413628351932232e-01,3.970882819071756397e-06,-1.124325081939930998e-01,5.775337901854753486e-01,9.252322057078153916e-01,1.329255598544624828e+00,-1.380053143664272109e-13,1.824515963950740243e-05,-1.999803047270374331e-03,1.223451019058096194e-06
1.527322626063796289e-06,-2.474548878054817245e-09,-3.052496851916541009e-06,1.493882394961017823e+00,-2.554408699161852050e-02,2.658509850137873443e+00,-2.119426875270372934e-01,3.037454050457421619e-06,-2.119333456278624517e-01,7.198642715155501026e-01,8.588847560503408696e-01,1.329254925066467141e+00,-4.992337744370447681e-13,2.386268792040914364e-05,-1.999999976938831182e-03,6.616982834961521639e-07
