time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
2.500000000000000052e-09,2.899626830007765181e-12,-1.040919378579165229e-08,1.493884265343180529e+00,-4.999999999999874879e-05,2.658512343980719894e+00,-3.715584336173654578e-01,4.174172063491496559e-06,-1.249975000499896078e-18,-2.501835949034200448e-08,-2.000000000000000042e-03,-1.000734379613705325e-06
5.073492028020385213e-07,5.820698823670439316e-10,-1.555656529195861073e-06,1.493884017088501936e+00,-1.014698405601501853e-02,2.658512012974486360e+00,-3.715594440289177736e-01,3.684116820959552846e-06,-2.574043285108823868e-14,-3.992126229824749661e-06,-1.999999999999998741e-03,-6.040236603603863871e-07
2.214303614547162852e-06,2.448775914338986320e-09,-2.435496438791293746e-06,1.493881945477633089e+00,-4.428607229045278953e-02,2.658509250826702974e+00,-3.715583562415997743e-01,2.403912649078254844e-06,-4.903048699328927364e-13,-8.936989592300105135e-06,-1.999999999999975756e-03,-1.095373887725609251e-07
7.360131327486719405e-06,7.306352535704816121e-09,1.999283798075111870e-06,1.493884980301874998e+00,-1.472026265409524803e-01,2.658513297258964680e+00,-3.715541195945828434e-01,2.966715732212503422e-06,-5.417045600758527560e-12,-1.002607704210149400e-05,-1.999999999343037276e-03,-6.291365748992489929e-10
1.069687230095148981e-05,1.021319435823214127e-08,4.930918826069553245e-06,1.493889649959776023e+00,-2.139374432072904397e-01,2.658519523469406565e+00,-3.715528953757055719e-01,5.122892881249162806e-06,-1.144207958625934077e-11,-1.003215181805336454e-05,-1.999999434300583478e-03,-2.226148399840241016e-11
1.643374937979319084e-05,1.686783809893861700e-08,2.364206810807287291e-06,1.493889162765561718e+00,-3.284006492055331905e-01,2.658518873877130595e+00,-3.715529155864345512e-01,2.749801460305089113e-06,-2.700485949576881064e-11,-1.003238621088529388e-05,-1.947250840589414894e-03,-3.784810905762020917e-13
2.038659099816581891e-05,2.145304227332936326e-08,1.928563588158518561e-07,1.493885833580689715e+00,-3.699180722806560961e-01,2.658514434964034390e+00,-3.715521747375495343e-01,5.164334606696648608e-07,-4.108442495596557364e-11,-1.003240041516293716e-05,-1.630475866618463668e-04,-3.660119470199784833e-13
2.457478795040752648e-05,2.631125315053308841e-08,4.449539919977723344e-06,1.493888115722835863e+00,-3.715292448525628344e-01,2.658517477820183217e+00,-3.715546647711355233e-01,5.751081259250858733e-06,-5.662937050777238709e-11,-1.003241590655865017e-05,-2.541990710675399874e-06,-3.713692218718502281e-13
3.046843416466251805e-05,3.314774543268968977e-08,1.193231209771340781e-05,1.493899213986229046e+00,-3.715596676791159680e-01,2.658532275504486897e+00,-3.715599987544868088e-01,1.215275733276218115e-05,-7.852692807628175251e-11,-1.003243780222966661e-05,-3.310753708270402802e-08,-3.715611045229079870e-13
3.412234381780858384e-05,3.738619549089430567e-08,7.789565062659579081e-06,1.493898951075224746e+00,-3.715583450323798331e-01,2.658531924956487380e+00,-3.715574381399660009e-01,8.721543349197476277e-06,-9.210309861785015292e-11,-1.003245137841026856e-05,9.068924131863424653e-08,-3.715620993631044867e-13
