time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
2.500000000000000052e-09,2.423297364449439002e-12,3.489147601270231941e-10,1.513494968543900754e+00,-4.999999999999874879e-05,2.684659947858812679e+00,-3.825483260393655049e-01,1.399176799119693479e-07,-3.787649233379126749e-18,-7.587328521101349175e-08,-2.000000000000000042e-03,-3.034931408440615903e-06
5.681021428788408470e-08,5.487934088529588194e-11,7.645590166312647200e-09,1.513494971718774229e+00,-1.136204285757357914e-03,2.684659952091976720e+00,-3.825483010002983519e-01,1.368758881680001755e-07,-9.798347351003053640e-16,-1.680212172124534727e-06,-2.000000000000000042e-03,-2.874497871526863570e-06
2.508562322858088756e-07,2.392639844499844264e-10,2.944934668919023918e-08,1.513494983808973959e+00,-5.017124645709880940e-03,2.684659968212243619e+00,-3.825482156747179729e-01,1.260047742700390764e-07,-1.907011116929560239e-14,-6.750382351742219209e-06,-1.999999999999999608e-03,-2.367481727406595388e-06
5.140173936455174158e-07,4.819094405729808044e-10,5.000906675021493984e-08,1.513495001649410865e+00,-1.028034787288391490e-02,2.684659991999491790e+00,-3.825481086204968184e-01,1.112541817645529350e-07,-8.006187884721565178e-14,-1.222860386348473095e-05,-1.999999999999999174e-03,-1.819660187604491012e-06
9.985706163821526639e-07,9.072664504095788075e-10,6.788984594859611648e-08,1.513495035731726945e+00,-1.997141232754331627e-02,2.684660037442579306e+00,-3.825479296163879495e-01,8.980052645167376687e-08,-3.021482357078464310e-13,-1.921724685767651805e-05,-1.999999999999999174e-03,-1.120796294286024214e-06
1.648870654684657218e-06,1.437075890743290703e-09,6.595762608220590474e-08,1.513495075043672422e+00,-3.297741309342126087e-02,2.684660089858506016e+00,-3.825477084371352032e-01,1.034627563128522342e-07,-8.238230311433603949e-13,-2.457670596792929069e-05,-1.999999999999997006e-03,-5.848505355772896219e-07
2.531563865691115076e-06,2.087314698482868608e-09,3.850314882791715892e-08,1.513495102779218504e+00,-5.063127731318128877e-02,2.684660126839233829e+00,-3.825474156604589115e-01,9.687959496948015013e-08,-1.941949559813243023e-12,-2.800671894162482642e-05,-1.999999999999984863e-03,-2.418493653585702599e-07
3.811080202439169426e-06,2.905260746667611278e-09,-2.220022840920422425e-08,1.513495086052710992e+00,-7.622160404732986061e-02,2.684660104537223813e+00,-3.825469779081003274e-01,7.416811814039460990e-08,-4.401048009128365957e-12,-2.975318409632088818e-05,-1.999999999999806186e-03,-6.720309692961692631e-08
6.009357093447447386e-06,4.025425293216843915e-09,-1.422828006323090827e-07,1.513494958045305872e+00,-1.201871418652607632e-01,2.684659933860686465e+00,-3.825461845101525427e-01,1.982918767230508421e-07,-1.094248197171675735e-11,-3.035106571235935961e-05,-1.999999999985149074e-03,-7.415589495956337374e-09
9.259357093447443375e-06,5.186935219666348516e-09,-3.256141675362388144e-07,1.513494694728210410e+00,-1.851871418105145439e-01,2.684659582771230735e+00,-3.825449754785085199e-01,3.822949242342156597e-07,-2.597894069885130742e-11,-3.042240513289825544e-05,-1.999999990230759070e-03,-2.831510945481657394e-10
1.001264414062499945e-05,5.397287649097584164e-09,-3.682641566476328465e-07,1.513494630783428496e+00,-2.002528825769139820e-01,2.684659497511522996e+00,-3.825446815901492603e-01,4.229657083959885679e-07,-3.037787107629289855e-11,-3.042390986252800877e-05,-1.999999951557587200e-03,-1.331180265366877184e-10
1.176586304439628231e-05,7.097274060430657658e-09,-3.162984210730962794e-07,1.513494538886785534e+00,-2.353172532940581985e-01,2.684659374982667490e+00,-3.825422368793840455e-01,2.963657686779653303e-07,-4.194762142429559164e-11,-3.042501803393048322e-05,-1.999998530738782143e-03,-2.345786638894543069e-11
1.501586304439627322e-05,1.024859522380174790e-08,-1.348451390460156253e-09,1.513494808741833619e+00,-3.003117796846120902e-01,2.684659734789392793e+00,-3.825377586038958833e-01,1.026399060351212296e-07,-6.832188074591678902e-11,-3.042526179993953648e-05,-1.998926222003485735e-03,-1.718702962729472979e-12
1.785574292953356402e-05,1.300224863332871432e-08,2.959457505741919766e-07,1.513495232343254004e+00,-3.556878803700317948e-01,2.684660299591278054e+00,-3.825339304000744955e-01,4.009792033239094773e-07,-9.658544188207808023e-11,-3.042529654888805356e-05,-1.744448341133672314e-03,-1.070176599028246600e-12
1.999999999999999825e-05,1.508140022792657340e-08,5.211091137986676811e-07,1.513495570398383228e+00,-3.783877610471588770e-01,2.684660750331443690e+00,-3.825310494127915351e-01,6.262408951849382542e-07,-1.205993068045714682e-10,-3.042532002773866166e-05,-4.085015881434055844e-04,-1.123688543964472422e-12
2.140431689745307282e-05,1.644307824517675918e-08,4.908025750922471268e-07,1.513495739903814918e+00,-3.815103174779437833e-01,2.684660976338682836e+00,-3.825315967180296095e-01,5.469343348190193837e-07,-1.367817503390637440e-10,-3.042533598607974200e-05,-1.020392493483624364e-04,-1.146105873577499452e-12
2.463884036329571560e-05,1.957939278128587142e-08,8.989829073383164113e-09,1.513495419533139597e+00,-3.824929164329909370e-01,2.684660549177788624e+00,-3.825328223061569832e-01,1.630283723138779800e-07,-1.742439218807509413e-10,-3.042537332692737669e-05,-3.990583536696255106e-06,-1.158254665715532863e-12
2.788884036329570651e-05,2.273071394094950341e-08,-5.373538411757203608e-07,1.513494653237886123e+00,-3.825320372399426683e-01,2.684659527450799388e+00,-3.825338614186511443e-01,7.062390682939359543e-07,-2.119141921200913331e-10,-3.042541098883418997e-05,-1.824178704421417662e-07,-1.159107500499662393e-12
3.001954200353560467e-05,2.479672168315549841e-08,-8.972457705985876744e-07,1.513494113278715858e+00,-3.825340350506654663e-01,2.684658807505249545e+00,-3.825345367353790715e-01,1.082612939120874617e-06,-2.366116114592379100e-10,-3.042543568591729334e-05,-5.016847134977170494e-08,-1.159151936864514729e-12
3.112176641576363975e-05,2.586547956364369917e-08,-1.460394441325518023e-06,1.513493743685334625e+00,-3.825348933801513418e-01,2.684658314714082117e+00,-3.825359158333060394e-01,2.198505588422958008e-06,-2.493877696074015696e-10,-3.042544846207271517e-05,-1.022453153774080146e-07,-1.159157803330003997e-12
3.351177183438560075e-05,2.818291791541396505e-08,-3.630144600382463523e-06,1.513491662343939614e+00,-3.825377851670235807e-01,2.684655539592263107e+00,-3.825390235341691869e-01,4.618148493121241255e-06,-2.770910552763466878e-10,-3.042547616538866123e-05,-1.238367144053043063e-07,-1.159166904106099141e-12
3.676177183438559165e-05,3.133423907252572170e-08,-6.895802964489293095e-06,1.513487120955876453e+00,-3.825415044521168761e-01,2.684649484408269338e+00,-3.825425748068174148e-01,7.908450422564358262e-06,-3.147631356387646509e-10,-3.042551383751712253e-05,-1.070354699513098094e-07,-1.159178586723320528e-12
3.999999999999999650e-05,3.447414581924407076e-08,-1.017261824715001338e-05,1.513482199750666668e+00,-3.825448838333427304e-01,2.684642922801420806e+00,-3.825459133410390455e-01,1.118683453988778817e-05,-3.522991085294973770e-10,-3.042555137354973054e-05,-1.029507695390549066e-07,-1.159189048681361707e-12
4.061698801593448689e-05,3.507240039997668665e-08,-1.045401173626936621e-05,1.513481297350099508e+00,-3.825453335499807705e-01,2.684641719600682652e+00,-3.825457473443815148e-01,1.045826202010540835e-05,-3.594509710457278449e-10,-3.042555852542511220e-05,-4.137944007219295967e-08,-1.159190893265010983e-12
4.174815350574952817e-05,3.616922062714037690e-08,-9.919898078897885951e-06,1.513480288562384590e+00,-3.825452765322374105e-01,2.684640374550416375e+00,-3.825448852138637612e-01,9.958334020017371130e-06,-3.725629682658330091e-10,-3.042557163746076310e-05,3.913183736145931970e-08,-1.159192790618812833e-12
4.347445365831014753e-05,3.784310560885689813e-08,-8.195368946279940291e-06,1.513480843900290473e+00,-3.825444066822821232e-01,2.684641115000946154e+00,-3.825439386855850055e-01,8.730477004299396190e-06,-3.925734897526509792e-10,-3.042559164807854272e-05,4.679966970245229714e-08,-1.159191922325338482e-12
4.609806790313657573e-05,4.038705978440775015e-08,-5.160659832177558827e-06,1.513484437468716415e+00,-3.825437367106892528e-01,2.684645906425442430e+00,-3.825436651240816666e-01,5.874346544183054077e-06,-4.229852175439691989e-10,-3.042562205996557118e-05,7.158660756715986101e-09,-1.159189312955640847e-12
4.934806790313656663e-05,4.353838093789973465e-08,-1.328325254684651622e-06,1.513490071244937063e+00,-3.825438334657230155e-01,2.684653418126957902e+00,-3.825439186070409558e-01,2.063087562882986297e-06,-4.606576970119150171e-10,-3.042565973261444274e-05,-8.514131795020371057e-09,-1.159188865891651124e-12
5.026177536499045303e-05,4.442434575392939724e-08,-3.014262277806554137e-07,1.513491694181178904e+00,-3.825438790398041911e-01,2.684655582041915345e+00,-3.825437129324409380e-01,1.005139971589948244e-06,-4.712489699054101015e-10,-3.042567032393200300e-05,1.661073632707343546e-08,-1.159189036229976737e-12
5.122620649450250750e-05,4.535949412890760302e-08,3.358134733093654955e-08,1.513493195507805700e+00,-3.825435484497703986e-01,2.684657583810721615e+00,-3.825431309164008531e-01,3.213451458225615498e-07,-4.824282039694727755e-10,-3.042568150321748699e-05,4.175333695260720457e-08,-1.159188788218729821e-12
5.290354693992511097e-05,4.698590595203790201e-08,-3.549325840694539148e-07,1.513494412140075074e+00,-3.825427563844907008e-01,2.684659205987056207e+00,-3.825421920798396380e-01,7.307845018942616567e-07,-5.018711205626656960e-10,-3.042570094623606275e-05,5.643046509450273376e-08,-1.159187102030241681e-12
5.557638199520829002e-05,4.957758645803759523e-08,-1.515925592001166623e-06,1.513493726169566678e+00,-3.825406758238538707e-01,2.684658291359724558e+00,-3.825397121923345134e-01,1.975803771848103615e-06,-5.328532170622309845e-10,-3.042573192851944858e-05,9.636315185965181169e-08,-1.159181977819723649e-12
5.882638199520828093e-05,5.272890760880356964e-08,-3.023577703227783523e-06,1.513491629186558551e+00,-3.825372055401977112e-01,2.684655495382422430e+00,-3.825360796419158271e-01,3.489669215716108386e-06,-5.705252275505008056e-10,-3.042576960079212910e-05,1.125898280738480273e-07,-1.159172251340390126e-12
6.028213647285382044e-05,5.414046141641624488e-08,-3.666874397122581100e-06,1.513490615909169890e+00,-3.825356058696698369e-01,2.684654144345924642e+00,-3.825348107278362941e-01,3.899219812219571432e-06,-5.873993277135752537e-10,-3.042578647501495298e-05,7.951418331347960990e-08,-1.159167373531756732e-12
