time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
2.500000000000000052e-09,1.968929119037326788e-12,2.520312766769676167e-09,1.216000020357792977e+00,-1.705573226899435866e-08,2.288000022853243554e+00,-6.839348649433295970e-06,1.010666086039327660e-06,-1.351533516028776385e-06,2.494225544681812762e-03,1.000204896066873239e+00,1.144000011425541752e+00,-1.292022625067554670e-21,7.594951518908773356e-08,-6.822292907597914724e-07,3.037980607563585681e-06
3.405185158533830483e-09,2.681784780240848581e-12,3.432424002375807120e-09,1.216000020306504004e+00,-2.347648433149128053e-08,2.288000022784858700e+00,-7.415033078264404803e-06,1.010631397160385665e-06,-1.928914272410634761e-06,3.396911077227898843e-03,1.000204511687659448e+00,1.144000011391349103e+00,-1.846788204341055595e-21,1.034364226779930927e-07,-7.391556258220720718e-07,3.035231923151757430e-06
8.001027720388794952e-09,6.299813050250700082e-12,8.050229795008518968e-09,1.216000020052287800e+00,-6.856693998824221841e-08,2.288000022445903170e+00,-1.304410727177026888e-05,1.010455272074911870e-06,-7.566587852983895774e-06,7.967466956077164791e-03,1.000200755621668325e+00,1.144000011221871560e+00,-7.959040859306139197e-21,2.426108481053648426e-07,-1.297553851867468109e-06,3.021314512516259278e-06
1.279804702268868403e-08,1.007387975573985084e-11,1.284672528625986425e-08,1.216000019797965015e+00,-1.542675486343067803e-07,2.288000022106806863e+00,-2.370949257362894887e-05,1.010271435017719424e-06,-1.824092538998038114e-05,1.271571074146871788e-02,1.000193641237598685e+00,1.144000011052323185e+00,-2.354174892004219005e-20,3.871968222202252698e-07,-2.355521417846355550e-06,3.006855947943038978e-06
1.896474827730287429e-08,1.492204455314138428e-11,1.897775035442770452e-08,1.216000019487540884e+00,-3.590908888809860643e-07,2.288000021692907282e+00,-4.453285045353518409e-05,1.010035103882725679e-06,-3.907575642051908403e-05,1.878627430197137710e-02,1.000179752756884533e+00,1.144000010845373616e+00,-6.953219325604357124e-20,5.720500960470894415e-07,-4.417368805594072985e-06,2.988370662086865065e-06
2.727707012143482801e-08,2.145083325531409790e-11,2.718007256832424921e-08,1.216000019098453899e+00,-8.830979822465944240e-07,2.288000021174124932e+00,-8.509975354818525553e-05,1.009716538283523851e-06,-7.965806234454127471e-05,2.690981689750862604e-02,1.000152698095370107e+00,1.144000010585982441e+00,-2.190099553166341563e-19,8.194235431584569970e-07,-8.421616011409316526e-06,2.963633372149186879e-06
3.869200255075575849e-08,3.040487833841710605e-11,3.832910717544209922e-08,1.216000018618905942e+00,-2.261526970152936956e-06,2.288000020534727952e+00,-1.637874248088884606e-04,1.009279055032271487e-06,-1.583667701446187946e-04,3.795557742864753142e-02,1.000100222808733008e+00,1.144000010266283729e+00,-7.375125762431779662e-19,1.155796817323099243e-06,-1.615224024053741147e-05,2.929996117759706075e-06
5.461001164263955356e-08,4.286874479946288402e-11,5.365705809032171780e-08,1.216000018055595211e+00,-5.958665630216063132e-06,2.288000019783646533e+00,-3.168520466788828267e-04,1.008668966550104753e-06,-3.114605068166189489e-04,5.314854457225702544e-02,9.999981505417264716e-01,1.144000009890743241e+00,-2.624759086772475581e-18,1.618501474310534237e-06,-3.108683423814937271e-05,2.883725749803033966e-06
7.713490907154910759e-08,6.046122938476530666e-11,7.491778530494808420e-08,1.216000017467063099e+00,-1.605703234878834012e-05,2.288000018998936902e+00,-6.167975632237727253e-04,1.007805611683905238e-06,-6.114467910143931741e-04,7.423501101842765182e-02,9.997981345965272215e-01,1.144000009498388648e+00,-9.768171686681370386e-18,2.260796890133707925e-06,-6.005599287513527825e-05,2.819496338799131029e-06
1.095990866342702172e-07,8.572486364565969002e-11,1.046957701936995864e-07,1.216000017044882808e+00,-4.429709212130687274e-05,2.288000018436030292e+00,-1.212684175848148006e-03,1.006561203315330889e-06,-1.207391291689700321e-03,1.037929667047682025e-01,9.994007800047643997e-01,1.144000009216934899e+00,-3.795105238524480540e-17,3.161425357348852107e-06,-1.167059730401916488e-04,2.729433665408222986e-06
