time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
2.500000000000000052e-09,1.899755509099575824e-12,-1.068811774259461077e-08,1.000006973742689320e+00,-3.058895374734925121e-08,2.000008717178361373e+00,-1.226617197917289094e-05,4.286022857345928608e-06,-7.647085495127026694e-22,-2.504473182574631831e-08,-1.223558149894000436e-06,-1.001789273029877640e-06
1.074003113504518206e-06,7.974624444727823626e-10,-2.589510957096724580e-06,1.000006594517281133e+00,-8.732904864994919529e-06,2.000008243146601750e+00,-1.337644552816550466e-05,3.685217721186859815e-06,-5.419413245091568851e-17,-6.612209413505776219e-06,-4.643540580429560075e-07,-3.430728853052988354e-07
4.624268810334052079e-06,3.183623698512100761e-09,-2.207432371863124071e-06,1.000004418621842417e+00,-8.744270304219714556e-06,2.000005523277303077e+00,-7.209180043786045803e-06,2.534419871384362390e-06,-4.221512392460533291e-16,-9.944594733065373893e-06,1.535090257419139745e-07,-9.834356729520138935e-09
1.086893181561529757e-05,6.822163361416457070e-09,1.212094159739633506e-06,1.000007111661967540e+00,-1.513800102289187599e-06,2.000008889577459481e+00,-1.241398822666606724e-06,1.706479238675717735e-06,-7.143636280600481250e-16,-1.004275190784514146e-05,2.724012796079228301e-08,-1.863928083931909800e-11
2.005321979960212613e-05,1.380208170566784620e-08,5.358599574743985642e-06,1.000011449731125213e+00,-3.538683978681268392e-06,2.000014312163906460e+00,-3.802067322358592912e-06,5.739992143132311709e-06,-9.305042308580805518e-16,-1.004293828234096779e-05,-2.633833436621037149e-08,-1.852871133248708935e-15
2.809337566402511882e-05,1.991247714318660822e-08,-1.058356229875462511e-07,1.000008516994027374e+00,-8.511466659171375120e-06,2.000010646242534218e+00,-8.874376938580880045e-06,9.356113591456596019e-07,-1.431506749386385193e-15,-1.004293830118339358e-05,-3.629102793696739423e-08,-1.872885915382260000e-17
3.630219263745929406e-05,2.615105244141225858e-08,-3.279564496252768896e-06,1.000004033444857443e+00,-7.014876712817893078e-06,2.000005041806071748e+00,-6.706984839214517095e-06,3.425284649000198371e-06,-2.121285048690083753e-15,-1.004293830188605654e-05,3.078918735791576570e-08,-1.744047968940144400e-17
4.634290543364044868e-05,3.378184053333940354e-08,-2.482944054408488745e-06,1.000003973726495854e+00,-5.078040821467438601e-06,2.000004967158119484e+00,-5.038488541693003350e-06,2.744987926978138413e-06,-2.708977075398679876e-15,-1.004293830249585419e-05,3.955227977438931257e-09,-1.522976604871507914e-17
5.777361782869977133e-05,4.246900704920164936e-08,1.194933841080080643e-06,1.000007471966762651e+00,-5.621849054377840614e-06,2.000009339958453314e+00,-5.726597173326830371e-06,1.548702476657805548e-06,-3.303840570201388256e-15,-1.004293830308697307e-05,-1.047481189480323855e-08,-1.560436636963829038e-17
6.604942058084527408e-05,4.875849050870457190e-08,8.241951082655347944e-06,1.000012948141532521e+00,-4.297449368655158883e-06,2.000016185176916039e+00,-4.151069806277746237e-06,9.411044789684385606e-06,-3.742032840994243275e-15,-1.004293830353517548e-05,1.463795623748944768e-08,-1.460346988751524515e-17
7.293419012627978132e-05,5.399081001480048711e-08,1.270376559474204888e-05,1.000019789724782671e+00,-5.739009013303066698e-06,2.000024737155978283e+00,-6.641037157922086451e-06,1.297344421016142439e-05,-4.039066136794078237e-15,-1.004293830382750349e-05,-9.020281440078167660e-08,-1.507399668971500591e-17
8.176375001584055419e-05,6.070114042232101932e-08,7.040487788191652147e-06,1.000015416974607829e+00,-8.007569770481969823e-06,2.000019271218259842e+00,-7.661842609300912628e-06,7.769439907324844462e-06,-4.715769321419988118e-15,-1.004293830447202610e-05,3.457271611468958794e-08,-1.829204426292354129e-17
9.087485349668719562e-05,6.762543964921987975e-08,-9.368296759364264925e-08,1.000008406785916293e+00,-3.888514343017365189e-06,2.000010508482395366e+00,-3.898277716898768519e-06,7.412028359754856064e-07,-5.256099246659695988e-15,-1.004293830505214372e-05,-9.763373881402598755e-10,-1.431336110308063804e-17
1.003458781968811982e-04,7.482327349328441232e-08,-5.277828343669093034e-06,1.000002729758753484e+00,-7.470536479853735271e-06,2.000003412198442021e+00,-7.695020895171281183e-06,5.484973122881794030e-06,-5.770567464037726832e-15,-1.004293830553822713e-05,-2.244844153099748208e-08,-1.715210732250869835e-17
1.090986495736396601e-04,8.147524580061835615e-08,-7.676099249998009161e-07,1.000005006246918349e+00,-3.964426069396557233e-06,2.000006257808648158e+00,-3.747410318970913904e-06,1.366035916348124801e-06,-6.257506334760430101e-15,-1.004293830605334852e-05,2.170157504171348237e-08,-1.433398635534627286e-17
1.162787856215085085e-04,8.693203932189352010e-08,-3.236041454893721871e-07,1.000006880826834532e+00,-9.378296671823977508e-06,2.000008601033543165e+00,-1.030594095813703088e-05,4.569902224810333220e-07,-6.683362530993769237e-15,-1.004293830643727298e-05,-9.276442856481935707e-08,-1.852696885084451101e-17
1.245138381933511040e-04,9.319055325692400252e-08,-1.511859647000995823e-06,1.000005780248265363e+00,-1.155026818370512663e-05,2.000007225310331815e+00,-1.101276668964443327e-05,1.669437174341529208e-06,-7.658032880891338464e-15,-1.004293830737571773e-05,5.375014939313217699e-08,-2.214972876625114740e-17
