time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
2.500000000000000052e-09,1.968929119037326384e-12,2.520312766769676167e-09,1.216000020357792755e+00,-4.999999999999893175e-05,2.288000022853243554e+00,-1.888166978154775522e-01,1.010666086039327660e-06,-3.787649233379156794e-18,7.594951518907828385e-08,-2.000000000000000042e-03,3.037980607563207058e-06
5.677884850296215504e-08,4.456494036323361302e-11,5.572663724144459102e-08,1.216000017988190018e+00,-1.135576955526008264e-03,2.288000019693772646e+00,-1.888165991212307770e-01,1.008585839670124770e-06,-9.787551492852969880e-16,1.680997723013556104e-06,-1.999999971752721827e-03,2.877476139236350070e-06
2.508543050026084368e-07,1.944005662796063558e-10,2.231339603326402992e-07,1.216000020877396670e+00,-5.017086018536426328e-03,2.288000023546048478e+00,-1.888162763150736945e-01,1.001145395799977156e-06,-1.906981778282794873e-14,6.757118773153219242e-06,-1.999999958335872598e-03,2.369864907258343599e-06
5.138974353134776580e-07,3.914632837853107201e-10,4.018555083476623280e-07,1.216000050284194556e+00,-1.027794848066249100e-02,2.288000062755112030e+00,-1.888159034167317951e-01,9.910548562191912254e-07,-8.002451380269377470e-14,1.223870457246997823e-05,-1.999999929622811156e-03,1.821706928156078736e-06
9.984050649867118496e-07,7.370402259310735047e-10,6.242272455326228244e-07,1.216000160934161967e+00,-1.996810049879775908e-02,2.288000210288399394e+00,-1.888153598211739503e-01,9.724513630432512727e-07,-3.020480508862042665e-13,1.923469649007469265e-05,-1.999999814807646836e-03,1.122108099365971246e-06
1.648649724700332493e-06,1.167485386498376763e-09,7.840456423364316433e-07,1.216000364182531435e+00,-3.297299122102217983e-02,2.288000481286221355e+00,-1.888148020052843046e-01,9.474507641318148924e-07,-8.236022370722250645e-13,2.460010369803769363e-05,-1.999999321880328949e-03,5.855674269126673617e-07
2.531257581889061858e-06,1.695772693284228202e-09,8.683707092873774910e-07,1.216000630800904148e+00,-5.062513196725527270e-02,2.288000836777379643e+00,-1.888141620378982199e-01,9.134602802927066725e-07,-1.941479401826036321e-12,2.803411343144406035e-05,-1.999996058229424299e-03,2.421663571785193643e-07
3.810611956619600527e-06,2.360304950387517298e-09,8.793030206190070609e-07,1.216000882340898093e+00,-7.621198146068461354e-02,2.288001172164033648e+00,-1.888132355905445536e-01,9.070135459115531032e-07,-4.399962724302639207e-12,2.978275637104962505e-05,-1.999948495631468683e-03,6.730181850314485412e-08
6.008433640211844626e-06,3.270334458264167101e-09,8.150152438203361139e-07,1.216000996720228322e+00,-1.201475129624819810e-01,2.288001324669804770e+00,-1.888114790859456160e-01,8.427129027619000997e-07,-1.093879477154590178e-11,3.038147478263877104e-05,-1.995835437017654760e-03,7.429323488219743312e-09
8.219499930021639355e-06,3.955114481084041808e-09,7.316238021098608717e-07,1.216000942238743887e+00,-1.628339098832862764e-01,2.288001252027826116e+00,-1.888095999820739168e-01,7.593047734067134898e-07,-2.044634796436428663e-11,3.044767747586377076e-05,-1.722819854849385289e-03,8.081034130878475689e-10
9.896698383143680719e-06,4.356563808665483371e-09,6.667300781521658231e-07,1.216000871355139568e+00,-1.825720828405515694e-01,2.288001157516355466e+00,-1.888081535429150526e-01,6.943980650273795388e-07,-2.930661236926960313e-11,3.045424761506834558e-05,-6.041539010036924050e-04,1.502034686612464700e-10
1.002170976562500091e-05,4.392406468902331250e-09,6.617967710599378478e-07,1.216000865732865588e+00,-1.832860705207424723e-01,2.288001150019990160e+00,-1.888080601676678794e-01,6.894637708995929282e-07,-2.999955800896135478e-11,3.045442420397454273e-05,-5.385824679366551506e-04,1.324752836711885551e-10
1.155565501737583778e-05,5.600897567592804427e-09,3.355290020526034132e-07,1.216000723459635946e+00,-1.876056027692483974e-01,2.288000960322353450e+00,-1.888079601541761132e-01,4.388734547377761734e-07,-3.864312679294291236e-11,3.045545979951346842e-05,-1.200910972649101959e-04,2.805137531212867637e-11
1.461502378102320999e-05,8.011166065487352796e-09,-7.786728151900731522e-07,1.215999753410348161e+00,-1.887521597502845871e-01,2.287999666923322462e+00,-1.888076705978786185e-01,1.162482369603582743e-06,-5.611133426477743322e-11,3.045571532597185941e-05,-5.551070504934826044e-06,7.519135996924779692e-13
1.786502378102320090e-05,1.057161994375479705e-08,-2.033270717831741093e-06,1.215998290851276531e+00,-1.888051589089130289e-01,2.287997716844589302e+00,-1.888070993618846394e-01,2.420588205710747092e-06,-7.470326898008570879e-11,3.045570946911379718e-05,-1.940452967684644771e-07,-5.215888781468742022e-13
