time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
2.500000000000000052e-09,-1.974587297966571573e-12,3.101577069687465038e-09,1.431945204780821435e+00,-4.999999999999874879e-05,2.575926931127890285e+00,-3.353570512241655366e-01,1.243757837876644905e-06,-1.247504990019306301e-17,2.488095283311167175e-06,-2.000000000000000042e-03,9.952381133244918407e-05
3.213854478795851389e-09,-2.537542146912313032e-12,3.986923457566767813e-09,1.431945204804037974e+00,-6.427708957591526983e-05,2.575926931158845523e+00,-3.353570510609443778e-01,1.243849237737040686e-06,-1.654580060419166440e-17,3.198297563776443014e-06,-1.999999999999989200e-03,9.945296687465603170e-05
4.907143659237295140e-08,-3.528510541469808855e-11,5.969177973633204924e-08,1.431945206877966781e+00,-9.814287318472125071e-04,2.575926933924084228e+00,-3.353570419654299251e-01,1.249724126764589677e-06,-2.409437046731829043e-15,4.777796465855599763e-05,-1.999999999999987899e-03,9.500553786533671758e-05
1.694007956987979134e-07,-9.579522231873374694e-11,1.954976545256691072e-07,1.431945217792904623e+00,-3.388015913973063328e-03,2.575926948477334388e+00,-3.353570306023561653e-01,1.265165139520900952e-06,-2.864558843776329731e-14,1.555031524647178579e-04,-1.999999999999984863e-03,8.425468064002338399e-05
2.518705850694996846e-07,-1.223417066733685008e-10,2.805954496541595414e-07,1.431945229811527831e+00,-5.037411701383608630e-03,2.575926964502165628e+00,-3.353570326371456689e-01,1.275762830505496113e-06,-6.331847611147316310e-14,2.222064569809169949e-04,-1.999999999999982261e-03,7.759527727371899098e-05
3.625704212073768417e-07,-1.458732762219667186e-10,3.856361547703769709e-07,1.431945251561547172e+00,-7.251408424134332675e-03,2.575926993502190676e+00,-3.353570469144776522e-01,1.290000297485585409e-06,-1.312012293140940050e-13,3.035302122500572542e-04,-1.999999999999977490e-03,6.947390646385940823e-05
5.759935451544510116e-07,-1.689130903819177431e-10,5.621641959504370584e-07,1.431945310359913348e+00,-1.151987090305572545e-02,2.575927071900010912e+00,-3.353571076871625922e-01,1.317471673759292548e-06,-3.311126601674549405e-13,4.370729728780639632e-04,-1.999999999999965781e-03,5.613284829263344097e-05
8.300382221282216726e-07,-1.789933499072262422e-10,7.354182098687336850e-07,1.431945405176593855e+00,-1.660076444249530131e-02,2.575927198322249367e+00,-3.353572277444815120e-01,1.350189119295222987e-06,-6.875945824304959079e-13,5.630255006074432866e-04,-1.999999999999942796e-03,4.354545862985196843e-05
1.128418529746466896e-06,-1.826228180368510223e-10,8.991923063152381816e-07,1.431945542522187198e+00,-2.256837059480151786e-02,2.575927381449704345e+00,-3.353574196926816242e-01,1.388624593326882178e-06,-1.270793113389514064e-12,6.753854195813995985e-04,-1.999999999999895958e-03,3.231353740373812836e-05
1.476938978260447319e-06,-1.836850287986629536e-10,1.050163772909295586e-06,1.431945725297004923e+00,-2.953877956498977483e-02,2.575927625149458056e+00,-3.353576931845986819e-01,1.433521982655529205e-06,-2.177001064592188893e-12,7.704937915089345906e-04,-1.999999999999791007e-03,2.280452392095241602e-05
1.885492092130996924e-06,-1.839312913104129477e-10,1.188105156681805162e-06,1.431945952489274143e+00,-3.770984184226207347e-02,2.575927928072479389e+00,-3.353580562539562604e-01,1.486153948741718460e-06,-3.547990768923695358e-12,8.469967920566815606e-04,-1.999999999999526462e-03,1.515492202557083849e-05
