time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
1.000000000000000021e-08,6.996818325807780956e-12,-4.460833700841970242e-08,1.999999999462059863e+00,-1.999999999999800061e-04,3.333333312752746469e+00,-6.000034004472787341e-01,4.505540176191807587e-06,-1.999960000799384136e-17,3.571026109039236620e-06,-2.000000000000000042e-03,3.571026109039594152e-05
1.003940850116738936e-08,7.024391714022760647e-12,-4.478412810378464446e-08,1.999999999459937561e+00,-2.007881700233277221e-04,3.333333312749916733e+00,-6.000034005783980717e-01,4.505533234708501090e-06,-2.007857390329604455e-17,3.585098704962422709e-06,-2.000000000000000042e-03,3.570885427943406909e-05
1.035467651050650753e-08,7.244977123035589478e-12,-4.619019819755051207e-08,1.999999999442790832e+00,-2.070935302101095860e-04,3.333333312727054132e+00,-6.000034016270849868e-01,4.505477702843738946e-06,-2.072152130274021823e-17,3.697659560510527540e-06,-2.000000000000000042e-03,3.569760178133325474e-05
1.287682058521944794e-08,9.009551563943408165e-12,-5.742218352853620932e-08,1.999999999294825415e+00,-2.575364117043626002e-04,3.333333312529767500e+00,-6.000034099994345782e-01,4.505033448034510089e-06,-2.658072239338623256e-17,4.596870524687209050e-06,-2.000000000000000042e-03,3.560770928299673588e-05
3.305397318292297945e-08,2.311918437644592640e-11,-1.462259020900862061e-07,1.999999997421129994e+00,-6.610794636583405262e-04,3.333333310031506791e+00,-6.000034758881114261e-01,4.501479416524774913e-06,-1.192541324044912155e-16,1.170956806593194987e-05,-2.000000000000000042e-03,3.489666192888483173e-05
7.348299072867267967e-08,5.135347967459021806e-11,-3.186481431619383511e-07,1.999999989987021332e+00,-1.469659814572903600e-03,3.333333300119361908e+00,-6.000036021735024594e-01,4.494358230791987668e-06,-5.499639965321126707e-16,2.553684957253449543e-05,-2.000000000000000042e-03,3.351433875745397765e-05
1.252980134852704783e-07,8.746690826422243353e-11,-5.292673231632779926e-07,1.999999973341037407e+00,-2.505960269703829367e-03,3.333333277924717120e+00,-6.000037531722284267e-01,4.485231581360552233e-06,-1.579927622950473943e-15,4.246061876710401192e-05,-2.000000000000000042e-03,3.182241446838475116e-05
1.847578033685128465e-07,1.288083863238546559e-10,-7.573220709616128403e-07,1.999999944547317332e+00,-3.695156067366833687e-03,3.333333239533091241e+00,-6.000039120489198963e-01,4.474758489960153774e-06,-3.423476124196381553e-15,6.083132841861349261e-05,-2.000000000000000042e-03,2.998578227808633848e-05
2.531987974847563679e-07,1.762622518629324777e-10,-1.002826975167970524e-06,1.999999898923522812e+00,-5.063975949688707956e-03,3.333333178701365807e+00,-6.000040768328885887e-01,4.462703604940080796e-06,-6.420834691231936262e-15,8.066833265581923945e-05,-2.000000000000000042e-03,2.800249926175570389e-05
3.286811527560885010e-07,2.284348083459193484e-10,-1.253876327667957443e-06,1.999999833714028785e+00,-6.573623055110960726e-03,3.333333091755375399e+00,-6.000042374382312804e-01,4.449408650133455920e-06,-1.081291376256563848e-14,1.010284215050048860e-04,-2.000000000000000042e-03,2.596686098647228109e-05
