time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
1.000000000000000021e-08,6.796908874181439475e-12,-4.460833898807401137e-08,1.999999999462059863e+00,-1.999999999999800061e-04,3.333333312752746469e+00,-6.000025930922751050e-01,4.505540376141248069e-06,-1.999960000799384136e-17,-9.865457029182992317e-08,-2.000000000000000042e-03,-9.865457029183979905e-07
8.947289211573493093e-08,6.072069807672413001e-11,-3.848694258553607733e-07,1.999999985700186000e+00,-1.789457842313888283e-03,3.333333294403582059e+00,-6.000027613489494760e-01,4.491543562174732257e-06,-8.105237310652263163e-16,-8.523690387041163666e-07,-2.000000000000000042e-03,-9.111742732451413021e-07
4.000150422346293100e-07,2.696517066898265319e-10,-1.473454749481517078e-06,1.999999758455610399e+00,-8.000300844676571863e-03,3.333332991410818735e+00,-6.000031635725342483e-01,4.436852468116453247e-06,-1.601088328285253499e-14,-3.284870465679751562e-06,-2.000000000000000042e-03,-6.679241702245362587e-07
8.031936319729144017e-07,5.367332336578016459e-10,-2.444093812350226976e-06,1.999999123528309886e+00,-1.606387263939375309e-02,3.333332144841097300e+00,-6.000032092778726511e-01,4.365850894036661229e-06,-6.452071072863600491e-14,-5.501264374275659143e-06,-2.000000000000000042e-03,-4.462848016124529910e-07
1.088434703351401174e-06,7.228803422092514072e-10,-2.914392757800333356e-06,1.999998519652237849e+00,-2.176869406690953510e-02,3.333331339673013094e+00,-6.000030128021027753e-01,4.315621459099189933e-06,-1.184766893984887824e-13,-6.608908979854480921e-06,-2.000000000000000042e-03,-3.355203506952876583e-07
1.711608265700057979e-06,1.121618237792970164e-09,-3.535962811065484109e-06,1.999997027792000059e+00,-3.423216531370817939e-02,3.333329350526059276e+00,-6.000021967122973754e-01,4.205891854705011071e-06,-2.929644748143652054e-13,-8.165175552206136076e-06,-2.000000000000000042e-03,-1.798937135567990936e-07
2.537068110019316129e-06,1.633427393907990784e-09,-3.865745736173431684e-06,1.999995195555710259e+00,-5.074136219974268586e-02,3.333326907544376105e+00,-6.000007726721886536e-01,4.060559656090271592e-06,-6.436686346862714795e-13,-9.176380713524302969e-06,-2.000000000000000042e-03,-7.877323293508302254e-08
3.723321029406937013e-06,2.337507372946137957e-09,-3.914097617986017151e-06,1.999993451551996815e+00,-7.446642058675241593e-02,3.333324582206125708e+00,-5.999987058166836862e-01,3.942411977505037758e-06,-1.386294271452936227e-12,-9.723814775024125081e-06,-2.000000000000000042e-03,-2.402990108654852190e-08
5.921113562083735781e-06,3.549782963902234126e-09,-3.627728398392286269e-06,1.999992544659674687e+00,-1.184222712381687581e-01,3.333323373016381375e+00,-5.999954124882808104e-01,3.726243166660128447e-06,-3.505898511918909845e-12,-9.937608716011786682e-06,-2.000000000000000042e-03,-2.650718949631135142e-09
9.999999999999999124e-06,5.514535386211139946e-09,-2.922451850360240156e-06,1.999993526574157965e+00,-1.999999999900002601e-01,3.333324682235672132e+00,-5.999901207627414967e-01,3.069101237417060508e-06,-9.999810051386268684e-12,-9.963692800734430218e-06,-2.000000000000000042e-03,-4.295986955332130801e-11
1.002170976562500091e-05,5.527965181746142625e-09,-2.918818211143275202e-06,1.999993533881756713e+00,-2.004341953024567635e-01,3.333324691979136833e+00,-5.999901403395078159e-01,3.065373898134308387e-06,-1.004327595897228197e-11,-9.963702026949049106e-06,-2.000000000000000042e-03,-4.204159468907912603e-11
1.097697965996429376e-05,6.177535623138346902e-09,-3.021918707805550374e-06,1.999993787778870269e+00,-2.195395931872362871e-01,3.333325030508616837e+00,-5.999911877892157852e-01,3.325707785939687292e-06,-1.204917742351145849e-11,-9.963961525294117686e-06,-2.000000000000000042e-03,-1.629235064722010538e-11
1.310035789426329078e-05,7.621403733084692199e-09,-4.024313225103706228e-06,1.999993171509037548e+00,-2.620071578681036906e-01,3.333324208815518830e+00,-5.999937096138103776e-01,4.582678297945198687e-06,-1.716160462429343927e-11,-9.964108012218577567e-06,-1.999999999999992235e-03,-2.154901733495913327e-12
1.730338529436683940e-05,1.047940478519665737e-08,-6.478062667101813427e-06,1.999988924273198521e+00,-3.460677058572452225e-01,3.333318545834484503e+00,-5.999979871463552161e-01,7.070733142694080888e-06,-2.994012561969238861e-11,-9.964138807857979028e-06,-1.999999999973486528e-03,-3.531919221833161559e-13
2.022071558319486469e-05,1.246314941501536312e-08,-8.180990908838492898e-06,1.999985502289950201e+00,-4.044143115713509928e-01,3.333313983190221208e+00,-6.000006496755828644e-01,8.570867217870302161e-06,-4.088692641898536226e-11,-9.964149429302307406e-06,-1.999999987308168949e-03,-3.857293078261663198e-13
2.136055621906506462e-05,1.323822543187151372e-08,-8.244959703720289589e-06,1.999984395965576978e+00,-4.272111237294923813e-01,3.333312508091078818e+00,-6.000006441042847749e-01,8.274130826740632818e-06,-4.562643395383656683e-11,-9.964153949781187950e-06,-1.999999877784951197e-03,-4.076329258903755887e-13
2.346652391874481922e-05,1.467025461634583016e-08,-7.558853707706204885e-06,1.999984103549791392e+00,-4.693304361889352738e-01,3.333312118203371366e+00,-6.000006209651721489e-01,7.785689266070867516e-06,-5.506668322286697668e-11,-9.964162972545563939e-06,-1.999991544777247627e-03,-4.493829144851176171e-13
2.732242424142058201e-05,1.729221401051916220e-08,-5.910226869293584718e-06,1.999986709487519887e+00,-5.463484336670877406e-01,3.333315592786957104e+00,-6.000013955628001883e-01,6.228357708030720037e-06,-7.464947314578480067e-11,-9.964181785045366795e-06,-1.981382767160132577e-03,-5.264150367313657969e-13
2.970018375517602646e-05,1.890905790477864990e-08,-4.874946142578220684e-06,1.999988743891503606e+00,-5.873448101179592484e-01,3.333318305325561504e+00,-6.000020121835800690e-01,5.196093414341008833e-06,-8.816609613908903648e-11,-9.964194852339434684e-06,-1.120036950572646456e-03,-5.713500759685264395e-13
3.081315149000835431e-05,1.966586071686570229e-08,-4.303335634088979366e-06,1.999989728840926961e+00,-5.955994416581851247e-01,3.333319618591439770e+00,-6.000025439541898375e-01,4.668782478766547298e-06,-9.475589387785963433e-11,-9.964201297844730898e-06,-4.333317992520582156e-04,-5.857803667236373820e-13
3.397044895959271669e-05,2.181277974123750035e-08,-2.001918550829119051e-06,1.999993527057419840e+00,-5.998190354128495327e-01,3.333324682880021594e+00,-6.000041849094714941e-01,2.527837111989147088e-06,-1.136569683117921280e-10,-9.964220068593253180e-06,-1.851442076474791280e-05,-5.988159596246339172e-13
4.000746097372439360e-05,2.591786520327166567e-08,2.667303672854531777e-06,2.000002694556073379e+00,-6.000068697883879087e-01,3.333336906211378015e+00,-6.000077831904103709e-01,3.430898749750150231e-06,-1.498767981474657305e-10,-9.964256276627914670e-06,-9.134020218545726908e-08,-6.000012296413306809e-13
4.064791340190516977e-05,2.635336408013833774e-08,2.900857163759176337e-06,2.000003641677546184e+00,-6.000072136949776702e-01,3.333338169039989474e+00,-6.000074929306362659e-01,2.943475598476811426e-06,-1.537194811704375063e-10,-9.964260119294288367e-06,-2.792356585885011838e-08,-6.000035048141786129e-13
4.178838849016482918e-05,2.712887151545090468e-08,2.579521066127055374e-06,2.000004701428544696e+00,-6.000073364505702500e-01,3.333339582041299209e+00,-6.000073401860027689e-01,2.579912743889482237e-06,-1.605622780876543609e-10,-9.964266962083349576e-06,-3.735432541318377662e-10,-6.000053771381568106e-13
4.372893331677892898e-05,2.844841541169095166e-08,1.322642466826106723e-06,2.000004199171659280e+00,-6.000070873177397734e-01,3.333338912365462647e+00,-6.000068184221690748e-01,1.684052555029503692e-06,-1.722054549827477645e-10,-9.964278605272002437e-06,2.688955706661175522e-08,-6.000060505717014848e-13
4.691867288996442455e-05,3.061739462121115970e-08,-1.069291600738063742e-06,2.000000249540176966e+00,-6.000056630710818295e-01,3.333333646190230759e+00,-6.000050968914948379e-01,1.828952791293531580e-06,-1.913437154919412554e-10,-9.964297743572404968e-06,5.661795868180598663e-08,-6.000051006242510381e-13
5.010643014413318692e-05,3.278502588075028167e-08,-3.490270236451007233e-06,1.999995482513422962e+00,-6.000037425191087070e-01,3.333327290154653788e+00,-6.000032742766528981e-01,4.192732464960870498e-06,-2.104700267253177663e-10,-9.964316869932087479e-06,4.682424557667862381e-08,-6.000032933947546551e-13
5.160096712596978362e-05,3.380129055269199498e-08,-4.161097112707013706e-06,1.999993426489281356e+00,-6.000039364013121101e-01,3.333324548789172503e+00,-6.000044009077030172e-01,4.455365246338086502e-06,-2.194371250239997488e-10,-9.964325837049119503e-06,-4.645063907655279719e-08,-6.000028442555343736e-13
5.482837110170424115e-05,3.599588103941246154e-08,-4.841281936593389182e-06,1.999991005046004355e+00,-6.000061332510071566e-01,3.333321320198184612e+00,-6.000069457268224493e-01,5.022512190894550804e-06,-2.388013212483709296e-10,-9.964345201260923842e-06,-8.124758148171832042e-08,-6.000043614609493339e-13
6.001054861261712335e-05,3.951969074839680059e-08,-5.756253244694505672e-06,1.999989015055120278e+00,-6.000106722728916209e-01,3.333318666877045366e+00,-6.000115649540028739e-01,5.924624996265856147e-06,-2.698941981149810953e-10,-9.964376294143464965e-06,-8.926811106462716599e-08,-6.000087324050669089e-13
6.094406745982506392e-05,4.015447077476232375e-08,-5.650756362193684310e-06,1.999988754773472266e+00,-6.000111933942879894e-01,3.333318319834852606e+00,-6.000114658644587484e-01,5.696284075461012858e-06,-2.754953016791705233e-10,-9.964381895248346585e-06,-2.724701707215612407e-08,-6.000094900760382279e-13
6.296867159804430531e-05,4.153117385046906413e-08,-4.640421485573690734e-06,1.999989339832409785e+00,-6.000111710648848851e-01,3.333319099913424566e+00,-6.000110395741603542e-01,4.984373554692487205e-06,-2.876429112373473098e-10,-9.964394042871089566e-06,1.314907245583021207e-08,-6.000101008291447042e-13
6.683766888621490033e-05,4.416203899862525677e-08,-2.227682786227282969e-06,1.999993419886462398e+00,-6.000109070030139602e-01,3.333324539985413892e+00,-6.000109056686245834e-01,2.676615621952786009e-06,-3.108568559251636718e-10,-9.964417256854694960e-06,1.334389405563111336e-10,-6.000098958048197607e-13
7.028364331014119162e-05,4.650525439452816738e-08,-5.567048468266053630e-08,1.999997741339913704e+00,-6.000109493223848567e-01,3.333330301923262962e+00,-6.000108066248593941e-01,5.010336348830751331e-07,-3.315326656427871372e-10,-9.964437932697107908e-06,1.426975253978107632e-08,-6.000099100773247402e-13
7.276334216229079100e-05,4.819141564015364782e-08,9.201193678229631725e-07,2.000000407525181156e+00,-6.000099130179026297e-01,3.333333856836900200e+00,-6.000093701459762174e-01,1.241783417436809174e-06,-3.464108216093340919e-10,-9.964452810882649600e-06,5.428719262445923458e-08,-6.000093152907891379e-13
7.939995999428942856e-05,5.270422483837887640e-08,2.936509467393970165e-06,2.000004808289253866e+00,-6.000056902290565874e-01,3.333339724522243142e+00,-6.000050171475922456e-01,3.237825626842936423e-06,-3.862302542662761842e-10,-9.964492630418425598e-06,6.730814640912301131e-08,-6.000053278408380283e-13
8.050677557097334742e-05,5.345684426608412764e-08,3.180093646262060434e-06,2.000005463752575263e+00,-6.000049450066281542e-01,3.333340598473325311e+00,-6.000042905726805653e-01,3.155934493453355972e-06,-3.928710737522360863e-10,-9.964499271255875584e-06,6.544339473619838067e-08,-6.000045857976245256e-13
8.205101320194777231e-05,5.450690469756093624e-08,2.768611173483924568e-06,2.000005836455851949e+00,-6.000040893559854815e-01,3.333341095411019861e+00,-6.000036060231691559e-01,2.870058139816622067e-06,-4.021363836209335243e-10,-9.964508536590069090e-06,4.833328162359840129e-08,-6.000036248810974726e-13
8.506565858113922154e-05,5.655682225164215722e-08,1.308070466661498039e-06,2.000004089385517769e+00,-6.000025069575743997e-01,3.333338765983942409e+00,-6.000019045771607384e-01,1.602577296350066785e-06,-4.202239945858161236e-10,-9.964526624245642169e-06,6.023804134734534474e-08,-6.000020366519696628e-13
9.000735314311463897e-05,5.991710684704149086e-08,-1.244697962475480185e-06,1.999999171795976194e+00,-5.999992010547460231e-01,3.333332209197984675e+00,-5.999985124355387001e-01,1.753133531945442267e-06,-4.498736128974992986e-10,-9.964556273942731099e-06,6.886192070274343815e-08,-5.999988679017137826e-13
9.070599376078689665e-05,6.039217289486019044e-08,-1.350527638643347906e-06,1.999998497652645035e+00,-5.999989270952936771e-01,3.333331310340223119e+00,-5.999987262134653943e-01,1.378331907313213531e-06,-4.540653660319864951e-10,-9.964560465706867958e-06,2.008818283187021648e-08,-5.999984335008667630e-13
9.202660356471371395e-05,6.129016946759486963e-08,-8.047131343489472900e-07,1.999997948303405826e+00,-5.999988121416222064e-01,3.333330577874581646e+00,-5.999987946042067977e-01,1.003980402399867416e-06,-4.619888512059791021e-10,-9.964568389209117039e-06,1.753741541704869928e-09,-5.999979841922398516e-13
9.432839505588796840e-05,6.285535614420887832e-08,8.034536987437546226e-07,1.999999508326816278e+00,-5.999990569566028276e-01,3.333332657905764496e+00,-5.999992946578431852e-01,1.551513665510319994e-06,-4.757992982499478696e-10,-9.964582199678759448e-06,-2.377012403568595492e-08,-5.999979178695600210e-13
9.885945999229679942e-05,6.593641821946848311e-08,4.251456393147331613e-06,2.000005909114547453e+00,-6.000007958302496780e-01,3.333341192289279498e+00,-6.000012519011511669e-01,5.016782308086707972e-06,-5.029851372407467461e-10,-9.964609385546657186e-06,-4.560709013541642941e-08,-5.999993445271529400e-13
1.002859664787414043e-04,6.690642308516481142e-08,5.289832952970863071e-06,2.000008076269033985e+00,-6.000014319576330024e-01,3.333344081828551797e+00,-6.000017599053951711e-01,5.706121468920537450e-06,-5.115440209792056485e-10,-9.964617944437652753e-06,-3.279477621424346944e-08,-5.999999781501490932e-13
1.012553382087767317e-04,6.756558257984898058e-08,5.324723742854278433e-06,2.000009294084390543e+00,-6.000017090766356365e-01,3.333345705582336116e+00,-6.000020061820319217e-01,5.298257974642256770e-06,-5.173601502630033231e-10,-9.964623760572430863e-06,-2.971053962797109518e-08,-6.000003524116567567e-13
1.029416972582281406e-04,6.871228362796752364e-08,4.572179561749942542e-06,2.000009815707715966e+00,-6.000022335406249852e-01,3.333346401080092836e+00,-6.000025103123771686e-01,4.774825951551979414e-06,-5.274781354750184833e-10,-9.964633878568176709e-06,-2.767717522214266203e-08,-6.000009060747427093e-13
1.056372537594173200e-04,7.054522511571238641e-08,2.917130582839330628e-06,2.000007690093936752e+00,-6.000026021388491504e-01,3.333343566928429258e+00,-6.000026124769043401e-01,3.291986921613529555e-06,-5.436512178240407410e-10,-9.964650051670364574e-06,-1.033805519076547630e-09,-6.000014910356960024e-13
1.100062666970947641e-04,7.351609405115478619e-08,1.278706123613032696e-07,2.000002320666702804e+00,-6.000022819812703689e-01,3.333336407692224501e+00,-6.000021709594480779e-01,5.236468913718442929e-07,-5.698648795896668821e-10,-9.964676265374980903e-06,1.110218222539346966e-08,-6.000013688088415520e-13
1.105834548029626193e-04,7.390857405475330172e-08,-2.345345156630543302e-08,2.000001617599778569e+00,-6.000021927939024335e-01,3.333335470269672474e+00,-6.000019615132110573e-01,2.529227414323467470e-07,-5.733279519053387750e-10,-9.964679728453395364e-06,2.312806913802253565e-08,-6.000013090506671636e-13
1.116787640322930365e-04,7.465336932320714148e-08,3.916810729183192351e-07,2.000000824643007657e+00,-6.000017468965509471e-01,3.333334412993993467e+00,-6.000011970589157473e-01,1.006090956484349750e-06,-5.798996977329287665e-10,-9.964686300212037261e-06,5.498376350570888321e-08,-6.000010715849802797e-13
1.135511641247059295e-04,7.592657573111075347e-08,1.836480656152066808e-06,2.000001648980793245e+00,-6.000006370579298309e-01,3.333335512111024634e+00,-6.000000868893174966e-01,2.694402356766273500e-06,-5.911338958603131103e-10,-9.964697534436923543e-06,5.501686121865786373e-08,-6.000001795745835060e-13
1.165704820963003841e-04,7.797967058206073389e-08,4.516554152523058734e-06,2.000006083733550710e+00,-5.999994216901045618e-01,3.333341425114613177e+00,-5.999991344446553576e-01,5.416870152604564585e-06,-6.092494401982475108e-10,-9.964715650024121260e-06,2.872454491922205581e-08,-5.999987705352756475e-13
1.200137884851609971e-04,8.032107174716947125e-08,7.618459934560820217e-06,2.000012179286985159e+00,-5.999985993798032657e-01,3.333349552519071501e+00,-5.999983932798037545e-01,8.492662999207054822e-06,-6.299088305584093744e-10,-9.964736309456788738e-06,2.060999995605166303e-08,-5.999978211383965963e-13
1.206753232036034265e-04,8.077090629150046511e-08,7.827882825097828815e-06,2.000013300660492543e+00,-5.999986206095601071e-01,3.333351047683725810e+00,-5.999989111572352485e-01,7.801922812518860998e-06,-6.338779501001270647e-10,-9.964740278583785550e-06,-2.905476751650497111e-08,-5.999977058148608479e-13
