time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
1.000000000000000021e-08,5.972835592334886534e-12,-4.460834714866973356e-08,1.999999999462059863e+00,-1.999999999999800061e-04,3.333333312752746469e+00,-6.000034004472867277e-01,4.505541200379368960e-06,-1.999600079979804250e-16,-9.901400468272372105e-07,-2.000000000000000042e-03,-9.901400468273363980e-06
1.003979009693162662e-08,5.996601353316216842e-12,-4.478584044820036708e-08,1.999999999459916911e+00,-2.007958019386124984e-04,3.333333312749889199e+00,-6.000034005796756054e-01,4.505534195756552837e-06,-2.007572660480768088e-16,-9.940797436953291735e-07,-2.000000000000000042e-03,-9.901006508242347185e-06
1.035811087238464452e-08,6.186712676554486364e-12,-4.620552314773717099e-08,1.999999999442602094e+00,-2.071622174476723556e-04,3.333333312726802777e+00,-6.000034016385143998e-01,4.505478158788723269e-06,-2.072490433467701884e-16,-1.025591688850060980e-06,-2.000000000000000042e-03,-9.897855390938689420e-06
1.290467707600878278e-08,7.706656606523798055e-12,-5.754608733002275952e-08,1.999999999293084141e+00,-2.580935415201492892e-04,3.333333312527445358e+00,-6.000034100917459590e-01,4.505029863992947581e-06,-2.664774272613150096e-16,-1.277326500195715459e-06,-2.000000000000000042e-03,-9.872682525291976883e-06
3.327720670500188722e-08,1.980584000977633452e-11,-1.471980826864181349e-07,1.999999997393546058e+00,-6.655441340999174865e-04,3.333333309994727767e+00,-6.000034766063633285e-01,4.501443566006871626e-06,-1.207131092176769721e-15,-3.268307301536123811e-06,-2.000000000000000042e-03,-9.673589230350347347e-06
7.372052171040046964e-08,4.350985320027524381e-11,-3.196401565092083672e-07,1.999999989928888944e+00,-1.474410434207457316e-03,3.333333300041851910e+00,-6.000036028934483401e-01,4.494324403088148188e-06,-5.533608631808476889e-15,-7.102630030229331064e-06,-2.000000000000000042e-03,-9.290165586582691649e-06
1.256089105167432635e-07,7.331792642398773726e-11,-5.304978477782157200e-07,1.999999973217220450e+00,-2.512178210333279767e-03,3.333333277759627844e+00,-6.000037540430481764e-01,4.485191188790331362e-06,-1.587442354866240730e-14,-1.180033604656804657e-05,-2.000000000000000042e-03,-8.820404639806313389e-06
1.850719206426939833e-07,1.066607909991037960e-10,-7.584914140908730878e-07,1.999999944368045179e+00,-3.701438412850446575e-03,3.333333239294061112e+00,-6.000039128501153396e-01,4.474725532637725586e-06,-3.434474689285894944e-14,-1.689248717996364802e-05,-2.000000000000000042e-03,-8.311198871691545621e-06
2.535532178672583077e-07,1.440077518172464864e-10,-1.004056506179452225e-06,1.999999898653092467e+00,-5.071064357338729046e-03,3.333333178340792013e+00,-6.000040776404694798e-01,4.462673685688067525e-06,-6.437635905019336882e-14,-2.239382751432632311e-05,-2.000000000000000042e-03,-7.761073734036746743e-06
3.290408162661220115e-07,1.839077508512452561e-10,-1.255031466937661297e-06,1.999999833366657986e+00,-6.580816325311608130e-03,3.333333091292213890e+00,-6.000042381574361983e-01,4.449390086029276795e-06,-1.083461895609701333e-13,-2.803709918089400646e-05,-2.000000000000000042e-03,-7.196754462225434059e-06
4.124830611813504270e-07,2.265152490583402481e-10,-1.510152110234493538e-06,1.999999743985900746e+00,-8.249661223609990046e-03,3.333332972117872384e+00,-6.000043915508919135e-01,4.434708199610731787e-06,-1.702082341420933281e-13,-3.379887707067136352e-05,-2.000000000000000042e-03,-6.620583556564074647e-06
5.029557659326997835e-07,2.709994378177480129e-10,-1.762415801356884723e-06,1.999999628052398171e+00,-1.005911531862870023e-02,3.333332817539871318e+00,-6.000045315388866651e-01,4.418790998523204315e-06,-2.530138997283897922e-13,-3.952614836302375108e-05,-2.000000000000000042e-03,-6.047862176986734255e-06
6.010995387218652682e-07,3.173176764453570649e-10,-2.009899850062963033e-06,1.999999481858733441e+00,-1.202199077440117142e-02,3.333332622614987972e+00,-6.000046551063689115e-01,4.401526135862004846e-06,-3.613483857915662330e-13,-4.518025982225625057e-05,-2.000000000000000042e-03,-5.482455737435258336e-06
7.066000727641026884e-07,3.649527393046225746e-10,-2.248396395105739029e-06,1.999999303556604380e+00,-1.413200145523212103e-02,3.333332384878819443e+00,-6.000047582914417310e-01,4.382969271552334331e-06,-4.992838060766083681e-13,-5.067016301093477549e-05,-2.000000000000000042e-03,-4.933469150404698338e-06
8.199884603680180788e-07,4.137713415135982275e-10,-2.476098193525802061e-06,1.999999090739116081e+00,-1.639976920729312865e-02,3.333332101122172375e+00,-6.000048386639120768e-01,4.363027363033983633e-06,-6.723466058092359397e-13,-5.595924952068405319e-05,-2.000000000000000042e-03,-4.404563395219655577e-06
9.413388046707242435e-07,4.634199214150393074e-10,-2.690452783667762915e-06,1.999998842632113139e+00,-1.882677609332586779e-02,3.333331770312840447e+00,-6.000048938866565651e-01,4.341687763140235675e-06,-8.860415368454230703e-13,-6.099327380288008477e-05,-2.000000000000000042e-03,-3.901163154527983568e-06
1.000578513041127985e-06,4.867216039709420973e-10,-2.785101542161664821e-06,1.999998715115776315e+00,-2.001157026072242565e-02,3.333331600291060681e+00,-6.000049105472784472e-01,4.331271326674292328e-06,-1.001057483902305296e-12,-6.323733952894990888e-05,-2.000000000000000042e-03,-3.676757372135014986e-06
1.008677695616918931e-06,4.898609707576521333e-10,-2.797563191512956906e-06,1.999998697394832714e+00,-2.017355391223660255e-02,3.333331576663136175e+00,-6.000049123388634387e-01,4.329847250272009080e-06,-1.017327562760280856e-12,-6.353392450135734862e-05,-2.000000000000000042e-03,-3.647098975941636762e-06
1.073471156223247975e-06,5.145822765611044659e-10,-2.893306047341016225e-06,1.999998553397066781e+00,-2.146942312434968816e-02,3.333331384666117891e+00,-6.000049227083912307e-01,4.318455032760970763e-06,-1.152210215823133605e-12,-6.582224220733122553e-05,-2.000000000000000042e-03,-3.418267947333847700e-06
1.217099207439089963e-06,5.669629148994235572e-10,-3.082201872671074048e-06,1.999998222361202949e+00,-2.434198414863362331e-02,3.333330943284972481e+00,-6.000049227635644300e-01,4.293204255856609196e-06,-1.481134588414578013e-12,-7.039636279700739669e-05,-2.000000000000000042e-03,-2.960857089017774119e-06
1.364654471489325375e-06,6.174759892327643863e-10,-3.246456325073529267e-06,1.999997870415924472e+00,-2.729308942960020912e-02,3.333330474024608137e+00,-6.000048947062930349e-01,4.267266349000930471e-06,-1.862009759135686331e-12,-7.445898477227241938e-05,-2.000000000000000042e-03,-2.554595697583996633e-06
1.524666553903447773e-06,6.687130196726350739e-10,-3.395202833369379337e-06,1.999997481979017833e+00,-3.049333107783642680e-02,3.333329956108740166e+00,-6.000048383399548824e-01,4.239142269504378168e-06,-2.324243586336044040e-12,-7.823720405396564941e-05,-2.000000000000000042e-03,-2.176774342761398714e-06
1.694425789560167965e-06,7.193127193278450172e-10,-3.524502427598424440e-06,1.999997069258403037e+00,-3.388851579091618771e-02,3.333329405814595692e+00,-6.000047555098202423e-01,4.209308767866567874e-06,-2.870604969701708602e-12,-8.163668014367999909e-05,-2.000000000000000042e-03,-1.836827128602044630e-06
1.877597474066442720e-06,7.698807615694705813e-10,-3.636264711402188416e-06,1.999996630597601133e+00,-3.755194948097623220e-02,3.333328820933535219e+00,-6.000046463334544056e-01,4.177122191673954389e-06,-3.524767655335858183e-12,-8.471193803947835079e-05,-2.000000000000000042e-03,-1.529301621088288964e-06
2.073657724236823745e-06,8.197265221406883438e-10,-3.729299094250728017e-06,1.999996176053311814e+00,-4.147315448430637097e-02,3.333328214874491824e+00,-6.000045135951037611e-01,4.142675142778039561e-06,-4.299296832006048791e-12,-8.743554427442196499e-05,-2.000000000000000042e-03,-1.256941206180156031e-06
2.285610600152498643e-06,8.690425685098472600e-10,-3.804467995839476360e-06,1.999995709077756256e+00,-4.571221200252745254e-02,3.333327592240427073e+00,-6.000043585605315810e-01,4.105440390405762543e-06,-5.223071535096228849e-12,-8.983716503015328056e-05,-2.000000000000000042e-03,-1.016779299961443515e-06
2.514472870308542628e-06,9.174308800183764339e-10,-3.861651140663909525e-06,1.999995239532620817e+00,-5.028945740553845273e-02,3.333326966180255813e+00,-6.000041844579807604e-01,4.065239948807019238e-06,-6.321409867140989463e-12,-9.191800821009129467e-05,-2.000000000000000042e-03,-8.086951346866835878e-07
2.763509007092709502e-06,9.648937234613978553e-10,-3.901381236913125812e-06,1.999994774459975977e+00,-5.527018014109032207e-02,3.333326346083404612e+00,-6.000039935239824818e-01,4.021501090303850929e-06,-7.635555254463890187e-12,-9.370166612793157177e-05,-2.000000000000000042e-03,-6.303294971262210203e-07
3.035356824580406732e-06,1.011163017994692575e-09,-3.923889577265689268e-06,1.999994324393635781e+00,-6.070713649068659734e-02,3.333325745994960787e+00,-6.000037891501021070e-01,3.973761299778112711e-06,-9.211649055467731794e-12,-9.520293444007219593e-05,-2.000000000000000042e-03,-4.802028349196161356e-07
3.334530268955409656e-06,1.056145853040880373e-09,-3.929493183763760049e-06,1.999993898956424099e+00,-6.669060537799605115e-02,3.333325178745353057e+00,-6.000035740519955585e-01,3.957810600015805583e-06,-1.111696905288346871e-11,-9.644547721084503419e-05,-2.000000000000000042e-03,-3.559487537062228094e-07
3.666095115312717894e-06,1.099619860262221807e-09,-3.918312948621112523e-06,1.999993509715949802e+00,-7.332190230491006377e-02,3.333324659758061692e+00,-6.000033513660248952e-01,3.946628145085766709e-06,-1.343766619254173354e-11,-9.745083234080528485e-05,-2.000000000000000042e-03,-2.554134750760504707e-07
4.037508930032913884e-06,1.141428438734883642e-09,-3.890215470256269860e-06,1.999993168249583286e+00,-8.075017859902777762e-02,3.333324204469580110e+00,-6.000031234976058725e-01,3.918525087906874868e-06,-1.629831902639261936e-11,-9.824407167360660114e-05,-2.000000000000000042e-03,-1.760898287600457294e-07
4.458569957210937611e-06,1.181339374212447940e-09,-3.844644760616977267e-06,1.999992887390687590e+00,-8.917139914223044805e-02,3.333323829991058140e+00,-6.000028924465663493e-01,3.872945329548892820e-06,-1.987497139756980685e-11,-9.885000906752098931e-05,-2.000000000000000042e-03,-1.154964473472869470e-07
4.943721033280858499e-06,1.219122292600429912e-09,-3.780289631950434298e-06,1.999992680649018695e+00,-9.887442066317267408e-02,3.333323554335503758e+00,-6.000026588208764444e-01,3.817532582378485775e-06,-2.443559086298261685e-11,-9.929473166245933978e-05,-2.000000000000000042e-03,-7.102464400888146609e-08
