time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
1.000000000000000021e-08,5.972835592334864723e-12,-4.460834714866973356e-08,1.999999999462059863e+00,-1.999999999999800061e-04,3.333333312752746469e+00,-6.000025930922816553e-01,4.505541200379368960e-06,-1.999600079979804250e-16,-9.901400687394819241e-07,-2.000000000000000042e-03,-9.901400687395811963e-06
3.327720644618437921e-08,1.980583985674455108e-11,-1.471980815594706036e-07,1.999999997393546058e+00,-6.655441289235667105e-04,3.333333309994727767e+00,-6.000026454234161921e-01,4.501443566052431834e-06,-1.207131074954763716e-15,-3.268307348827833341e-06,-2.000000000000000042e-03,-9.673589446935157465e-06
2.535532173480345755e-07,1.440077515382695367e-10,-1.004056504383684779e-06,1.999999898653092689e+00,-5.071064346954254516e-03,3.333333178340792458e+00,-6.000030209698191674e-01,4.462673685779432734e-06,-6.437635878694428746e-14,-2.239382796961441306e-05,-2.000000000000000042e-03,-7.761073909824340317e-06
6.010995379962565057e-07,3.173176761101335913e-10,-2.009899848327706773e-06,1.999999481858734551e+00,-1.202199075988899003e-02,3.333332622614989749e+00,-6.000032426665135032e-01,4.401526135989641700e-06,-3.613483849194144399e-13,-4.518026078233954110e-05,-2.000000000000000042e-03,-5.482455862745038961e-06
1.000578513042992517e-06,4.867216039715999127e-10,-2.785101542164639600e-06,1.999998715115776315e+00,-2.001157026075972567e-02,3.333331600291060681e+00,-6.000030891768464159e-01,4.331271326673960291e-06,-1.001057483906037100e-12,-6.323734092850811258e-05,-2.000000000000000042e-03,-3.676757453497964980e-06
1.364654471719706266e-06,6.174759893090199956e-10,-3.246456325308656296e-06,1.999997870415923806e+00,-2.729308943420792263e-02,3.333330474024607692e+00,-6.000027006459289769e-01,4.267266348960437214e-06,-1.862009759764343597e-12,-7.445898642599329436e-05,-2.000000000000000042e-03,-2.554595753530868812e-06
2.073657724516007075e-06,8.197265222084943031e-10,-3.729299094366011742e-06,1.999996176053311370e+00,-4.147315448989011277e-02,3.333328214874490936e+00,-6.000015937565943425e-01,4.142675142728996354e-06,-4.299296833163687250e-12,-8.743554621294987578e-05,-2.000000000000000042e-03,-1.256941233646412297e-06
3.035356824964048283e-06,1.011163018055921518e-09,-3.923889577284592503e-06,1.999994324393635337e+00,-6.070713649835957071e-02,3.333325745994959899e+00,-5.999998848588601330e-01,3.973761299710749028e-06,-9.211649057796262990e-12,-9.520293654883300730e-05,-2.000000000000000042e-03,-4.802028453626118622e-07
4.458569957815436226e-06,1.181339374264280731e-09,-3.844644760543588638e-06,1.999992887390687368e+00,-8.917139915432062414e-02,3.333323829991057696e+00,-5.999975312692186202e-01,3.872945329475488944e-06,-1.987497140295915673e-11,-9.885001125585096444e-05,-2.000000000000000042e-03,-1.154964498334008039e-07
7.018883678354071759e-06,1.314766164655469119e-09,-3.445222123617429798e-06,1.999992661840636954e+00,-1.403776735621549143e-01,3.333323529257661733e+00,-5.999939411962132985e-01,3.573521305214761666e-06,-4.925497740528751491e-11,-9.991671536892721887e-05,-2.000000000000000042e-03,-8.828976680319394642e-09
