time,state,q,residual,candidate,denominator,target,stagepeak,stored,stored_read,candidate_current_A,transfer_current_A
1.000000000000000021e-08,-3.026132719577980233e-12,4.845280543647844466e-08,1.290205896313822764e+00,-1.999999999999800061e-04,2.348247072117332745e+00,-2.471748124584851602e-01,4.893839945256281682e-06,-6.060238773403394354e-17,-2.999267363672167660e-07,-2.000000000000000042e-03,-2.999267363672468039e-06
1.037996689558716052e-08,-3.141112864272350147e-12,5.029342228905212534e-08,1.290205896329631008e+00,-2.075993379114366680e-04,2.348247072136303348e+00,-2.471748103990924761e-01,4.893423400729286677e-06,-6.294887067065621092e-17,-3.113207924142401117e-07,-1.999999999924766819e-03,-2.998127960629696077e-06
2.253890755437627547e-08,-6.817440403700956621e-12,1.087422704718300636e-07,1.290205896923525941e+00,-4.507781510779192580e-04,2.348247072848977268e+00,-2.471747449909873218e-01,4.880093978903237021e-06,-1.842320174450773783e-16,-6.736548353603643074e-07,-1.999999999922920206e-03,-2.961894637048861407e-06
9.656190216482210623e-08,-2.907212678505809962e-11,4.462429373020807125e-07,1.290205904002597936e+00,-1.931238043224470496e-03,2.348247081343862952e+00,-2.471743667288413826e-01,4.798945282811319980e-06,-2.855645445609876451e-15,-2.786994867813198081e-06,-1.999999999910659181e-03,-2.750561066509389928e-06
1.931771004575215398e-07,-5.779448423341210487e-11,8.421436677620031842e-07,1.290205921171363457e+00,-3.863542008980441148e-03,2.348247101946381310e+00,-2.471739211726570740e-01,4.693029906453716229e-06,-1.133791657772461598e-14,-5.320192226079873378e-06,-1.999999999891645310e-03,-2.497241768193228009e-06
3.126583060173256796e-07,-9.281269494187974286e-11,1.268298593785793603e-06,1.290205952866856132e+00,-6.253166120024235448e-03,2.348247139980972342e+00,-2.471734380640611684e-01,4.562047943181551838e-06,-2.965129885063845654e-14,-8.132695991559835033e-06,-1.999999999862446445e-03,-2.215991784515253416e-06
4.524347731000570224e-07,-1.330856501853406589e-10,1.687720930552775673e-06,1.290206002367204174e+00,-9.048695461446322821e-03,2.348247199381389816e+00,-2.471729571127342651e-01,4.408817875616846426e-06,-6.205600389310998107e-14,-1.102357639120104858e-05,-1.999999999818142908e-03,-1.926904058159614286e-06
6.113805048034061856e-07,-1.779896010786993527e-10,2.074444905458701949e-06,1.290206072778768531e+00,-1.222761009515609468e-02,2.348247283875265712e+00,-2.471725062061356226e-01,4.234574378176402333e-06,-1.132919586017050472e-13,-1.385552467227252383e-05,-1.999999999750196825e-03,-1.643709461001336350e-06
7.928617304356834098e-07,-2.281234674494045395e-10,2.415917989165759220e-06,1.290206169639082523e+00,-1.585723460722953532e-02,2.348247400107641880e+00,-2.471720984472828009e-01,4.035627590244624259e-06,-1.905126124738630128e-13,-1.658379938673582561e-05,-1.999999999641087489e-03,-1.370882152334206724e-06
9.770050864937271937e-07,-2.777822768269186465e-10,2.670791648239524504e-06,1.290206284316476326e+00,-1.954010172755850372e-02,2.348247537720512756e+00,-2.471717836806756330e-01,3.833763681962391534e-06,-2.892669956633141141e-13,-1.888965701650915542e-05,-1.999999999480367961e-03,-1.140296489579358448e-06
1.005012890061609443e-06,-2.852302648455251043e-10,2.702472696108481221e-06,1.290206303112832353e+00,-2.010025779876084204e-02,2.348247560276139900e+00,-2.471717435221253978e-01,3.803060726009441984e-06,-3.060878191987801309e-13,-1.920460866553525144e-05,-1.999999999449871089e-03,-1.108801336115515870e-06
1.130779339600122793e-06,-3.183381219235193436e-10,2.824184049086349978e-06,1.290206391633349048e+00,-2.261558678871897557e-02,2.348247666500758779e+00,-2.471715857140932282e-01,3.665192280858305710e-06,-3.874801607634716528e-13,-2.051513151756708620e-05,-1.999999999295280339e-03,-9.777490952798525684e-07
1.376741537114732408e-06,-3.815232615775924400e-10,2.976910275669519337e-06,1.290206582321720363e+00,-2.753483073670977624e-02,2.348247895326802226e+00,-2.471713709202764397e-01,3.395563702554755317e-06,-5.743643935433477255e-13,-2.264747685644681106e-05,-1.999999998848732592e-03,-7.645146205415237655e-07
1.648793449832054705e-06,-4.490667823306669461e-10,3.039435304105557480e-06,1.290206814614700770e+00,-3.297586898680947981e-02,2.348248174078375605e+00,-2.471712499915361960e-01,3.097337411720818102e-06,-8.237743020184196403e-13,-2.446883080139731654e-05,-1.999999998018052883e-03,-5.823792716093734027e-07
1.955474257006729952e-06,-5.223608761842610550e-10,3.007989266175595503e-06,1.290207092315376336e+00,-3.910948512179139580e-02,2.348248507319183442e+00,-2.471712220508916480e-01,3.009879808764217895e-06,-1.158711496469318773e-12,-2.600739290890730730e-05,-1.999999996346409591e-03,-4.285231041728777952e-07
2.301342918700070544e-06,-6.015442778718542382e-10,2.877111072266578087e-06,1.290207408088395180e+00,-4.602685833728428766e-02,2.348248886246802059e+00,-2.471712831142023337e-01,2.878975310930242390e-06,-1.604835870332155682e-12,-2.726079144288910002e-05,-1.999999992717327313e-03,-3.031832995726263489e-07
2.696433923836066043e-06,-6.876902634045191163e-10,2.640110182289754533e-06,1.290207746751721896e+00,-5.392867839595169577e-02,2.348249292642790031e+00,-2.471714200449754983e-01,2.641926797166849577e-06,-2.203156176313704871e-12,-2.825074714767909217e-05,-1.999999983998149156e-03,-2.041877905144740025e-07
3.153118212054520473e-06,-7.818367367030428662e-10,2.287888997630123422e-06,1.290208075916772890e+00,-6.306236404027260045e-02,2.348249687640847405e+00,-2.471716075380569200e-01,2.488937734051502869e-06,-3.012621829091925150e-12,-2.899975341877892467e-05,-1.999999960277004316e-03,-1.292872448696135717e-07
3.691527445151503772e-06,-8.857952752295639457e-10,1.804448922538978547e-06,1.290208341030769423e+00,-7.383054831735393064e-02,2.348250005777639871e+00,-2.471718042094380730e-01,2.280918737030118523e-06,-4.129287606711157331e-12,-2.953840358746274972e-05,-1.999999884155196240e-03,-7.542233980835820128e-08
4.343113040602816250e-06,-1.002133094123030111e-09,1.161898903821003823e-06,1.290208452968989006e+00,-8.686225866403680940e-02,2.348250140103501860e+00,-2.471719453316622295e-01,1.975581396061457370e-06,-5.715632654180083582e-12,-2.989987911053471712e-05,-1.999999578092578716e-03,-3.927494616568556904e-08
5.144544653695244351e-06,-1.132186181823712123e-09,3.265026003147957453e-07,1.290208277072855791e+00,-1.028908825610581196e-01,2.348249929028144223e+00,-2.471719342922609475e-01,1.520577799830558935e-06,-8.019647072607678144e-12,-3.011671330033058633e-05,-1.999997930678919667e-03,-1.759175759277491661e-08
6.039581964007363216e-06,-1.262087843561042136e-09,-6.337553420730884309e-07,1.290207731056265406e+00,-1.207915744079732928e-01,2.348249273808242776e+00,-2.471716943244610110e-01,1.715615965026211997e-06,-1.105285957641522401e-11,-3.022092647565508024e-05,-1.999987015067053019e-03,-7.170743383231126038e-09
7.105606547312168407e-06,-1.398091180314691518e-09,-1.792679731214866278e-06,1.290206731245753247e+00,-1.421115757961138870e-01,2.348248074035639288e+00,-2.471711694685639893e-01,2.884075117385579453e-06,-1.529898688030114108e-11,-3.026804227836454771e-05,-1.999890511646882241e-03,-2.459587726841911898e-09
8.381992257966633720e-06,-1.537700595202952525e-09,-3.187914912844573052e-06,1.290205229376678586e+00,-1.676326560738490012e-01,2.348246271792767903e+00,-2.471703272091669845e-01,4.283085814054208536e-06,-2.128886971074160443e-11,-3.028582583921232832e-05,-1.998595148993594951e-03,-6.818306328837626768e-10
9.834906860261192308e-06,-1.670517709977925104e-09,-4.779053504386260167e-06,1.290203317040121922e+00,-1.965673789968639951e-01,2.348243976988922732e+00,-2.471692241770523379e-01,5.875558788044000102e-06,-2.930692646276403155e-11,-3.029107178643905562e-05,-1.974782435128271535e-03,-1.580377192802337854e-10
1.000489062499999820e-05,-1.684458588437435472e-09,-4.965253301726072015e-06,1.290203085745680545e+00,-1.999157787248308504e-01,2.348243699435595744e+00,-2.471690918886570720e-01,6.051612395983265461e-06,-3.032801245203436179e-11,-3.029131941471229912e-05,-1.964840685339584378e-03,-1.333770009874343282e-10
1.001113320312499921e-05,-1.686202369108571276e-09,-4.971987934496683667e-06,1.290203077230924977e+00,-2.000384219932817009e-01,2.348243689217889063e+00,-2.471690896483224875e-01,6.045364382272372269e-06,-3.036583967724609667e-11,-3.029132771496500297e-05,-1.964410713385348391e-03,-1.325507584548071218e-10
1.005797226562500673e-05,-1.700395207226915672e-09,-5.019979674456820080e-06,1.290203013316494562e+00,-2.009577486230902654e-01,2.348243612520573453e+00,-2.471690704054894383e-01,5.998485644896241594e-06,-3.065040266055864735e-11,-3.029138837715942417e-05,-1.961017067263676628e-03,-1.265129954314195008e-10
