 time                     v(lower)                 v(upper)                 v(unit)                  v(dl)                    v(ratio)                 v(core)
 2.00000000000000007e-10  9.99000999000989242e-04  9.99001959578480706e-04  1.00000000000000000e+00  6.13534982633713661e-23  1.00000000096056763e+00  9.58648410365177611e-19
 2.00011216805599904e-10  9.99057026997846260e-04  9.99057987629213898e-04  1.00000000000000000e+00  6.13569394282582556e-23  1.00000000096062158e+00  9.58702178566535571e-19
 2.00033650416799670e-10  9.99169082984019017e-04  9.99170043723146160e-04  1.00000000000000000e+00  6.13638221965512485e-23  1.00000000096072927e+00  9.58809721821113771e-19
 2.00078517639199229e-10  9.99393194920165408e-04  9.99394155874846254e-04  1.00000000000000000e+00  6.13775899371098196e-23  1.00000000096094444e+00  9.59024842767341639e-19
 2.00168252083998321e-10  9.99841418642835687e-04  9.99842380028768138e-04  1.00000000000000000e+00  6.14051345965089290e-23  1.00000000096137542e+00  9.59455228070452677e-19
 2.00347720973596506e-10  1.00073786548582583e-03  1.00073882773484067e-03  1.00000000000000000e+00  6.14602609382885792e-23  1.00000000096223829e+00  9.60316577160759702e-19
 2.00706658752792875e-10  1.00253075675931663e-03  1.00253172073682143e-03  1.00000000000000000e+00  6.15706621215735788e-23  1.00000000096396646e+00  9.62041595649587872e-19
 2.01424534311185638e-10  1.00611652965389045e-03  1.00611749709769997e-03  1.00000000000000000e+00  6.17920600960183142e-23  1.00000000096743191e+00  9.65500939000287110e-19
 2.02860285427971165e-10  1.01328803683161479e-03  1.01328901124551310e-03  1.00000000000000000e+00  6.22372500752804762e-23  1.00000000097440123e+00  9.72457032426258497e-19
 2.05731787661542219e-10  1.02763089674126140e-03  1.02763188524667955e-03  1.00000000000000000e+00  6.31372987251662084e-23  1.00000000098849173e+00  9.86520292580723182e-19
 2.11474792128684328e-10  1.05631599878790563e-03  1.05631701609310599e-03  1.00000000000000000e+00  6.49768241511413712e-23  1.00000000101729047e+00  1.01526287736158505e-18
 2.22960801062968544e-10  1.11368373188418983e-03  1.11368480934686685e-03  1.00000000000000000e+00  6.88198400546527240e-23  1.00000000107744658e+00  1.07531000085394954e-18
 2.45932818931536952e-10  1.22840931484472947e-03  1.22841052358128346e-03  1.00000000000000000e+00  7.72156448963452271e-23  1.00000000120871824e+00  1.20649445150539454e-18
 2.91876854668673819e-10  1.45782095389055798e-03  1.45782247482458493e-03  1.00000000000000000e+00  9.73496907201897539e-23  1.00000000152091251e+00  1.52108891750296466e-18
 3.83764926142947500e-10  1.91648617289473327e-03  1.91648856326811102e-03  1.00000000000000000e+00  1.56546938861360799e-22  1.00000000239034637e+00  2.44604591970876120e-18
 5.02531110079299430e-10  2.50900312599422470e-03  2.50900725420891623e-03  1.00000000000000000e+00  2.94691299334612924e-22  1.00000000412818135e+00  4.60455155210332595e-18
 6.29313704937121073e-10  3.14112530542797483e-03  3.14113225058101041e-03  1.00000000000000000e+00  5.77005606885274234e-22  1.00000000694511337e+00  9.01571260758240796e-18
 7.71688783539210117e-10  3.85051218288116068e-03  3.85052376610413522e-03  1.00000000000000000e+00  1.19857429261960587e-21  1.00000001158317642e+00  1.87277233221813405e-17
 9.17513637930500246e-10  4.57656434910005180e-03  4.57658263629031215e-03  1.00000000000000000e+00  2.42526276406280945e-21  1.00000001828713647e+00  3.78947306884814025e-17
 1.07563452378569982e-09  5.36323965882542879e-03  5.36326787244158481e-03  1.00000000000000000e+00  4.93451304383817194e-21  1.00000002821355460e+00  7.71017663099714375e-17
 1.23801436759792496e-09  6.17045690122637429e-03  6.17049865758316062e-03  1.00000000000000000e+00  9.64409088312316503e-21  1.00000004175628709e+00  1.50688920048799465e-16
 1.41106958551135755e-09  7.03002210558757029e-03  7.03008259240933166e-03  1.00000000000000000e+00  1.85532336690242221e-20  1.00000006048674339e+00  2.89894276078503495e-16
 1.58901656886658036e-09  7.91310947212093239e-03  7.91319446325311308e-03  1.00000000000000000e+00  3.43089220209364358e-20  1.00000008499104509e+00  5.36076906577132029e-16
 1.77630375090703344e-09  8.84170066534742220e-03  8.84181790550079769e-03  1.00000000000000000e+00  6.20288838350921194e-20  1.00000011724005722e+00  9.69201309923314646e-16
 1.96875437855394221e-09  9.79498740464742647e-03  9.79514546588134381e-03  1.00000000000000000e+00  1.08330070061882614e-19  1.00000015806112819e+00  1.69265734471691634e-15
 2.16948521720538842e-09  1.07883125720061486e-02  1.07885223883356189e-02  1.00000000000000000e+00  1.84880655807199823e-19  1.00000020981621374e+00  2.88876024698749796e-15
 2.37549907838407202e-09  1.18067448951013950e-02  1.18070185290072224e-02  1.00000000000000000e+00  3.06487240974191215e-19  1.00000027363377986e+00  4.78886314022173904e-15
 2.58899173779971205e-09  1.28610424945660804e-02  1.28613947557331219e-02  1.00000000000000000e+00  4.97400602721743383e-19  1.00000035226103057e+00  7.77188441752724250e-15
 2.80781095716634287e-09  1.39404771785930290e-02  1.39409243631744510e-02  1.00000000000000000e+00  7.87962391832279352e-19  1.00000044718443437e+00  1.23119123723793683e-14
 3.03350164419825241e-09  1.50525722947625062e-02  1.50531338265967145e-02  1.00000000000000000e+00  1.22494369378450747e-18  1.00000056153167605e+00  1.91397452153829323e-14
 3.26451250546490593e-09  1.61895837687168094e-02  1.61902809656205848e-02  1.00000000000000000e+00  1.86622935146918770e-18  1.00000069719673434e+00  2.91598336167060581e-14
 3.50192680272520809e-09  1.73567447004973965e-02  1.73576023874712944e-02  1.00000000000000000e+00  2.79666834810506485e-18  1.00000085768679292e+00  4.36979429391416378e-14
 3.74462180621723424e-09  1.85484351178515777e-02  1.85494804635737975e-02  1.00000000000000000e+00  4.12035737686656340e-18  1.00000104534552947e+00  6.43805840135400416e-14
 3.99335382855497127e-09  1.97682692012961202e-02  1.97695332654627721e-02  1.00000000000000000e+00  5.98360585337081478e-18  1.00000126406396173e+00  9.34938414589189833e-14
 4.24730684609513357e-09  2.10121439972279882e-02  2.10136606682488764e-02  1.00000000000000000e+00  8.56458081954107901e-18  1.00000151667080361e+00  1.33821575305329388e-13
 4.50700598727878408e-09  2.22825312412984478e-02  2.22843386920209309e-02  1.00000000000000000e+00  1.21050349295971484e-17  1.00000180745049283e+00  1.89141170774955465e-13
 4.77185534639135330e-09  2.35764143014184496e-02  2.35785540476264113e-02  1.00000000000000000e+00  1.68973915296142153e-17  1.00000213974596597e+00  2.64021742650222145e-13
 5.04221684519804140e-09  2.48954600532550856e-02  2.48979783026813048e-02  1.00000000000000000e+00  2.33268634091959041e-17  1.00000251824917186e+00  3.64482240768686037e-13
 5.31765297865579736e-09  2.62374317188563341e-02  2.62403785604242018e-02  1.00000000000000000e+00  3.18564744745386800e-17  1.00000294684130098e+00  4.97757413664666882e-13
 5.59841070736977158e-09  2.76034304157663363e-02  2.76068610555356003e-02  1.00000000000000000e+00  4.30811353230901195e-17  1.00000343063948938e+00  6.73142739423283138e-13
 5.88416685455101640e-09  2.89917807623881855e-02  2.89957548458476683e-02  1.00000000000000000e+00  5.77115919208458489e-17  1.00000397408316677e+00  9.01743623763216477e-13
 6.17508765679187796e-09  3.04031874155486839e-02  3.04077701508332389e-02  1.00000000000000000e+00  7.66419518960318256e-17  1.00000458273497905e+00  1.19753049837549779e-12
 6.47093274731873101e-09  3.18363804505185088e-02  3.18416420604334741e-02  1.00000000000000000e+00  1.00934093978938711e-16  1.00000526160959735e+00  1.57709521842091811e-12
 6.77181192431153696e-09  3.32917878586402663e-02  3.32978045962597016e-02  1.00000000000000000e+00  1.31900087720675129e-16  1.00000601673728995e+00  2.06093887063554958e-12
 7.07754505354098267e-09  3.47684336799210236e-02  3.47752874031716924e-02  1.00000000000000000e+00  1.71089164369671134e-16  1.00000685372290987e+00  2.67326819327611270e-12
