 time                     v(held)                  v(n_load)                v(dac)
 0.00000000000000000e+00  4.95788242857542694e-01  9.91541570348960719e-03  1.00000000000000000e+00
 1.00000000000000010e-11  4.95788242857542638e-01  9.91541570348968698e-03  1.00000000000000000e+00
 2.00000000000000020e-11  4.95788242857542638e-01  9.91541570348981882e-03  1.00000000000000000e+00
 4.00000000000000040e-11  4.95788242857542749e-01  9.91541570349031148e-03  1.00000000000000022e+00
 8.00000000000000081e-11  4.95788242857542916e-01  9.91541570349258744e-03  1.00000000000000044e+00
 1.60000000000000016e-10  4.95788242857543082e-01  9.91541570350257598e-03  1.00000000000000067e+00
 3.20000000000000032e-10  4.95788242857543193e-01  9.91541570353143137e-03  1.00000000000000089e+00
 6.40000000000000065e-10  4.95788242857543304e-01  9.91541570361625414e-03  1.00000000000000111e+00
 1.28000000000000013e-09  4.95788242857543582e-01  9.91541570391521465e-03  1.00000000000000133e+00
 2.28000000000000040e-09  4.95788242857543859e-01  9.91541570419572985e-03  1.00000000000000111e+00
 3.28000000000000025e-09  4.95788242857544081e-01  9.91541570428690171e-03  1.00000000000000089e+00
 4.28000000000000011e-09  4.95788242857544137e-01  9.91541570429112055e-03  1.00000000000000089e+00
 5.27999999999999996e-09  4.95788242857544248e-01  9.91541570429004676e-03  1.00000000000000089e+00
 6.27999999999999982e-09  4.95788242857544303e-01  9.91541570426737566e-03  1.00000000000000089e+00
 7.27999999999999968e-09  4.95788242857544359e-01  9.91541570416215254e-03  1.00000000000000089e+00
 8.28000000000000036e-09  4.95788242857544470e-01  9.91541570422333624e-03  1.00000000000000089e+00
 9.28000000000000104e-09  4.95788242857544525e-01  9.91541570441260844e-03  1.00000000000000089e+00
 1.02800000000000017e-08  4.95788242857544581e-01  9.91541570440759509e-03  1.00000000000000089e+00
 1.12800000000000024e-08  4.95788242857544748e-01  9.91541570384207697e-03  1.00000000000000089e+00
 1.22800000000000031e-08  4.95788242857544914e-01  9.91541570332387517e-03  1.00000000000000089e+00
 1.32800000000000038e-08  4.95788242857545081e-01  9.91541570336179970e-03  1.00000000000000089e+00
 1.42800000000000045e-08  4.95788242857545192e-01  9.91541570385445076e-03  1.00000000000000089e+00
 1.52800000000000051e-08  4.95788242857545303e-01  9.91541570440895338e-03  1.00000000000000089e+00
 1.62800000000000042e-08  4.95788242857545469e-01  9.91541570466861720e-03  1.00000000000000089e+00
 1.72800000000000032e-08  4.95788242857545636e-01  9.91541570437495454e-03  1.00000000000000089e+00
 1.82800000000000022e-08  4.95788242857545747e-01  9.91541570388334778e-03  1.00000000000000089e+00
 1.92800000000000013e-08  4.95788242857545802e-01  9.91541570351498099e-03  1.00000000000000089e+00
 2.02800000000000003e-08  4.95788242857545913e-01  9.91541570362178444e-03  1.00000000000000089e+00
