 time                     v(held)                  v(n_load)                v(dac)
 0.00000000000000000e+00  5.00012741009956296e-01  9.99990482165092308e-03  1.00000000000000000e+00
 1.00000000000000010e-11  5.00012741009956185e-01  9.99990482165091094e-03  1.00000000000000000e+00
 2.00000000000000020e-11  5.00012741009956074e-01  9.99990482165084155e-03  1.00000000000000000e+00
 4.00000000000000040e-11  5.00012741009956185e-01  9.99990482165057787e-03  1.00000000000000022e+00
 8.00000000000000081e-11  5.00012741009956296e-01  9.99990482164967408e-03  1.00000000000000044e+00
 1.60000000000000016e-10  5.00012741009956407e-01  9.99990482164883100e-03  1.00000000000000067e+00
 3.20000000000000032e-10  5.00012741009956629e-01  9.99990482164926642e-03  1.00000000000000089e+00
 6.40000000000000065e-10  5.00012741009956962e-01  9.99990482165404905e-03  1.00000000000000111e+00
 1.28000000000000013e-09  5.00012741009957407e-01  9.99990482171198534e-03  1.00000000000000133e+00
 2.28000000000000040e-09  5.00012741009957740e-01  9.99990482189803791e-03  1.00000000000000111e+00
 3.28000000000000025e-09  5.00012741009957851e-01  9.99990482200445278e-03  1.00000000000000089e+00
 4.28000000000000011e-09  5.00012741009957962e-01  9.99990482182237100e-03  1.00000000000000089e+00
 5.27999999999999996e-09  5.00012741009958073e-01  9.99990482155199527e-03  1.00000000000000089e+00
 6.27999999999999982e-09  5.00012741009958073e-01  9.99990482151453218e-03  1.00000000000000089e+00
 7.27999999999999968e-09  5.00012741009958073e-01  9.99990482163741479e-03  1.00000000000000089e+00
 8.28000000000000036e-09  5.00012741009958073e-01  9.99990482180929813e-03  1.00000000000000089e+00
 9.28000000000000104e-09  5.00012741009958073e-01  9.99990482178897237e-03  1.00000000000000089e+00
 1.02800000000000017e-08  5.00012741009958073e-01  9.99990482170778558e-03  1.00000000000000089e+00
 1.12800000000000024e-08  5.00012741009958073e-01  9.99990482177941058e-03  1.00000000000000089e+00
 1.22800000000000031e-08  5.00012741009958073e-01  9.99990482203977002e-03  1.00000000000000089e+00
 1.32800000000000038e-08  5.00012741009958073e-01  9.99990482233323319e-03  1.00000000000000089e+00
 1.42800000000000045e-08  5.00012741009958073e-01  9.99990482239180439e-03  1.00000000000000089e+00
 1.52800000000000051e-08  5.00012741009958073e-01  9.99990482227415545e-03  1.00000000000000089e+00
 1.62800000000000042e-08  5.00012741009958073e-01  9.99990482214855279e-03  1.00000000000000089e+00
 1.72800000000000032e-08  5.00012741009958073e-01  9.99990482212030976e-03  1.00000000000000089e+00
 1.82800000000000022e-08  5.00012741009958073e-01  9.99990482219573207e-03  1.00000000000000089e+00
 1.92800000000000013e-08  5.00012741009958073e-01  9.99990482225886559e-03  1.00000000000000089e+00
 2.02800000000000003e-08  5.00012741009958073e-01  9.99990482228946785e-03  1.00000000000000089e+00
 2.12799999999999993e-08  5.00012741009958073e-01  9.99990482235422681e-03  1.00000000000000089e+00
 2.22799999999999983e-08  5.00012741009958073e-01  9.99990482236184051e-03  1.00000000000000089e+00
 2.32799999999999974e-08  5.00012741009958073e-01  9.99990482233250808e-03  1.00000000000000089e+00
 2.42799999999999964e-08  5.00012741009958073e-01  9.99990482220291903e-03  1.00000000000000089e+00
 2.52799999999999954e-08  5.00012741009958073e-01  9.99990482193429189e-03  1.00000000000000089e+00
 2.62799999999999944e-08  5.00012741009958073e-01  9.99990482183433192e-03  1.00000000000000089e+00
 2.72799999999999935e-08  5.00012741009958073e-01  9.99990482196476058e-03  1.00000000000000089e+00
 2.82799999999999925e-08  5.00012741009958073e-01  9.99990482224784663e-03  1.00000000000000089e+00
 2.92799999999999915e-08  5.00012741009958073e-01  9.99990482220113400e-03  1.00000000000000089e+00
 3.02799999999999906e-08  5.00012741009958073e-01  9.99990482192484285e-03  1.00000000000000089e+00
 3.12799999999999929e-08  5.00012741009958073e-01  9.99990482159683614e-03  1.00000000000000089e+00
 3.22799999999999952e-08  5.00012741009958073e-01  9.99990482136799488e-03  1.00000000000000089e+00
 3.32799999999999976e-08  5.00012741009958073e-01  9.99990482117070652e-03  1.00000000000000089e+00
 3.42799999999999999e-08  5.00012741009958073e-01  9.99990482116852944e-03  1.00000000000000089e+00
 3.52800000000000022e-08  5.00012741009958073e-01  9.99990482129385801e-03  1.00000000000000089e+00
 3.62800000000000046e-08  5.00012741009958073e-01  9.99990482143858425e-03  1.00000000000000089e+00
 3.72800000000000069e-08  5.00012741009958073e-01  9.99990482165599888e-03  1.00000000000000089e+00
 3.82800000000000093e-08  5.00012741009958073e-01  9.99990482186463928e-03  1.00000000000000089e+00
 3.92800000000000116e-08  5.00012741009958073e-01  9.99990482206677446e-03  1.00000000000000089e+00
 4.02800000000000139e-08  5.00012741009958073e-01  9.99990482212986462e-03  1.00000000000000089e+00
 4.12800000000000163e-08  5.00012741009958073e-01  9.99990482219367989e-03  1.00000000000000089e+00
 4.22800000000000186e-08  5.00012741009958073e-01  9.99990482224209255e-03  1.00000000000000089e+00
 4.32800000000000209e-08  5.00012741009958073e-01  9.99990482216193792e-03  1.00000000000000089e+00
 4.42800000000000233e-08  5.00012741009958073e-01  9.99990482216102199e-03  1.00000000000000089e+00
 4.52800000000000256e-08  5.00012741009958073e-01  9.99990482226684012e-03  1.00000000000000089e+00
 4.62800000000000280e-08  5.00012741009958073e-01  9.99990482234956735e-03  1.00000000000000089e+00
 4.72800000000000303e-08  5.00012741009958073e-01  9.99990482247335027e-03  1.00000000000000089e+00
 4.82800000000000326e-08  5.00012741009958073e-01  9.99990482246780610e-03  1.00000000000000089e+00
 4.92800000000000350e-08  5.00012741009958073e-01  9.99990482246060873e-03  1.00000000000000089e+00
 5.02800000000000373e-08  5.00012741009958073e-01  9.99990482237841927e-03  1.00000000000000089e+00
