time,state,candidate,next,inverse,geometry,residual,clock_a,clock_b
2.000000000000000073e-10,9.999999999980000442e-01,9.999999999979992671e-01,9.996007984031842764e-01,1.000000000001999956e+00,1.999999999999984013e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000233e-09,9.999999999359995284e-01,9.999999999355984048e-01,9.876014768933294441e-01,1.000000000064001027e+00,1.999999999991969979e+00,1.999999999999898970e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.028367579767017043e-08,9.999999997971624754e-01,9.999999997933222140e-01,9.632739607912876867e-01,1.000000000202837969e+00,1.999999999923171901e+00,1.999999999997106981e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.269930030620005150e-08,9.999999996730069007e-01,9.999999996634028054e-01,9.442063657392001375e-01,1.000000000326993099e+00,1.999999999807900108e+00,1.999999999988316013e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.852188913125484301e-08,9.999999994147816818e-01,9.999999993863754044e-01,9.113631320317959750e-01,1.000000000585218984e+00,1.999999999431860909e+00,1.999999999935381023e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.558311063054368214e-08,9.999999991441695935e-01,9.999999990880671374e-01,8.849372399297804614e-01,1.000000000855830962e+00,1.999999998877930008e+00,1.999999999806362894e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.151146546870279051e-07,9.999999988488544878e-01,9.999999987554304415e-01,8.631963767880480587e-01,1.000000001151146067e+00,1.999999998131485102e+00,1.999999999553186969e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.474271902270872980e-07,9.999999985257296276e-01,9.999999983851517449e-01,8.457256963419524931e-01,1.000000001474270928e+00,1.999999997188399048e+00,1.999999999120464000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.832874774659058952e-07,9.999999981671271465e-01,9.999999979686289286e-01,8.319261790648034838e-01,1.000000001832872965e+00,1.999999996029979021e+00,1.999999998437282045e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.235796794086392874e-07,9.999999977642055615e-01,9.999999974957306526e-01,8.213191357133551307e-01,1.000000002235793994e+00,1.999999994630432987e+00,1.999999997416634034e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.696390931345210774e-07,9.999999973036121093e-01,9.999999969509055786e-01,8.134322803440151572e-01,1.000000002696388002e+00,1.999999992945797000e+00,1.999999995944917952e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.234153328852155261e-07,9.999999967658493860e-01,9.999999963111942947e-01,8.078281989764810600e-01,1.000000003234150947e+00,1.999999990906830893e+00,1.999999993869594039e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.880140974069345106e-07,9.999999961198619003e-01,9.999999955397494977e-01,8.040875440907764293e-01,1.000000003880137989e+00,1.999999988397695105e+00,1.999999990969945074e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.687631531921720021e-07,9.999999953123703822e-01,9.999999945730381201e-01,8.018091810072226489e-01,1.000000004687630062e+00,1.999999985213299025e+00,1.999999986895564019e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.676018300908903887e-07,9.999999943239831213e-01,9.999999933881185132e-01,8.006634247189985398e-01,1.000000005676016990e+00,1.999999981282664985e+00,1.999999981479051891e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.676018300908904901e-07,9.999999933239819283e-01,9.999999921885404097e-01,8.002401065555287962e-01,1.000000006676017961e+00,1.999999977291128994e+00,1.999999975731421964e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.676018300908905914e-07,9.999999923239804023e-01,9.999999909886926330e-01,8.000868958101531314e-01,1.000000007676020042e+00,1.999999973294189104e+00,1.999999969849058035e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.676018300908906928e-07,9.999999913239789873e-01,9.999999897887471567e-01,8.000314466745127584e-01,1.000000008676021013e+00,1.999999969295291891e+00,1.999999963902377109e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.676018300908907941e-07,9.999999903239777943e-01,9.999999885887664863e-01,8.000113788262596115e-01,1.000000009676021984e+00,1.999999965295687909e+00,1.999999957926005933e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.067601830090890895e-06,9.999999893239766013e-01,9.999999873887728263e-01,8.000041159466415586e-01,1.000000010676022955e+00,1.999999961295827910e+00,1.999999951936282994e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.167601830090890997e-06,9.999999883239751863e-01,9.999999861887745034e-01,8.000014873597055542e-01,1.000000011676025036e+00,1.999999957295875985e+00,1.999999945940682977e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.267601830090891098e-06,9.999999873239738823e-01,9.999999849887748482e-01,8.000005359867338184e-01,1.000000012676026007e+00,1.999999953295890975e+00,1.999999939942538996e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.367601830090890988e-06,9.999999863239728004e-01,9.999999837887741938e-01,8.000001916205774499e-01,1.000000013676028088e+00,1.999999949295891977e+00,1.999999933943310104e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.467601830090891089e-06,9.999999853239718295e-01,9.999999825887733174e-01,8.000000669385923802e-01,1.000000014676027948e+00,1.999999945295890091e+00,1.999999927943626021e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.567601830090890979e-06,9.999999843239703035e-01,9.999999813887724409e-01,8.000000217633722599e-01,1.000000015676030030e+00,1.999999941295885986e+00,1.999999921943750980e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.667601830090891927e-06,9.999999833239689995e-01,9.999999801887714534e-01,8.000000053627681629e-01,1.000000016676031001e+00,1.999999937295880992e+00,1.999999915943798001e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.767601830090892028e-06,9.999999823239678065e-01,9.999999789887705770e-01,7.999999993761057748e-01,1.000000017676031971e+00,1.999999933295875998e+00,1.999999909943813048e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.867601830090891918e-06,9.999999813239662805e-01,9.999999777887698116e-01,7.999999971583980907e-01,1.000000018676034053e+00,1.999999929295871004e+00,1.999999903943814106e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.967601830090890961e-06,9.999999803239649765e-01,9.999999765887686021e-01,7.999999963047303986e-01,1.000000019676035024e+00,1.999999925295866010e+00,1.999999897943810945e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.067601830090890003e-06,9.999999793239637835e-01,9.999999753887678366e-01,7.999999959447283704e-01,1.000000020676035994e+00,1.999999921295861016e+00,1.999999891943804009e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.167601830090889046e-06,9.999999783239623685e-01,9.999999741887667382e-01,7.999999957633909808e-01,1.000000021676038076e+00,1.999999917295854912e+00,1.999999885943797073e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.267601830090888088e-06,9.999999773239610645e-01,9.999999729887658617e-01,7.999999956467153117e-01,1.000000022676039046e+00,1.999999913295849918e+00,1.999999879943789916e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.367601830090887131e-06,9.999999763239598716e-01,9.999999717887648742e-01,7.999999955534420337e-01,1.000000023676040906e+00,1.999999909295844924e+00,1.999999873943782092e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.467601830090886173e-06,9.999999753239582345e-01,9.999999705887637758e-01,7.999999954686382031e-01,1.000000024676042987e+00,1.999999905295839930e+00,1.999999867943774046e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.567601830090884792e-06,9.999999743239569305e-01,9.999999693887630103e-01,7.999999953868993652e-01,1.000000025676043958e+00,1.999999901295834048e+00,1.999999861943766000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.667601830090883835e-06,9.999999733239555155e-01,9.999999681887620229e-01,7.999999953062698621e-01,1.000000026676044929e+00,1.999999897295829054e+00,1.999999855943757954e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.767601830090882878e-06,9.999999723239539895e-01,9.999999669887612574e-01,7.999999952260419267e-01,1.000000027676047010e+00,1.999999893295822950e+00,1.999999849943749908e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.867601830090881920e-06,9.999999713239530186e-01,9.999999657887603810e-01,7.999999951459593195e-01,1.000000028676047981e+00,1.999999889295817956e+00,1.999999843943742084e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.967601830090880963e-06,9.999999703239516036e-01,9.999999645887593935e-01,7.999999950659294479e-01,1.000000029676048952e+00,1.999999885295812962e+00,1.999999837943734926e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.067601830090880005e-06,9.999999693239501886e-01,9.999999633887585171e-01,7.999999949859182280e-01,1.000000030676051033e+00,1.999999881295807969e+00,1.999999831943727102e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.167601830090879048e-06,9.999999683239489956e-01,9.999999621887574186e-01,7.999999949059144466e-01,1.000000031676052004e+00,1.999999877295802975e+00,1.999999825943719944e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.267601830090878937e-06,9.999999673239478026e-01,9.999999609887564311e-01,7.999999948259134408e-01,1.000000032676052975e+00,1.999999873295797981e+00,1.999999819943711010e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.367601830090877980e-06,9.999999663239470538e-01,9.999999597887555547e-01,7.999999947459132121e-01,1.000000033676053945e+00,1.999999869295794097e+00,1.999999813943704075e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.467601830090877023e-06,9.999999653239460828e-01,9.999999585887545672e-01,7.999999946659130945e-01,1.000000034676054916e+00,1.999999865295789991e+00,1.999999807943698027e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.567601830090876065e-06,9.999999643239448899e-01,9.999999573887536908e-01,7.999999945859128658e-01,1.000000035676056109e+00,1.999999861295786996e+00,1.999999801943693090e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.667601830090875108e-06,9.999999633239435859e-01,9.999999561887527033e-01,7.999999945059129702e-01,1.000000036676057968e+00,1.999999857295782002e+00,1.999999795943687042e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.767601830090874150e-06,9.999999623239421709e-01,9.999999549887519379e-01,7.999999944259126305e-01,1.000000037676058939e+00,1.999999853295777008e+00,1.999999789943680106e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.867601830090873193e-06,9.999999613239406449e-01,9.999999537887508394e-01,7.999999943459122909e-01,1.000000038676061020e+00,1.999999849295772014e+00,1.999999783943672949e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.967601830090872235e-06,9.999999603239391188e-01,9.999999525887500740e-01,7.999999942659120622e-01,1.000000039676063102e+00,1.999999845295765910e+00,1.999999777943666013e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.067601830090871278e-06,9.999999593239381479e-01,9.999999513887490865e-01,7.999999941859122776e-01,1.000000040676062962e+00,1.999999841295760028e+00,1.999999771943657967e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.167601830090870321e-06,9.999999583239368439e-01,9.999999501887479880e-01,7.999999941059120490e-01,1.000000041676065043e+00,1.999999837295755922e+00,1.999999765943649033e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.267601830090869363e-06,9.999999573239356510e-01,9.999999489887472226e-01,7.999999940259120423e-01,1.000000042676066014e+00,1.999999833295750928e+00,1.999999759943642985e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.367601830090868406e-06,9.999999563239342359e-01,9.999999477887462351e-01,7.999999939459118137e-01,1.000000043676068096e+00,1.999999829295745934e+00,1.999999753943634939e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.467601830090866601e-06,9.999999553239327099e-01,9.999999465887452477e-01,7.999999938659114740e-01,1.000000044676069066e+00,1.999999825295740941e+00,1.999999747943628892e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.567601830090865644e-06,9.999999543239311839e-01,9.999999453887443712e-01,7.999999937859110233e-01,1.000000045676070926e+00,1.999999821295735059e+00,1.999999741943619957e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.667601830090866380e-06,9.999999533239302130e-01,9.999999441887434948e-01,7.999999937059105726e-01,1.000000046676071896e+00,1.999999817295730065e+00,1.999999735943613022e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.767601830090865423e-06,9.999999523239291310e-01,9.999999429887425073e-01,7.999999936259111211e-01,1.000000047676073089e+00,1.999999813295725071e+00,1.999999729943604976e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.867601830090863618e-06,9.999999513239280491e-01,9.999999417887416309e-01,7.999999935459113365e-01,1.000000048676074060e+00,1.999999809295720077e+00,1.999999723943598040e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.967601830090862661e-06,9.999999503239267451e-01,9.999999405887407544e-01,7.999999934659116629e-01,1.000000049676075919e+00,1.999999805295715971e+00,1.999999717943591993e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.067601830090861704e-06,9.999999493239255521e-01,9.999999393887395449e-01,7.999999933859119894e-01,1.000000050676076890e+00,1.999999801295712087e+00,1.999999711943585057e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.167601830090860746e-06,9.999999483239242482e-01,9.999999381887387795e-01,7.999999933059115387e-01,1.000000051676078083e+00,1.999999797295707982e+00,1.999999705943577899e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.267601830090859789e-06,9.999999473239232772e-01,9.999999369887376810e-01,7.999999932259115321e-01,1.000000052676079054e+00,1.999999793295702988e+00,1.999999699943572962e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.367601830090858831e-06,9.999999463239219732e-01,9.999999357887368046e-01,7.999999931459114144e-01,1.000000053676080913e+00,1.999999789295699104e+00,1.999999693943566914e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.467601830090857874e-06,9.999999453239212244e-01,9.999999345887359281e-01,7.999999930659110747e-01,1.000000054676082106e+00,1.999999785295694998e+00,1.999999687943559978e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.567601830090856916e-06,9.999999443239203645e-01,9.999999333887349406e-01,7.999999929859110681e-01,1.000000055676083077e+00,1.999999781295690893e+00,1.999999681943555041e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.667601830090855959e-06,9.999999433239191715e-01,9.999999321887341752e-01,7.999999929059113946e-01,1.000000056676084048e+00,1.999999777295687009e+00,1.999999675943548105e+00,0.000000000000000000e+00,0.000000000000000000e+00
