time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
1.000000000000000062e-09,4.945498516262939816e-06,4.945488526252439968e-06,1.197766692202640026e-04,2.420717779019659824e-06,-1.977675827860839811e-06,4.999999999992500027e-03,4.999999999992500027e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.005180230052869898e-09,4.971183925322000389e-06,4.971173883561100209e-06,1.203987610871500036e-04,2.433284583354920083e-06,-1.987931074365999885e-06,5.025901150256820160e-03,5.025901150256829701e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.170947591744799974e-09,5.863178033289439921e-06,5.863166335656670337e-06,1.420491407357420111e-04,2.837716185256540134e-06,-2.315777688557380163e-06,5.854737958715170235e-03,5.854737958715170235e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.877150349828029816e-09,2.293662877066160037e-05,2.293660004548780032e-05,5.603296289615560498e-04,6.916014107884509890e-06,-5.653927961844399820e-06,1.438575174910980067e-02,1.438575174910980067e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
4.922154654222719638e-09,6.233227042480410341e-05,6.233222132916110640e-05,1.523660433389530024e-03,1.160445766494869996e-05,-9.545852814710110588e-06,2.461077327103820128e-02,2.461077327103820128e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
7.314048988904039700e-09,1.345484257561810023e-04,1.345483528874599896e-04,3.273406939017080210e-03,1.682641690741020025e-05,-1.386911179890989945e-05,3.657024494436569850e-02,3.657024494436569850e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.014903806106039920e-08,2.565507767611000228e-04,2.565506757889079894e-04,6.191216117958639638e-03,2.267306687751029906e-05,-1.847431886575429938e-05,5.074519030501679906e-02,5.074519030501679906e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.351068590252920082e-08,4.522542905758420036e-04,4.522541563824460250e-04,1.079575293378520068e-02,2.915993023810150070e-05,-2.273969588935030145e-05,6.755342951215349834e-02,6.755342951215349834e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.713556496074629857e-08,7.251298742685539575e-04,7.251297043774949458e-04,1.709683629151979856e-02,3.565907500386059705e-05,-2.502920485678820041e-05,8.567782480295199621e-02,8.567782480295199621e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.055554507928850041e-08,1.041218870429869896e-03,1.041218666977389989e-03,2.425901943309149988e-02,4.136277282752890219e-05,-2.390844874265020162e-05,1.027777253953320036e-01,1.027777253953320036e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.370295854625430094e-08,1.382254392119470002e-03,1.382254157881619965e-03,3.185130211819649920e-02,4.627864382318320184e-05,-1.897001601308129909e-05,1.185147927298050019e-01,1.185147927298050019e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.643694725900400091e-08,1.717377376831410009e-03,1.717377115930460076e-03,3.919533916555059672e-02,5.031200493887290082e-05,-1.074666404203330000e-05,1.321847362932040137e-01,1.321847362932040137e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.869645681613520112e-08,2.021551320017319839e-03,2.021551037135550181e-03,4.577288270907420298e-02,5.349214636555979751e-05,-5.782178947864700212e-07,1.434822840785429932e-01,1.434822840785429932e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
3.087469175350889721e-08,2.338041455348569952e-03,2.338041151323579873e-03,5.253622135503169949e-02,5.643585404550349797e-05,1.261621031802689918e-05,1.543734587650809897e-01,1.543734587650809897e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
3.362320029351889965e-08,2.769892641578979974e-03,2.769892310940999872e-03,6.164438186754150201e-02,5.999154959238770153e-05,3.477468677659529943e-05,1.681160014646820022e-01,1.681160014646820022e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
3.719616574243050007e-08,3.385344822452669971e-03,3.385344457327829886e-03,7.440896634447100033e-02,6.437180946951139655e-05,7.437914189498519638e-05,1.859808287085980005e-01,1.859808287085980005e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
4.158990026283319698e-08,4.225661998958430213e-03,4.225661591593050069e-03,9.147580885006580120e-02,6.942421416824790610e-05,1.432131158612970096e-04,2.079495013097349965e-01,2.079495013097349965e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
4.684623039680689959e-08,5.351406212752100183e-03,5.351405755096449827e-03,1.137723760203119966e-01,7.505135464496589756e-05,2.613387194926820238e-04,2.342311519784280038e-01,2.342311519784280038e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
5.245775212524149681e-08,6.695131419225640312e-03,6.695130908172160396e-03,1.396961170597079971e-01,8.064046736469680278e-05,4.404816058643619891e-04,2.622887606191939835e-01,2.622887606191939835e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
5.730633952739999825e-08,7.906530606309190509e-03,7.906530049358309262e-03,1.636326066207590135e-01,8.518535653180660586e-05,6.476804353728060366e-04,2.865316976286439998e-01,2.865316976286439998e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
6.101110396758339688e-08,8.832718967658579820e-03,8.832718375787449588e-03,1.821531901505789863e-01,8.851270297998270595e-05,8.421441454602159949e-04,3.050555198284560232e-01,3.050555198284560232e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
6.368831246954089668e-08,9.502020819631789433e-03,9.502020202606240723e-03,1.955378913037010002e-01,9.085139515288170365e-05,1.003431225209809943e-03,3.184415623374020066e-01,3.184415623374020066e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
6.777215524155399659e-08,1.052298110285990011e-02,1.052298044759289973e-02,2.159550634272590086e-01,9.433041709529070562e-05,1.284741004030229977e-03,3.388607761961149878e-01,3.388607761961149878e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
7.352187423541789963e-08,1.196041027430659945e-02,1.196040956546249971e-02,2.447007838230720045e-01,9.908695386331550217e-05,1.757317451599679954e-03,3.676093711633879879e-01,3.676093711633879879e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
8.055839474451320021e-08,1.371953969521180067e-02,1.371953892121730023e-02,2.798798684582199936e-01,1.047592812386409955e-04,2.465339102268049917e-03,4.027919737061360084e-01,4.027919737061360084e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
9.048257477659259566e-08,1.620058370659020058e-02,1.620058284148359964e-02,3.294958070217119950e-01,1.126530963483220009e-04,3.628099532440740016e-03,4.524128738622649748e-01,4.524128738622649748e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.003296477677720004e-07,1.866235096503759960e-02,1.866235001041520111e-02,3.787262489299059731e-01,1.205665736690310043e-04,4.905157737831800265e-03,5.016482388134390069e-01,5.016482388134390069e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.096389878123439958e-07,2.098968504045229874e-02,2.098968400200820067e-02,4.252682949443969962e-01,1.282921425603349944e-04,6.215001602618879656e-03,5.481949390313880510e-01,5.481949390313880510e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.254443143538859936e-07,2.494101508626899930e-02,2.494101390728559881e-02,5.042870257716389748e-01,1.423763162690819891e-04,8.642312020293469246e-03,6.272215717297699999e-01,6.262619757320849745e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.452150891070410083e-07,2.988370678461210045e-02,2.988370543292380097e-02,6.031310151274810183e-01,1.625392436069189898e-04,1.204764225439780047e-02,7.260754454821179982e-01,7.083048589759699531e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.697968333147830111e-07,3.602914035999690151e-02,3.602913879827999988e-02,7.260274465066579586e-01,1.931630241899340121e-04,1.697063821091319979e-02,8.489841665014109529e-01,7.857597766103040504e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.043297850138879968e-07,4.466237480132750209e-02,4.466237295313400107e-02,8.986749402246649865e-01,2.504596939265409800e-04,2.542643975652280133e-02,1.021648924964549954e+00,8.612817329908529773e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.321311497870489992e-07,5.161271318663269991e-02,5.161271111488269919e-02,1.037667864771030013e+00,3.123630629002860175e-04,3.363413688899229842e-02,1.160655748799950038e+00,9.023120071798720332e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.710621622276459818e-07,6.134546235950089771e-02,6.134545998495820329e-02,1.232303463369869956e+00,4.293265818008070236e-04,4.561351805860960201e-02,1.355310810953860079e+00,9.403282961472619883e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
3.194332749522169828e-07,7.343823564053229835e-02,7.343823290582790486e-02,1.474134843789089988e+00,6.361265312217449655e-04,6.057942449475570146e-02,1.597166374505190056e+00,9.678503247123879660e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
3.533068420379050001e-07,8.190662397533779449e-02,8.190662099859870315e-02,1.643485744074610011e+00,8.295108395804200434e-04,7.109545043604190151e-02,1.736225549087309972e+00,9.792247112678550414e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
4.118856786388319938e-07,9.655132717296620315e-02,9.655132379653930119e-02,1.936350640484600039e+00,1.275193606316080011e-03,8.932419745846199854e-02,1.873802592752809915e+00,9.904385714633390236e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
