mode,m,profile,final_error,final_geometry_error,time_to_0p1pct_us,peak_port_ratio_after_reset
AD,1.0,ideal_dynamic,-0.00015240561377172224,-2.5151393823419355e-05,144.99999999999997,0.800101922526794
AD,1.25,ideal_dynamic,-0.00015240114019343665,-2.5160316780792336e-05,144.99999999999997,0.800016062068464
AD,1.5,ideal_dynamic,-0.0001523972307484467,-2.5168117487650576e-05,245.0,0.800016064867179
AD,1.75,ideal_dynamic,-0.00015239373555686608,-2.51750935640338e-05,245.0,0.800016067369524
AD,2.0,ideal_dynamic,-0.0001523905597408115,-2.51814335522349e-05,245.0,0.800016069643752
AD,1.0,trimmed_stress,0.00013221069738400537,-0.0003443383136214617,144.99999999999997,0.800182766103769
AD,1.25,trimmed_stress,0.00012694784788180868,-0.0003257994495283745,144.99999999999997,0.800182766103722
AD,1.5,trimmed_stress,0.00012198568095511675,-0.0003083826263596823,245.0,0.80018276610368
AD,1.75,trimmed_stress,0.00011723620851755712,-0.00029179818702851357,245.0,0.800182766103632
AD,2.0,trimmed_stress,0.000112645184695781,-0.00027586138194568566,245.0,0.800182766103616
AD,1.0,untrimmed_stress,0.0047889505555254175,-0.005629694622659054,,0.80217823616149
AD,1.25,untrimmed_stress,0.004757747768220133,-0.005437902876720746,,0.802178236161434
AD,1.5,untrimmed_stress,0.004729197964049803,-0.005247761310802068,,0.802178236161392
AD,1.75,untrimmed_stress,0.004700925087006036,-0.005057572722719117,,0.802178236161364
AD,2.0,untrimmed_stress,0.004671879972710347,-0.004866644958981259,,0.802178236161337
Halley,1.0,ideal_dynamic,-4.435395822477428e-05,-4.435395822477428e-05,144.99999999999997,0.666697185743303
Halley,1.25,ideal_dynamic,-4.4342232768834755e-05,-4.4342232768834755e-05,144.99999999999997,0.718177774043182
Halley,1.5,ideal_dynamic,-4.4333278297004064e-05,-4.4333278297004064e-05,245.0,0.76317776716133
Halley,1.75,ideal_dynamic,-4.432612005922376e-05,-4.432612005922376e-05,245.0,0.803417536881058
Halley,2.0,ideal_dynamic,-4.432020957956251e-05,-4.432020957956251e-05,245.0,0.839985823927559
Halley,1.0,trimmed_stress,0.000437724090870395,0.000437724090870395,144.99999999999997,0.666966226732124
Halley,1.25,trimmed_stress,0.0003958063875642015,0.0003958063875642015,144.99999999999997,0.718441483699348
Halley,1.5,trimmed_stress,0.0003665877158574027,0.0003665877158574027,245.0,0.763439134788714
Halley,1.75,trimmed_stress,0.00034485982665311,0.00034485982665311,245.0,0.803678210069631
Halley,2.0,trimmed_stress,0.0003279518825083372,0.0003279518825083372,245.0,0.840246630931706
Halley,1.0,untrimmed_stress,0.0038554385975710925,0.0038554385975710925,,0.669042553771616
Halley,1.25,untrimmed_stress,0.0035729512230500138,0.0035729512230500138,,0.720512660104577
Halley,1.5,untrimmed_stress,0.0033751510867003898,0.0033751510867003898,,0.765526876835984
Halley,1.75,untrimmed_stress,0.0032274194747967666,0.0032274194747967666,,0.805791737111686
Halley,2.0,untrimmed_stress,0.0031119813248203787,0.0031119813248203787,,0.842391806947897
