time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
1.000000000000000062e-09,4.945478536144140001e-06,4.945488526153640351e-06,2.504891082548419938e-06,2.504891082548419938e-06,1.979589310656299807e-06,4.999950000492490131e-03,4.999999999992500027e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.999940000590980003e-03
1.005211353295750089e-09,4.971318563578809639e-06,4.971328605649640021e-06,2.517973328938499896e-06,2.517973328938499896e-06,1.989907718229550207e-06,5.026006506406139641e-03,5.026056766471210385e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.031207807687370345e-03
1.171974658759749909e-09,5.869104825107420174e-06,5.869116532997659646e-06,2.940173197351959871e-06,2.940173197351959871e-06,2.319804856223470208e-06,5.859814695642930060e-03,5.859873293789889803e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.031777634771510001e-03
2.668701894909350064e-09,2.007969043187250060e-05,2.007971707832830119e-05,6.816816942371249825e-06,6.816816942371249825e-06,5.255511281275359892e-06,1.334337604075939987e-02,1.334350947451980011e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.601205124891120005e-02
4.359396624533330155e-09,4.943476270109610168e-05,4.943480619519969763e-05,1.155967819581410056e-05,1.155967819581410056e-05,8.516982327373249191e-06,2.179676515495420144e-02,2.179698312260569884e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.615611818594500149e-02
6.062226710587950145e-09,9.324234114713209510e-05,9.324240158104269718e-05,1.700509221312970071e-05,1.700509221312970071e-05,1.174350600428429947e-05,3.031083044452579853e-02,3.031113355283019881e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.637299653343090133e-02
7.806225433828409371e-09,1.528991606854059949e-04,1.528992384387940057e-04,2.357645443099490160e-05,2.357645443099490160e-05,1.498881284355019921e-05,3.903073686159910100e-02,3.903112716896769974e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.683688423391890038e-02
9.535948253016680749e-09,2.268259344844620045e-04,2.268260293857439871e-04,3.138159408402720128e-05,3.138159408402720128e-05,1.815145580256260029e-05,4.767926447218499841e-02,4.767974126482969754e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.721511736662199948e-02
1.127434312639479974e-08,3.159062415493940059e-04,3.159063536546820035e-04,4.080791999831870137e-05,4.080791999831870137e-05,2.127882778984030093e-05,5.637115192010640208e-02,5.637171563162560184e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.764538230412760200e-02
1.302652101100079999e-08,4.206635894010000054e-04,4.206637188164560046e-04,5.220177324901270247e-05,5.220177324901270247e-05,2.438683949728310090e-05,6.513195373500750562e-02,6.513260505454479543e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.815834448200900675e-02
1.495662644487399854e-08,5.534242416354159463e-04,5.534243900837509510e-04,6.729168140766700269e-05,6.729168140766700269e-05,2.777198082859509966e-05,7.478238439992690445e-02,7.478313222377090674e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.973886127991230477e-02
1.759399039635060040e-08,7.642044756080109726e-04,7.642046500042139635e-04,9.287002585578549990e-05,9.287002585578549990e-05,3.236670512152720167e-05,8.796907229020979602e-02,8.796995198093270074e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.055628867482519967e-01
2.107137167068150128e-08,1.093827253319879953e-03,1.093827461824069995e-03,1.367656276620769990e-04,1.367656276620769990e-04,3.847524463193700172e-05,1.053558047941939996e-01,1.053568583522419971e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.264269657530329993e-01
2.556478634088599978e-08,1.606552532676120033e-03,1.606552785078780004e-03,2.136317300853910026e-04,2.136317300853910026e-04,4.677553670209719873e-05,1.278226534761950084e-01,1.278239317027289879e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.533871841714339879e-01
3.133791969522370196e-08,2.408278281001899942e-03,2.408278589516439812e-03,3.518338636886509979e-04,3.518338636886509979e-04,5.908802823864520116e-05,1.566880315932659973e-01,1.566895984735819924e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.880256379119190080e-01
3.771756079192899985e-08,3.480234620423770103e-03,3.480234990569419911e-03,5.651466725438829839e-04,5.651466725438829839e-04,7.701919723431049707e-05,1.885859180968099957e-01,1.885878039559910069e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.263031017161729885e-01
