time,state,candidate,raw,geometry,next,num,den,ca,cb,port_ratio,corrected,negative
1.000000000000000062e-09,1.556627470683119966e-06,1.556637462354320022e-06,1.189901206891039955e-05,1.189901206891039955e-05,4.950355695556850105e-05,4.999950000492490131e-03,4.999999999992500027e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.999940000590980003e-03,-1.199371913246129964e-05,4.276965498282849854e-04
1.005207921805300102e-09,1.564755455511100019e-06,1.564765499218020067e-06,1.196151718763189964e-05,1.196151718763189964e-05,4.976136384971140071e-05,5.025989349125469657e-03,5.026039609018970178e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.031187218950560293e-03,-1.205634462956580031e-05,4.299608272270400247e-04
1.171861419574929918e-09,1.847147530848740043e-06,1.847159239579739972e-06,1.401911041007159930e-05,1.401911041007159930e-05,5.800405666682130278e-05,5.859248505380710431e-03,5.859307097865770406e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.031098206456850262e-03,-1.423649732601029973e-05,5.022181003578769787e-04
2.299847735074629906e-09,4.895302021953270341e-06,4.895324994242149978e-06,2.787401063628410110e-05,2.787401063628410110e-05,1.134327426234640055e-04,1.149912368411479952e-02,1.149923867535170008e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.379894842093780036e-02,-3.829629440645150227e-05,9.812488671314199395e-04
3.903670930582989689e-09,1.263894222472100046e-05,1.263898119383519936e-05,4.734380269165770023e-05,4.734380269165770023e-05,1.911655160974809985e-04,1.951815947126989831e-02,1.951835465286460083e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.342179136552390017e-02,-9.925358234338189705e-05,1.633127959699209918e-03
6.085251941357049982e-09,2.959549815860500102e-05,2.959555885290630095e-05,7.353334633755210473e-05,7.353334633755210473e-05,2.948897700210320193e-04,3.042595544712050140e-02,3.042625970667500040e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.651114653654460168e-02,-2.274101516824680110e-04,2.467507231674910019e-03
8.994924403422199586e-09,6.372572290408049997e-05,6.372581251282479354e-05,1.082675200045040006e-04,1.082675200045040006e-04,4.296786531731440050e-04,4.497417227516099791e-02,4.497462201688379874e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.396900673019319750e-02,-4.678200266416829766e-04,3.492814429090579809e-03
1.275454669988619996e-08,1.272973631922389901e-04,1.272974900579870131e-04,1.535329051896270095e-04,1.535329051896270095e-04,5.979546272478830160e-04,6.377209577803209795e-02,6.377273349898990307e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.652651493363850366e-02,-8.730924539041039819e-04,4.682449034101429999e-03
1.762749427577990022e-08,2.423220432013399952e-04,2.423222181834950087e-04,2.143497123962009941e-04,2.143497123962009941e-04,8.064876970708499812e-04,8.813659001217580280e-02,8.813747137807589893e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.057639080146109967e-01,-1.514743200988570007e-03,6.022997827746359722e-03
2.397574152416060011e-08,4.473368194814589835e-04,4.473370568550060172e-04,3.003306910076310177e-04,3.003306910076310177e-04,1.062691390587429960e-03,1.198775088442149972e-01,1.198787076193029988e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.438530106130579966e-01,-2.473464581998150065e-03,7.476603536383549624e-03
